Temperature - (Celsius), Year, Month, Country, ISO3
26.6179, 2001, Sep, Suriname, SUR
27.0688, 2001, Oct, Suriname, SUR
27.0209, 2001, Nov, Suriname, SUR
26.6105, 2001, Dec, Suriname, SUR
25.4968, 2002, Jan, Suriname, SUR
25.395, 2002, Feb, Suriname, SUR
26.0686, 2002, Mar, Suriname, SUR
25.727, 2002, Apr, Suriname, SUR
25.655, 2002, May, Suriname, SUR
25.5476, 2002, Jun, Suriname, SUR
25.9867, 2002, Jul, Suriname, SUR
26.3818, 2002, Aug, Suriname, SUR
26.5761, 2002, Sep, Suriname, SUR
27.001, 2002, Oct, Suriname, SUR
26.4422, 2002, Nov, Suriname, SUR
25.8563, 2002, Dec, Suriname, SUR
25.8993, 2003, Jan, Suriname, SUR
25.6806, 2003, Feb, Suriname, SUR
26.1096, 2003, Mar, Suriname, SUR
26.5324, 2003, Apr, Suriname, SUR
25.611, 2003, May, Suriname, SUR
26.1386, 2003, Jun, Suriname, SUR
26.0168, 2003, Jul, Suriname, SUR
26.7032, 2003, Aug, Suriname, SUR
26.9054, 2003, Sep, Suriname, SUR
27.203, 2003, Oct, Suriname, SUR
26.8628, 2003, Nov, Suriname, SUR
26.3164, 2003, Dec, Suriname, SUR
25.7306, 2004, Jan, Suriname, SUR
25.517, 2004, Feb, Suriname, SUR
25.7808, 2004, Mar, Suriname, SUR
26.0867, 2004, Apr, Suriname, SUR
25.7965, 2004, May, Suriname, SUR
25.8523, 2004, Jun, Suriname, SUR
25.6801, 2004, Jul, Suriname, SUR
26.297, 2004, Aug, Suriname, SUR
26.7528, 2004, Sep, Suriname, SUR
27.2819, 2004, Oct, Suriname, SUR
27.3692, 2004, Nov, Suriname, SUR
26.5812, 2004, Dec, Suriname, SUR
26.0271, 2005, Jan, Suriname, SUR
26.211, 2005, Feb, Suriname, SUR
26.4143, 2005, Mar, Suriname, SUR
26.1777, 2005, Apr, Suriname, SUR
26.1533, 2005, May, Suriname, SUR
26.8162, 2005, Jun, Suriname, SUR
26.265, 2005, Jul, Suriname, SUR
26.5928, 2005, Aug, Suriname, SUR
27.2081, 2005, Sep, Suriname, SUR
27.4308, 2005, Oct, Suriname, SUR
27.1813, 2005, Nov, Suriname, SUR
25.9025, 2005, Dec, Suriname, SUR
25.2836, 2006, Jan, Suriname, SUR
25.8257, 2006, Feb, Suriname, SUR
26.2708, 2006, Mar, Suriname, SUR
26.3539, 2006, Apr, Suriname, SUR
25.9062, 2006, May, Suriname, SUR
25.7989, 2006, Jun, Suriname, SUR
26.1705, 2006, Jul, Suriname, SUR
26.979, 2006, Aug, Suriname, SUR
26.93, 2006, Sep, Suriname, SUR
27.2346, 2006, Oct, Suriname, SUR
26.4495, 2006, Nov, Suriname, SUR
25.9381, 2006, Dec, Suriname, SUR
25.9674, 2007, Jan, Suriname, SUR
26.0716, 2007, Feb, Suriname, SUR
25.9911, 2007, Mar, Suriname, SUR
25.9345, 2007, Apr, Suriname, SUR
26.0319, 2007, May, Suriname, SUR
25.8759, 2007, Jun, Suriname, SUR
25.8263, 2007, Jul, Suriname, SUR
26.5006, 2007, Aug, Suriname, SUR
26.4967, 2007, Sep, Suriname, SUR
26.5833, 2007, Oct, Suriname, SUR
26.7661, 2007, Nov, Suriname, SUR
25.422, 2007, Dec, Suriname, SUR
25.0258, 2008, Jan, Suriname, SUR
24.9166, 2008, Feb, Suriname, SUR
25.2883, 2008, Mar, Suriname, SUR
25.7943, 2008, Apr, Suriname, SUR
25.6831, 2008, May, Suriname, SUR
26.0093, 2008, Jun, Suriname, SUR
25.6329, 2008, Jul, Suriname, SUR
26.9909, 2008, Aug, Suriname, SUR
26.8854, 2008, Sep, Suriname, SUR
26.9185, 2008, Oct, Suriname, SUR
27.039, 2008, Nov, Suriname, SUR
25.675, 2008, Dec, Suriname, SUR
25.1969, 2009, Jan, Suriname, SUR
25.4498, 2009, Feb, Suriname, SUR
25.7485, 2009, Mar, Suriname, SUR
26.0584, 2009, Apr, Suriname, SUR
26.5716, 2009, May, Suriname, SUR
26.0896, 2009, Jun, Suriname, SUR
25.999, 2009, Jul, Suriname, SUR
27.1631, 2009, Aug, Suriname, SUR
27.2476, 2009, Sep, Suriname, SUR
26.5743, 2009, Oct, Suriname, SUR
26.9399, 2009, Nov, Suriname, SUR
26.1173, 2009, Dec, Suriname, SUR
26.0521, 2010, Jan, Suriname, SUR
26.5671, 2010, Feb, Suriname, SUR
27.0848, 2010, Mar, Suriname, SUR
26.6459, 2010, Apr, Suriname, SUR
26.1633, 2010, May, Suriname, SUR
26.5814, 2010, Jun, Suriname, SUR
26.0278, 2010, Jul, Suriname, SUR
26.5969, 2010, Aug, Suriname, SUR
26.9521, 2010, Sep, Suriname, SUR
27.3298, 2010, Oct, Suriname, SUR
26.8765, 2010, Nov, Suriname, SUR
25.8466, 2010, Dec, Suriname, SUR
25.4502, 2011, Jan, Suriname, SUR
25.1209, 2011, Feb, Suriname, SUR
25.1185, 2011, Mar, Suriname, SUR
25.9232, 2011, Apr, Suriname, SUR
26.1789, 2011, May, Suriname, SUR
26.3601, 2011, Jun, Suriname, SUR
26.1134, 2011, Jul, Suriname, SUR
26.8539, 2011, Aug, Suriname, SUR
26.9463, 2011, Sep, Suriname, SUR
26.6855, 2011, Oct, Suriname, SUR
26.2646, 2011, Nov, Suriname, SUR
25.96, 2011, Dec, Suriname, SUR
25.2124, 2012, Jan, Suriname, SUR
24.7297, 2012, Feb, Suriname, SUR
25.7182, 2012, Mar, Suriname, SUR
25.7544, 2012, Apr, Suriname, SUR
25.7648, 2012, May, Suriname, SUR
25.741, 2012, Jun, Suriname, SUR
25.8938, 2012, Jul, Suriname, SUR
26.616, 2012, Aug, Suriname, SUR
26.9619, 2012, Sep, Suriname, SUR
27.0614, 2012, Oct, Suriname, SUR
26.9225, 2012, Nov, Suriname, SUR
26.104, 2012, Dec, Suriname, SUR
25.7668, 2013, Jan, Suriname, SUR
25.2233, 2013, Feb, Suriname, SUR
26.2445, 2013, Mar, Suriname, SUR
25.9196, 2013, Apr, Suriname, SUR
25.7533, 2013, May, Suriname, SUR
26.0614, 2013, Jun, Suriname, SUR
25.7717, 2013, Jul, Suriname, SUR
26.3601, 2013, Aug, Suriname, SUR
26.9105, 2013, Sep, Suriname, SUR
26.5437, 2013, Oct, Suriname, SUR
26.4041, 2013, Nov, Suriname, SUR
25.9098, 2013, Dec, Suriname, SUR
25.113, 2014, Jan, Suriname, SUR
25.3796, 2014, Feb, Suriname, SUR
25.8744, 2014, Mar, Suriname, SUR
25.9462, 2014, Apr, Suriname, SUR
26.5489, 2014, May, Suriname, SUR
26.0026, 2014, Jun, Suriname, SUR
26.106, 2014, Jul, Suriname, SUR
26.1545, 2014, Aug, Suriname, SUR
26.9368, 2014, Sep, Suriname, SUR
26.8933, 2014, Oct, Suriname, SUR
26.7424, 2014, Nov, Suriname, SUR
25.923, 2014, Dec, Suriname, SUR
25.6418, 2015, Jan, Suriname, SUR
25.3402, 2015, Feb, Suriname, SUR
25.4969, 2015, Mar, Suriname, SUR
25.9043, 2015, Apr, Suriname, SUR
25.9016, 2015, May, Suriname, SUR
26.5747, 2015, Jun, Suriname, SUR
26.1743, 2015, Jul, Suriname, SUR
26.7126, 2015, Aug, Suriname, SUR
27.5464, 2015, Sep, Suriname, SUR
27.9515, 2015, Oct, Suriname, SUR
27.2881, 2015, Nov, Suriname, SUR
26.6739, 2015, Dec, Suriname, SUR
25.573, 2016, Jan, Suriname, SUR
25.3688, 2016, Feb, Suriname, SUR
26.2009, 2016, Mar, Suriname, SUR
26.1518, 2016, Apr, Suriname, SUR
26.523, 2016, May, Suriname, SUR
25.9325, 2016, Jun, Suriname, SUR
26.4129, 2016, Jul, Suriname, SUR
26.8089, 2016, Aug, Suriname, SUR
27.0322, 2016, Sep, Suriname, SUR
27.4818, 2016, Oct, Suriname, SUR
27.3097, 2016, Nov, Suriname, SUR
26.0358, 2016, Dec, Suriname, SUR

