"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Liechtenstein","Jan","LIE","-6.8257","73.9679"
"2","1901","Liechtenstein","Feb","LIE","-10.098","64.055"
"3","1901","Liechtenstein","Mar","LIE","-4.0342","208.607"
"4","1901","Liechtenstein","Apr","LIE","1.17577","261.777"
"5","1901","Liechtenstein","May","LIE","5.35752","95.0954"
"6","1901","Liechtenstein","Jun","LIE","9.21466","234.16"
"7","1901","Liechtenstein","Jul","LIE","10.4316","205.891"
"8","1901","Liechtenstein","Aug","LIE","9.75539","208.812"
"9","1901","Liechtenstein","Sep","LIE","8.03212","176.835"
"10","1901","Liechtenstein","Oct","LIE","3.55319","131.321"
"11","1901","Liechtenstein","Nov","LIE","-3.1576","59.2428"
"12","1901","Liechtenstein","Dec","LIE","-3.7937","177.065"
"13","1902","Liechtenstein","Jan","LIE","-3.8508","110.265"
"14","1902","Liechtenstein","Feb","LIE","-5.0939","103.273"
"15","1902","Liechtenstein","Mar","LIE","-2.3389","210.329"
"16","1902","Liechtenstein","Apr","LIE","2.88156","75.6223"
"17","1902","Liechtenstein","May","LIE","1.19157","167.215"
"18","1902","Liechtenstein","Jun","LIE","7.31415","150.48"
"19","1902","Liechtenstein","Jul","LIE","10.5905","144.994"
"20","1902","Liechtenstein","Aug","LIE","9.66958","179.991"
"21","1902","Liechtenstein","Sep","LIE","7.29541","136.164"
"22","1902","Liechtenstein","Oct","LIE","2.73048","145.355"
"23","1902","Liechtenstein","Nov","LIE","-2.1577","32.6025"
"24","1902","Liechtenstein","Dec","LIE","-4.9839","216.805"
"25","1903","Liechtenstein","Jan","LIE","-5.6532","110.41"
"26","1903","Liechtenstein","Feb","LIE","-2.9847","68.6389"
"27","1903","Liechtenstein","Mar","LIE","-0.9054","66.3927"
"28","1903","Liechtenstein","Apr","LIE","-2.2799","172.287"
"29","1903","Liechtenstein","May","LIE","4.96057","107.832"
"30","1903","Liechtenstein","Jun","LIE","7.26189","152.09"
"31","1903","Liechtenstein","Jul","LIE","9.10961","237.892"
"32","1903","Liechtenstein","Aug","LIE","9.99351","203.449"
"33","1903","Liechtenstein","Sep","LIE","7.67089","87.5641"
"34","1903","Liechtenstein","Oct","LIE","4.50697","191.495"
"35","1903","Liechtenstein","Nov","LIE","-1.0941","163.399"
"36","1903","Liechtenstein","Dec","LIE","-5.0776","87.5118"
"37","1904","Liechtenstein","Jan","LIE","-5.5872","47.4051"
"38","1904","Liechtenstein","Feb","LIE","-4.3145","189.287"
"39","1904","Liechtenstein","Mar","LIE","-2.2893","128.878"
"40","1904","Liechtenstein","Apr","LIE","2.44849","181.816"
"41","1904","Liechtenstein","May","LIE","6.08855","217.494"
"42","1904","Liechtenstein","Jun","LIE","9.32328","168.219"
"43","1904","Liechtenstein","Jul","LIE","12.5277","92.0411"
"44","1904","Liechtenstein","Aug","LIE","10.8917","136.013"
"45","1904","Liechtenstein","Sep","LIE","5.65762","193.599"
"46","1904","Liechtenstein","Oct","LIE","3.58867","87.6448"
"47","1904","Liechtenstein","Nov","LIE","-2.3568","121.009"
"48","1904","Liechtenstein","Dec","LIE","-3.6158","119.682"
"49","1905","Liechtenstein","Jan","LIE","-7.6262","115.363"
"50","1905","Liechtenstein","Feb","LIE","-5.4389","85.2213"
"51","1905","Liechtenstein","Mar","LIE","-1.7677","140.838"
"52","1905","Liechtenstein","Apr","LIE","0.39619","201.952"
"53","1905","Liechtenstein","May","LIE","3.67801","168.786"
"54","1905","Liechtenstein","Jun","LIE","8.97249","122.344"
"55","1905","Liechtenstein","Jul","LIE","12.4526","174.676"
"56","1905","Liechtenstein","Aug","LIE","10.0061","312.413"
"57","1905","Liechtenstein","Sep","LIE","8.01062","159.509"
"58","1905","Liechtenstein","Oct","LIE","0.21504","139.541"
"59","1905","Liechtenstein","Nov","LIE","-1.6051","149.735"
