"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"100","1999","Czech Republic","Feb","CZE","-1.2327","55.5037"
"101","1999","Czech Republic","Jan","CZE","-0.1748","31.5122"
"102","1999","Czech Republic","Jul","CZE","18.8915","95.7868"
"103","1999","Czech Republic","Jun","CZE","15.6046","100.214"
"104","1999","Czech Republic","Mar","CZE","4.91401","36.8365"
"105","1999","Czech Republic","May","CZE","13.6573","61.2791"
"106","1999","Czech Republic","Nov","CZE","1.94693","46.9261"
"107","1999","Czech Republic","Oct","CZE","8.85064","31.3418"
"108","1999","Czech Republic","Sep","CZE","16.6756","44.5579"
"109","2000","Czech Republic","Apr","CZE","11.1867","20.0204"
"110","2000","Czech Republic","Aug","CZE","19.004","61.8469"
"111","2000","Czech Republic","Dec","CZE","1.04207","36.9912"
"112","2000","Czech Republic","Feb","CZE","2.56193","41.5526"
"113","2000","Czech Republic","Jan","CZE","-2.1714","45.8361"
"114","2000","Czech Republic","Jul","CZE","15.977","117.684"
"115","2000","Czech Republic","Jun","CZE","17.5398","48.153"
"116","2000","Czech Republic","Mar","CZE","4.26612","87.5131"
"117","2000","Czech Republic","May","CZE","15.0089","62.4488"
"118","2000","Czech Republic","Nov","CZE","5.58815","42.9235"
"119","2000","Czech Republic","Oct","CZE","11.4265","49.0809"
"120","2000","Czech Republic","Sep","CZE","13.5882","46.4612"
"121","2001","Czech Republic","Apr","CZE","7.25414","60.8224"
"122","2001","Czech Republic","Aug","CZE","19.0939","78.4244"
"123","2001","Czech Republic","Dec","CZE","-3.1944","52.9451"
"124","2001","Czech Republic","Feb","CZE","0.74364","29.5423"
"125","2001","Czech Republic","Jan","CZE","-1.3096","40.6416"
"126","2001","Czech Republic","Jul","CZE","18.4748","120.017"
"127","2001","Czech Republic","Jun","CZE","14.3934","73.1145"
"128","2001","Czech Republic","Mar","CZE","4.17739","69.6339"
"129","2001","Czech Republic","May","CZE","14.5736","52.2929"
"130","2001","Czech Republic","Nov","CZE","2.20288","46.7458"
"131","2001","Czech Republic","Oct","CZE","12.1033","23.1917"
"132","2001","Czech Republic","Sep","CZE","11.8684","104.496"
"133","2002","Czech Republic","Apr","CZE","8.00842","32.8703"
"134","2002","Czech Republic","Aug","CZE","19.152","136.175"
"135","2002","Czech Republic","Dec","CZE","-2.6093","59.1731"
"136","2002","Czech Republic","Feb","CZE","3.78247","54.6124"
"137","2002","Czech Republic","Jan","CZE","-0.8224","20.7117"
"138","2002","Czech Republic","Jul","CZE","18.9058","90.9383"
"139","2002","Czech Republic","Jun","CZE","17.6609","83.3085"
"140","2002","Czech Republic","Mar","CZE","4.96068","49.7535"
"141","2002","Czech Republic","May","CZE","15.269","52.7547"
"142","2002","Czech Republic","Nov","CZE","4.83119","76.0833"
"143","2002","Czech Republic","Oct","CZE","7.65925","83.1706"
