"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","India","Jan","IND","16.2337","29.8409"
"2","1901","India","Feb","IND","18.1292","21.277"
"3","1901","India","Mar","IND","23.3869","20.6549"
"4","1901","India","Apr","IND","27.4298","22.9126"
"5","1901","India","May","IND","29.7121","51.8245"
"6","1901","India","Jun","IND","30.1526","102.149"
"7","1901","India","Jul","IND","27.5394","226.014"
"8","1901","India","Aug","IND","26.1974","246.507"
"9","1901","India","Sep","IND","26.2971","115.325"
"10","1901","India","Oct","IND","25.2159","54.2339"
"11","1901","India","Nov","IND","20.6131","37.146"
"12","1901","India","Dec","IND","17.4976","8.54215"
"13","1902","India","Jan","IND","17.8293","6.29279"
"14","1902","India","Feb","IND","19.4771","2.70003"
"15","1902","India","Mar","IND","24.7868","14.0353"
"16","1902","India","Apr","IND","27.8089","34.2501"
"17","1902","India","May","IND","30.1774","44.7959"
"18","1902","India","Jun","IND","29.7199","120.465"
"19","1902","India","Jul","IND","27.3214","247.437"
"20","1902","India","Aug","IND","27.0636","198.724"
"21","1902","India","Sep","IND","25.8856","203.163"
"22","1902","India","Oct","IND","24.3879","61.0189"
"23","1902","India","Nov","IND","20.0777","24.6103"
"24","1902","India","Dec","IND","16.9854","18.7475"
"25","1903","India","Jan","IND","16.9786","10.0131"
"26","1903","India","Feb","IND","18.371","6.28947"
"27","1903","India","Mar","IND","22.5593","11.6004"
"28","1903","India","Apr","IND","27.0279","12.5477"
"29","1903","India","May","IND","29.3773","54.8008"
"30","1903","India","Jun","IND","30.0555","146.599"
"31","1903","India","Jul","IND","27.7137","270.755"
"32","1903","India","Aug","IND","26.2918","258.055"
"33","1903","India","Sep","IND","26.154","183.061"
"34","1903","India","Oct","IND","24.1921","91.599"
"35","1903","India","Nov","IND","19.5321","37.0423"
"36","1903","India","Dec","IND","16.5969","14.8986"
"37","1904","India","Jan","IND","16.7579","8.77996"
"38","1904","India","Feb","IND","18.9178","7.5047"
"39","1904","India","Mar","IND","22.97","24.1833"
"40","1904","India","Apr","IND","28.0257","23.7697"
"41","1904","India","May","IND","29.4679","66.6932"
"42","1904","India","Jun","IND","28.8645","137.088"
"43","1904","India","Jul","IND","26.5548","242.634"
"44","1904","India","Aug","IND","26.2601","215.794"
"45","1904","India","Sep","IND","25.9469","122.151"
"46","1904","India","Oct","IND","24.4625","61.7694"
"47","1904","India","Nov","IND","19.9134","9.39467"
"48","1904","India","Dec","IND","17.301","9.35195"
"49","1905","India","Jan","IND","15.8504","16.8285"
"50","1905","India","Feb","IND","16.7396","16.5099"
"51","1905","India","Mar","IND","21.5774","24.7594"
"52","1905","India","Apr","IND","25.5911","32.5891"
"53","1905","India","May","IND","30.1248","48.0216"
"54","1905","India","Jun","IND","30.4","72.739"
"55","1905","India","Jul","IND","27.3008","229.172"
"56","1905","India","Aug","IND","26.6781","212.898"
"57","1905","India","Sep","IND","26.1677","192.568"
"58","1905","India","Oct","IND","24.6475","46.8795"
"59","1905","India","Nov","IND","21.0609","8.86903"
"60","1905","India","Dec","IND","17.0717","4.94187"
"61","1906","India","Jan","IND","16.3253","10.965"
"62","1906","India","Feb","IND","18.0866","35.1545"
"63","1906","India","Mar","IND","22.1741","23.4116"
"64","1906","India","Apr","IND","27.6874","11.0414"
"65","1906","India","May","IND","30.9088","33.9573"
"66","1906","India","Jun","IND","28.9002","190.652"
"67","1906","India","Jul","IND","27.1337","261.244"
"68","1906","India","Aug","IND","26.2707","246.538"
"69","1906","India","Sep","IND","25.7492","153.134"
"70","1906","India","Oct","IND","24.4294","49.5092"
"71","1906","India","Nov","IND","21.0013","17.3529"
"72","1906","India","Dec","IND","17.8986","18.5486"
"73","1907","India","Jan","IND","17.8529","9.01215"
"74","1907","India","Feb","IND","18.2875","32.3976"
"75","1907","India","Mar","IND","22.0295","30.9315"
"76","1907","India","Apr","IND","25.9484","56.5579"
"77","1907","India","May","IND","28.9049","30.0017"
