"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Somalia",25.1777,25.7345,27.2376,27.806,27.8329,27.7219,26.8237,26.8566,27.4531,26.5611,25.599,25.1896,3.54824,6.52082,9.04464,56.799,68.7582,13.1195,14.855,25.2087,15.4798,36.6121,17.5206,56.6244
"13","1902","Somalia",24.7711,25.4248,26.6912,26.9399,26.7373,28.0871,28.7266,28.8449,28.7115,26.9391,25.851,24.9339,3.17466,2.11356,6.61647,30.0975,90.1842,17.5216,4.7586,3.62133,8.46798,52.0585,104.094,4.1511
"25","1903","Somalia",26.2228,26.6026,27.6846,28.5451,28.0561,27.9514,28.0589,27.3752,27.6696,26.5779,25.0222,24.6375,4.19445,2.50318,7.3028,52.1915,40.7269,6.08368,8.96602,8.21085,41.651,36.2824,17.0789,4.52666
"37","1904","Somalia",24.2185,25.7903,26.8814,27.8864,28.038,28.318,27.1691,27.1003,27.2494,26.0142,25.2446,24.6255,3.09807,2.08139,12.615,30.0737,51.8018,17.5258,8.82241,3.01331,36.9452,39.2145,26.8779,4.8975
"49","1905","Somalia",25.1057,25.2808,26.7879,27.6271,27.5934,27.5902,27.4321,26.9238,27.6063,27.1936,26.1228,25.34,3.21404,2.55343,64.7607,59.6618,61.2464,8.2685,15.7349,5.90155,40.1002,33.9776,57.2662,4.0638
"61","1906","Somalia",24.3837,26.6956,26.9331,27.5926,28.5805,28.4797,27.2137,27.3888,27.8722,26.613,24.8271,23.457,2.84061,2.44027,19.1291,117.397,80.8572,26.1175,17.0402,6.53056,5.8355,28.5402,36.448,5.55544
"73","1907","Somalia",23.9824,25.9303,27.4081,28.1073,28.2476,28.0068,27.1214,26.6178,27.4064,26.6098,25.1783,23.0591,3.27791,2.58119,6.45368,86.8467,84.823,9.6729,15.5997,7.6286,14.7875,38.9573,28.7372,30.0314
"85","1908","Somalia",24.8429,25.3345,28.0538,28.9674,29.8003,28.546,27.4816,27.2017,28.6349,29.2706,24.6085,23.4423,3.38879,2.01657,7.01123,56.1054,69.162,10.0248,10.661,7.39364,12.441,37.451,22.5382,4.19963
"97","1909","Somalia",23.4967,24.5953,26.247,26.4408,27.4089,26.7928,27.3171,27.1726,27.4889,26.3581,24.7011,24.6488,3.48465,1.81097,6.73296,44.4459,57.0655,7.43532,10.6816,21.7035,6.38599,29.7008,19.9712,10.3223
"109","1910","Somalia",24.4435,25.4137,27.2455,28.3298,28.2513,28.3167,27.9166,27.3727,27.0892,26.137,25.4159,25.8544,2.97101,1.85369,8.37674,30.9383,84.4038,9.99723,14.0647,14.5472,7.12904,29.345,18.3089,12.6028
"121","1911","Somalia",25.2008,24.9011,26.9565,27.5215,27.3878,28.1517,25.699,26.4708,26.7277,25.9343,25.1709,23.8981,1.83335,1.41981,19.0242,71.5663,36.993,6.7671,19.8347,7.999,47.5211,28.7006,19.7205,2.43558
"133","1912","Somalia",23.9717,25.3383,26.3417,26.8586,26.6604,26.5184,24.7881,25.2083,25.617,25.6404,25.1599,23.0773,1.78613,2.97338,4.28724,141.508,36.3801,5.8112,5.71136,13.0251,4.67471,14.0381,65.4712,5.79311
"145","1913","Somalia",23.6198,24.4232,25.8444,26.8457,27.4674,26.4087,26.0599,26.1818,27.279,26.2323,25.1217,24.4158,1.78123,1.71827,17.4232,23.4768,61.0695,14.5171,5.01143,14.1446,8.88039,146.591,66.9951,2.16712
"157","1914","Somalia",24.3601,25.3302,26.7119,27.2884,27.398,27.362,26.3807,26.6238,27.1152,26.3125,25.2072,25.4471,2.05726,1.51526,3.84935,15.2807,38.361,10.5684,6.82605,30.4901,27.3139,47.0636,20.9816,2.186
"169","1915","Somalia",24.6016,25.9373,27.0194,28.4679,27.656,27.1207,26.4001,26.4931,27.294,26.4533,25.7922,24.2401,1.70091,1.29479,6.39456,22.9077,38.3878,12.0277,9.08292,3.62868,24.175,14.0154,22.4283,5.54786
