"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Macedonia",17.85,12.7718,17.8343,22.8312,25.5906,27.375,28.1875,27.5156,26.7625,24.5812,20.2562,15.875,28.2,24.5718,61.3562,262.253,321.809,97.2843,174.371,348.781,81.0437,52.1406,27.2468,24.225
"13","1902","Macedonia",16.65,14.775,20.2843,23.1187,26.4781,26.875,27.9875,28.1406,26.9,24.3343,21.6968,17.5312,9.99375,0.68125,18.8343,54.2781,598.793,384.865,372.337,553.853,20.8843,27.9093,173.262,104.746
"25","1903","Macedonia",14.4625,14.4343,19.6968,22.7312,24.7906,27.5156,27.8875,27.4687,26.375,24.3437,19.2968,15.5718,52.0281,13.6187,110.031,139.465,347.396,582.509,246.59,383.537,347.759,97.125,39.125,3.525
"37","1904","Macedonia",14.8906,16.3531,17.6937,22.1312,24.8562,26.6875,27.5531,27.3687,26.975,24.5437,19.8656,15.275,4.00625,6.20312,147.668,65.1437,175.85,441.4,220.221,618.062,213.321,49.3718,10.4375,12.6031
"49","1905","Macedonia",17.55,13.4281,15.95,20.6968,26.1781,27.4468,28.075,28.0031,27.1062,24.4468,20.1781,18.0375,66.5437,36.7968,225.915,76.9749,148.256,438.412,207.721,267.128,92.1781,43.0468,12.2406,75.6718
"61","1906","Macedonia",14.7625,15.7125,17.0687,21.7437,25.6625,28.2,28.3468,28.7406,27.5625,23.9343,19.4687,16.9875,71.3593,66.9187,105.599,279.659,289.05,143.19,231.446,85.5125,607.75,27.8062,6.4625,21.0562
"73","1907","Macedonia",15.9625,14.9,18.0937,21.2156,24.9781,26.575,27.9843,28.2406,27.175,25.9343,21.6687,16.175,123.587,7.58125,16.8093,315.125,306.256,287.415,200.909,330.709,353.884,259.834,54.1031,50.7218
"85","1908","Macedonia",16.2718,14.6375,16.6968,21.0312,24.9781,26.9875,28.1875,28.0406,27.4625,24.9687,20.6562,17.1781,109.362,83.4593,28.2281,202.787,55.0156,355.981,477.815,312.643,243.821,154.774,18.1812,142.006
"97","1909","Macedonia",15.7625,15.8375,18.125,21.9593,24.3906,27.9875,28.1875,28.5406,28.0125,25.3468,20.8187,16.875,77.8718,68.4531,95.0781,99.1593,208.731,243.003,267.378,203.193,157.862,502.168,13.7468,0.02187
"109","1910","Macedonia",16.15,15.3218,17.9968,21.4281,26.125,28.1875,28.0968,28.1406,26.875,23.7843,20.1687,15.375,30.9937,23.8531,31.7156,116.175,58.5812,382.509,281.65,264.706,262.912,6.26562,84.7687,33.4906
