"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Ghana","Jan","GHA","24.821","14.8949"
"2","1901","Ghana","Feb","GHA","28.7097","77.5442"
"3","1901","Ghana","Mar","GHA","28.1344","53.0231"
"4","1901","Ghana","Apr","GHA","28.453","110.005"
"5","1901","Ghana","May","GHA","26.561","146.914"
"6","1901","Ghana","Jun","GHA","26.5507","143.779"
"7","1901","Ghana","Jul","GHA","25.6731","94.3852"
"8","1901","Ghana","Aug","GHA","25.2724","149.363"
"9","1901","Ghana","Sep","GHA","25.7929","220.271"
"10","1901","Ghana","Oct","GHA","26.9179","180.238"
"11","1901","Ghana","Nov","GHA","27.3749","40.4545"
"12","1901","Ghana","Dec","GHA","24.7284","10.6037"
"13","1902","Ghana","Jan","GHA","25.308","5.00495"
"14","1902","Ghana","Feb","GHA","28.3395","44.197"
"15","1902","Ghana","Mar","GHA","28.9559","82.5277"
"16","1902","Ghana","Apr","GHA","30.0488","156.247"
"17","1902","Ghana","May","GHA","28.4792","207.637"
"18","1902","Ghana","Jun","GHA","24.9945","171.555"
"19","1902","Ghana","Jul","GHA","25.7871","135.131"
"20","1902","Ghana","Aug","GHA","25.6345","124.8"
"21","1902","Ghana","Sep","GHA","25.5789","100.092"
"22","1902","Ghana","Oct","GHA","25.1475","82.2761"
"23","1902","Ghana","Nov","GHA","27.5152","35.5345"
"24","1902","Ghana","Dec","GHA","26.4644","13.587"
"25","1903","Ghana","Jan","GHA","27.0104","11.03"
"26","1903","Ghana","Feb","GHA","29.1182","50.4687"
"27","1903","Ghana","Mar","GHA","29.5074","31.1779"
"28","1903","Ghana","Apr","GHA","29.1539","100.409"
"29","1903","Ghana","May","GHA","28.1193","134.224"
"30","1903","Ghana","Jun","GHA","26.5876","120.336"
"31","1903","Ghana","Jul","GHA","25.4954","99.3901"
"32","1903","Ghana","Aug","GHA","25.2234","135.662"
"33","1903","Ghana","Sep","GHA","25.699","118.477"
"34","1903","Ghana","Oct","GHA","27.0615","112.171"
