"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Tonga",26.1292,26.1475,25.6218,25.5035,24.112,22.7595,22.5595,21.8863,22.6729,22.8595,24.3303,25.4035,186.92,197.459,270.544,170.59,106.668,73.8894,87.1335,108.231,121.569,105.03,124.847,135.385
"13","1902","Tonga",25.7292,26.5475,25.8218,24.9035,24.012,22.6595,22.4595,21.7863,22.3729,23.2595,24.8303,25.6035,186.92,197.459,270.544,170.59,106.668,73.8894,87.1335,108.231,121.569,105.03,124.847,135.385
"25","1903","Tonga",24.9292,26.1475,26.0218,24.8035,23.712,23.3595,22.1595,22.3863,22.1729,23.0595,23.7303,24.5035,186.92,197.459,270.544,170.59,106.668,73.8894,87.1335,108.231,121.569,105.03,124.847,135.385
"37","1904","Tonga",24.5292,25.4475,24.8218,24.2035,23.312,22.7595,21.6595,21.5863,22.2729,23.3595,24.5303,25.4035,186.92,197.459,270.544,170.59,106.668,73.8894,87.1335,108.231,121.569,105.03,124.847,135.385
"49","1905","Tonga",25.7292,26.6475,25.7218,24.7035,23.112,22.2595,21.7595,21.3863,21.9729,23.0595,23.9303,24.6035,186.92,197.459,270.544,170.59,106.668,73.8894,87.1335,108.231,115.616,91.9848,115.113,118.21
"61","1906","Tonga",26.6292,26.7475,26.1218,25.4035,23.712,22.8595,22.0595,22.1863,22.7729,23.1595,23.8303,24.9035,170.548,176.717,285.548,157.061,106.668,73.9832,80.4296,101.487,121.569,94.6396,124.847,151.462
"73","1907","Tonga",25.3292,26.0475,25.0218,24.4035,23.012,23.5595,22.1595,21.1863,22.2729,23.3595,23.8303,24.8035,166.379,191.586,257.297,161.191,112.782,71.3151,93.6364,104.624,121.261,105.258,125.102,142.907
"85","1908","Tonga",25.3292,25.7475,25.1218,24.6035,23.512,23.5595,21.3595,22.4863,21.8729,22.9595,23.7303,24.9035,221.794,197.741,268.815,185.607,101.439,65.3217,82.3871,108.231,121.569,97.8307,125.906,131.457
"97","1909","Tonga",24.6292,25.5475,25.1218,23.8035,22.912,22.6595,21.5595,22.4863,22.4729,23.0595,23.7303,24.3035,175.925,208.118,266.897,170.59,99.4286,74.6536,79.3837,103.619,111.889,100.887,120.65,171.225
"109","1910","Tonga",25.1292,25.6475,24.8218,24.3035,23.212,22.1595,22.2595,22.3863,22.5729,22.5595,23.8303,24.6035,182.093,202.098,269.23,165.012,119.554,69.8938,87.4956,113.353,137.122,106.854,116.467,161.223
