"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"265","1923","Azerbaijan",0.37123,0.73867,4.383,8.37169,17.5408,22.9021,25.1809,22.1342,19.2778,13.6225,7.79916,2.57037,23.6325,16.4678,38.5818,82.5935,20.3835,71.1358,42.1513,68.7154,12.8906,27.7988,6.40005,16.3921
"277","1924","Azerbaijan",1.73577,0.22202,4.20697,9.70165,16.6552,23.3436,23.8523,24.4842,21.4129,12.3941,6.30255,-2.1184,20.7288,41.6512,45.408,55.5385,25.4282,33.9994,24.5207,22.182,30.3853,84.8067,33.3071,29.7918
"289","1925","Azerbaijan",-3.9199,-0.2583,7.55391,9.97056,17.567,21.2031,23.9285,25.3447,20.4944,12.2784,7.11237,3.65558,13.8491,1.45771,21.4054,28.3088,29.3036,30.0897,31.6165,10.6309,32.2564,36.6817,16.4407,28.2137
"301","1926","Azerbaijan",0.00355,0.51762,4.22122,10.1611,17.0456,20.6526,22.8735,24.2485,17.5624,12.3594,6.68163,2.86971,19.4575,33.5228,25.7645,47.652,45.2334,67.7082,55.498,11.1319,41.3905,13.7362,10.5423,20.7715
"313","1927","Azerbaijan",-2.7356,-2.5185,4.01451,10.5974,16.2469,22.7821,24.6588,24.8499,20.343,16.2402,6.88804,-1.523,19.2725,26.5339,31.8606,61.1153,58.4275,28.9484,24.9132,12.7716,47.963,23.8254,67.0435,25.1099
"325","1928","Azerbaijan",-3.7787,-2.8673,-0.7539,11.5036,15.9314,20.7366,23.3722,21.4055,19.5256,11.2716,8.17427,1.2393,11.0226,42.5642,44.3959,24.1995,44.3406,42.6535,27.089,43.5745,30.1448,39.9904,28.3772,46.2326
"337","1929","Azerbaijan",-2.9312,-4.3508,-0.2732,9.21019,18.1282,20.3653,23.6184,25.3132,19.2847,13.7948,7.47924,0.07095,27.5293,40.9809,42.5972,42.2249,43.1164,55.8815,11.8292,7.93777,44.9186,18.0533,23.4966,33.1902
"349","1930","Azerbaijan",-0.7593,-0.9466,5.20579,10.6282,16.4435,19.868,24.8346,25.7329,18.9311,12.4281,8.18679,0.6186,18.6802,49.1594,19.2917,42.0863,33.4614,54.7677,10.5089,19.3765,30.8413,67.8438,27.4552,36.2245
"361","1931","Azerbaijan",-2.7468,-2.2318,4.97045,8.9871,15.1917,21.212,25.5293,23.7608,21.0005,12.7607,4.47578,-3.0019,28.5746,18.4328,35.8477,62.2349,59.9325,53.6119,43.8146,38.0541,15.2446,38.2609,57.9361,31.1472
"373","1932","Azerbaijan",-2.9603,-1.7302,3.32864,11.6418,16.4387,22.3558,22.7228,24.0277,19.0475,14.7188,4.80685,-1.8776,24.9228,29.1466,43.7374,41.0642,49.4773,26.9232,30.0064,27.4866,41.9395,22.9547,53.8848,20.8561
"385","1933","Azerbaijan",-4.4621,-0.8248,1.82873,9.24703,16.4351,19.6213,23.9026,24.7825,20.3054,13.3348,7.46459,-1.4828,33.8675,21.2058,47.9313,32.4957,33.5813,81.8825,27.0861,5.39797,20.7064,41.8281,34.5516,26.9982
"397","1934","Azerbaijan",-3.9106,0.23859,4.55966,9.25551,15.509,20.6265,24.5372,23.3716,18.4059,13.3588,7.00023,0.26853,18.3445,9.84615,17.5021,65.7807,34.18,46.899,25.142,27.0921,37.3144,28.325,21.2071,17.2124
"409","1935","Azerbaijan",-4.3061,1.45507,2.96811,12.4011,16.5159,20.2077,24.1438,25.8939,21.766,15.0304,5.02299,2.90488,31.0817,17.2089,38.963,27.8722,44.6695,71.7606,25.0013,15.6422,18.0311,44.8451,61.7105,10.1959
"421","1936","Azerbaijan",0.16179,1.17565,3.95003,10.8575,14.8063,21.1878,24.9741,24.4436,18.0854,13.0177,8.22547,0.74935,6.57231,17.0122,33.2222,41.1056,57.8471,75.824,51.4081,14.6599,38.512,51.8839,31.3083,18.9389
"433","1937","Azerbaijan",-3.3125,-0.5118,4.70483,10.2505,15.3516,19.191,25.5599,25.5251,22.1628,14.4368,8.30628,3.07806,45.0996,12.3895,15.531,43.2174,110.697,53.9439,13.6074,26.9858,16.101,40.6025,40.7375,15.378
"445","1938","Azerbaijan",1.07158,1.28637,2.81196,11.4728,16.369,20.9776,25.1721,24.7409,20.4903,13.6072,7.28652,1.84396,22.313,36.9548,26.6215,29.094,58.8009,18.5443,22.1837,18.499,60.1346,20.935,17.9418,47.6275
"457","1939","Azerbaijan",0.32849,1.63705,3.64581,10.1897,17.7895,22.8485,24.2884,23.4856,18.371,12.4085,6.43258,2.42404,9.40991,17.3514,38.1334,54.8214,35.4536,47.1541,41.9125,27.3043,15.1971,41.5621,79.5548,20.2038
"469","1940","Azerbaijan",-1.8665,0.92734,2.5844,12.4695,14.5284,21.429,24.952,26.2871,20.3508,12.7394,8.37286,3.64551,42.0264,29.9736,32.5376,29.6194,68.0005,54.3556,35.636,3.13294,30.3029,70.3474,7.92872,36.6793
"481","1941","Azerbaijan",-0.8572,3.22632,5.17825,11.7885,17.712,22.6511,25.3461,23.4036,20.2708,11.2048,4.19453,-1.7486,35.2081,18.3431,36.8558,46.9877,34.8761,16.8392,16.7651,31.9597,48.8447,25.2346,49.1712,12.3399
"493","1942","Azerbaijan",-2.6016,-0.6302,1.86503,8.70993,16.5203,22.3656,24.5088,24.5152,19.1129,13.7489,7.13525,1.28748,47.8895,32.0538,51.1086,59.502,80.1844,22.3149,10.8238,5.24081,31.0952,47.359,52.525,19.1088
"505","1943","Azerbaijan",-0.9393,-1.4452,0.89698,10.3967,16.6585,20.8887,23.939,24.3864,18.7305,14.0449,7.63098,2.24263,27.264,36.1941,58.5796,19.0642,61.306,55.5321,25.77,41.6013,60.1398,43.4266,23.22,37.8416
"517","1944","Azerbaijan",-0.6582,2.44808,7.53107,10.8574,16.2346,21.8214,24.5166,22.4538,19.9411,13.6606,7.90408,-0.7861,36.0516,11.0846,16.2109,53.542,69.7217,48.9871,23.6875,25.7345,25.4127,51.4614,39.4766,10.4698
"529","1945","Azerbaijan",-0.6393,-1.7823,2.86028,9.57457,15.0652,19.8335,24.1504,24.1332,19.6977,12.973,5.18647,-0.448,40.2355,45.4566,27.1935,27.4075,53.9511,56.9677,13.0319,26.2271,22.4131,23.267,48.1501,21.8799
"541","1946","Azerbaijan",-1.7065,1.50337,4.69617,10.4031,16.8042,21.1117,23.0368,24.0361,20.9773,10.7987,6.50518,-1.8206,19.7611,22.4836,68.2197,42.342,69.5149,46.7454,33.7196,9.47606,45.5844,102.628,20.2695,28.6198
"553","1947","Azerbaijan",-0.9255,-0.0338,7.16749,11.4657,15.3083,21.2956,24.8441,23.4334,18.5084,12.3592,8.63147,3.65082,30.4563,15.8625,26.1052,48.7885,51.9584,35.1015,29.3816,17.1773,47.6248,33.7768,34.1027,21.3801
"565","1948","Azerbaijan",2.68706,2.87354,2.27527,9.1215,17.2735,23.3101,25.2006,25.0381,18.4664,11.5956,4.77899,-2.4986,12.3734,31.8364,46.0955,43.773,30.0558,54.6305,17.8829,14.4973,37.6868,34.2993,37.8106,19.995
"577","1949","Azerbaijan",-3.2043,-2.886,1.78865,8.69315,15.9623,23.0975,25.9812,23.9811,18.518,10.6976,7.2154,1.28043,27.4532,29.0948,58.9471,41.2586,55.1614,23.9466,5.93683,37.1531,25.7928,37.4813,15.2468,36.3271
"589","1950","Azerbaijan",-6.1691,-2.9496,3.91609,13.07,17.8918,20.4299,23.6043,23.1339,20.7442,13.2436,5.95904,1.34638,42.074,24.3105,36.1142,14.567,54.1554,58.5188,13.3339,34.6716,10.5123,55.9234,25.2568,11.5003
"601","1951","Azerbaijan",-0.6142,-2.3122,6.07871,13.096,16.9545,21.5147,25.0183,24.907,19.0239,9.46383,6.51779,1.02107,32.9036,29.0452,12.3753,32.4388,42.2803,50.4973,9.38593,10.0864,85.061,134.664,22.843,44.9694
"613","1952","Azerbaijan",0.36427,2.25683,3.59798,9.34387,15.3241,19.751,24.7038,25.3546,20.3284,15.9091,6.09135,1.98035,13.0106,25.7832,49.8644,65.5874,56.1297,61.7674,6.63715,12.2432,9.95602,16.8549,22.1784,18.3861
"625","1953","Azerbaijan",1.45653,2.87183,2.96105,10.7512,16.579,22.2147,24.2701,25.3266,18.958,12.3747,3.20801,-2.8483,19.5033,18.7288,46.7252,29.3322,39.3781,39.8711,40.8852,9.14595,24.0857,40.6693,73.1342,38.9396
"637","1954","Azerbaijan",-3.1341,-2.4974,2.22174,8.61096,16.7928,22.2487,25.7964,25.2016,20.4738,14.8486,7.7776,2.45344,18.0447,37.8845,56.7053,52.3511,47.0907,19.9913,37.7615,8.13562,28.3148,7.21806,41.1831,22.5962
"649","1955","Azerbaijan",1.6856,4.71599,4.85102,10.4235,16.7121,21.8601,24.5065,23.8177,19.7423,14.8239,7.30636,1.7992,17.6383,14.497,59.2448,42.2995,68.6022,52.266,43.6028,37.8512,57.47,14.7728,67.9487,24.6759
"661","1956","Azerbaijan",0.60061,-0.375,1.40636,10.5352,14.0952,20.7582,23.2275,24.5416,17.1375,12.0303,5.09215,-1.7959,21.8374,44.3567,75.862,61.147,79.696,18.3526,12.572,19.8528,65.5181,26.4447,24.4706,35.1895
"673","1957","Azerbaijan",-4.2152,0.95828,4.15739,11.6953,17.4229,21.1444,23.6072,24.6698,22.0048,12.6033,6.51892,2.36406,40.8814,16.4522,48.6175,18.5914,40.2203,54.7338,47.4668,33.9127,19.8437,45.8831,28.2032,27.3851
"685","1958","Azerbaijan",2.17794,3.18482,6.01935,10.2907,17.7445,21.1401,22.8518,23.4747,18.047,11.8265,4.44592,0.06263,21.8295,6.18273,32.8465,44.1859,35.846,44.1947,60.7441,26.2332,48.1268,44.6223,32.0568,32.9934
"697","1959","Azerbaijan",0.93097,-2.5905,2.53332,12.0963,16.3058,20.133,24.2403,23.4206,17.4031,9.98525,4.96705,-0.7707,13.1359,39.2214,53.0418,21.9492,62.2046,52.1535,22.7724,34.2344,25.6188,43.5481,50.7151,20.6137
"709","1960","Azerbaijan",1.69341,1.74404,1.89126,9.85565,16.0089,21.4329,23.6916,23.182,19.2151,14.0292,7.46945,2.52375,17.6514,28.3434,45.9205,55.5575,33.1816,50.3514,40.7912,13.9914,21.3864,27.1464,26.3941,14.9391
"721","1961","Azerbaijan",0.0745,1.30292,4.62906,11.5437,18.4892,22.9245,24.5967,24.2361,18.1376,12.0574,7.65265,3.78485,24.4818,24.1185,13.7563,39.5549,36.2949,38.3146,14.6782,10.2396,31.1225,57.6756,24.1803,11.2776
"733","1962","Azerbaijan",-0.2793,2.57926,7.79053,10.951,17.3866,21.2969,26.0163,24.2597,19.5721,12.8853,7.31513,3.37644,17.1052,37.6958,28.0877,58.249,32.2536,53.5953,18.3573,37.1935,35.4531,59.8559,37.0067,28.0884
"745","1963","Azerbaijan",2.8009,3.58097,4.00356,11.0896,15.5492,20.4502,24.0604,23.0378,19.9083,13.6647,6.43957,0.34125,24.1811,30.6984,48.4763,62.0055,110.917,85.3765,53.8947,56.8262,51.5736,40.1972,34.5717,44.129
"757","1964","Azerbaijan",-5.7033,-0.3703,4.53584,9.47503,16.5653,22.5233,23.7261,22.6209,19.2095,12.0282,7.08925,0,27.9998,26.1613,45.9998,54.6366,33.3578,49.6537,26.9665,33.3314,11.0459,22.9703,22.5218,10.0764
"769","1965","Azerbaijan",-2.0856,-0.0683,5.02638,9.00512,16.6519,21.4265,23.934,24.0719,18.927,10.3023,6.85233,3.07511,31.1658,16.5366,39.1961,49.6224,49.7034,53.9328,46.2587,16.8872,35.8343,84.1642,17.2187,13.8778
"781","1966","Azerbaijan",4.71613,4.30741,6.70379,12.601,15.8224,21.9314,25.4743,25.7544,18.9211,13.2688,8.94195,3.71486,22.5081,21.5586,51.7384,74.6698,75.397,32.6963,14.4188,24.9123,77.057,42.5702,18.6675,37.4434
"793","1967","Azerbaijan",1.02767,-2.4429,3.59486,9.76535,16.8287,19.6623,23.0206,24.1874,18.1202,13.4588,7.76484,1.48363,18.8658,35.9142,51.6312,75.5039,56.3224,45.5003,20.5592,14.2246,69.153,34.4441,45.5196,19.2393
"805","1968","Azerbaijan",0.06172,0.27961,4.44379,10.7932,17.7917,19.6493,23.6803,23.1322,20.2385,13.8494,7.90635,1.6293,20.6796,22.6438,28.5841,57.2982,25.0144,93.0357,20.7752,24.1793,16.7158,31.9186,26.0349,34.6304
"817","1969","Azerbaijan",-3.6121,-4.2285,2.94504,9.42079,15.8516,21.9481,22.5048,23.5378,18.3892,11.7441,5.68517,3.73501,45.6929,39.2963,61.1209,76.6645,52.9357,49.3256,32.6203,5.29299,61.87,49.2489,21.4357,34.3754
"829","1970","Azerbaijan",0.86949,3.50658,6.10907,12.9924,17.1578,21.077,24.4079,23.6376,18.789,11.9375,8.51954,0.42969,23.1166,17.6208,28.0129,43.169,34.3804,38.7511,19.7599,37.4564,13.0475,25.4246,20.7917,42.3474
"841","1971","Azerbaijan",-1.7077,0.34452,6.30848,10.0808,17.3649,20.7165,25.3829,23.7101,21.5065,12.2796,7.73238,1.20829,14.7749,15.6265,33.4248,33.5829,46.0603,29.33,8.55791,14.6341,22.7513,49.5105,21.5968,43.0199
"853","1972","Azerbaijan",-5.9857,-6.149,1.55082,12.8078,15.3651,21.6831,24.9882,23.7365,19.5128,15.1754,6.8875,-1.4138,41.5526,25.4396,40.2626,25.8105,110.316,61.5535,22.7469,18.8232,62.5019,36.3165,30.2629,32.0427
"865","1973","Azerbaijan",-4.3323,1.57267,4.46448,11.0284,16.0043,20.4399,23.5558,24.1157,18.1009,13.6873,4.98998,-0.1858,32.8307,26.7167,55.4662,73.5251,61.2271,43.6015,24.1676,10.6629,23.9007,15.9803,49.1723,22.0141
"877","1974","Azerbaijan",-3.0823,-2.2601,4.41305,9.0055,16.9931,21.752,22.6332,22.3291,17.9386,14.4863,8.14666,1.56238,35.8491,16.7853,56.7593,54.7562,32.3065,50.2289,62.1098,43.8794,39.0123,1.59551,46.6427,24.6321
