"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"277","1924","Egypt",12.8137,16.2022,19.0105,23.5904,25.3474,29.5458,29.8491,29.5682,27.9014,24.1924,18.4865,14.4021,7.74083,3.03477,6.09474,1.35449,1.4834,1.22264,2.62138,3.2653,0.86856,1.67144,6.87701,6.90807
"289","1925","Egypt",10.6468,13.8724,19.9568,21.6645,26.5618,28.5171,29.5484,29.1854,28.188,25.3539,20.9391,16.1938,9.81953,1.08754,2.73555,1.86216,1.35873,2.0007,2.56928,2.74286,0.96356,2.81017,6.16384,1.65504
"301","1926","Egypt",13.1281,14.7666,17.1084,22.9541,28.3076,29.9014,28.6802,28.1043,26.0643,24.4325,19.6169,14.8799,3.60233,2.09319,6.9225,2.7238,0.84581,2.04653,2.4802,2.63639,0.82867,0.78122,1.39366,3.62682
"313","1927","Egypt",13.8372,12.8343,18.4692,21.3062,27.6784,28.8695,30.0273,29.4993,27.5438,26.7142,20.7446,16.6234,1.53627,6.32556,0.70161,1.36577,0.39845,1.21745,2.70905,2.66034,0.82514,0.61694,4.44359,2.54741
"325","1928","Egypt",15.5058,14.2412,18.2816,24.4558,28.8219,28.9186,29.268,30.1397,28.484,24.3081,19.4736,15.3978,1.82722,4.41605,1.18555,2.53334,0.37786,1.21555,2.44479,2.66566,0.86891,0.44784,2.86018,2.51028
"337","1929","Egypt",12.609,14.177,16.9536,22.2826,29.2007,29.176,28.6404,29.7949,28.6886,23.6658,20.709,13.439,8.0706,2.09247,1.15362,6.65156,3.38033,1.22415,2.72124,3.05993,0.87511,0.96656,5.12711,15.2132
"349","1930","Egypt",12.5531,14.7998,18.2429,23.3069,26.6093,29.3316,29.8001,30.2484,28.1965,24.8283,18.9704,17.3267,6.677,2.25577,2.89129,2.09143,4.42715,1.21555,2.44768,3.19658,1.36702,0.88933,2.11352,7.50926
"361","1931","Egypt",14.5322,15.1431,19.2952,22.7232,26.3013,28.6416,29.9396,30.3105,28.618,25.4952,18.8214,14.639,1.75286,3.67842,1.03871,1.49137,1.14458,1.21682,2.44492,4.55556,1.13233,3.20011,2.08248,2.05682
"373","1932","Egypt",12.8215,15.194,18.6053,22.4764,25.3558,29.8684,30.2462,30.0537,27.8674,26.7917,19.9749,14.4574,8.3397,3.06372,0.15822,0.17131,0.59627,1.21555,3.23566,2.89875,0.83137,0.77889,4.17894,3.83345
"385","1933","Egypt",13.5009,16.4315,18.4099,20.2416,26.3704,30.2444,28.6098,28.5764,25.9664,23.3177,22.6282,16.1374,2.52443,2.55414,1.66656,0.66816,1.8905,1.26021,2.52498,3.68579,1.69428,0.58076,1.50577,4.19194
"397","1934","Egypt",13.6386,12.7206,19.5301,23.339,27.625,29.5753,29.3777,29.8196,27.1472,25.4242,21.211,14.6693,6.5761,4.78981,0.14689,1.39799,2.95458,1.41557,2.55269,2.92122,0.7996,0.71201,1.88843,6.27274
"409","1935","Egypt",14.3148,15.2925,19.3516,22.2011,28.7251,30.294,28.9194,29.5843,27.2073,25.7427,17.7583,15.0722,1.92179,2.85212,1.47001,0.28153,0.78141,1.22687,2.46995,2.59417,0.81232,0.9155,2.36636,0.87627
"421","1936","Egypt",14.6811,16.606,19.917,23.9793,27.2317,28.5049,29.8889,29.8311,26.44,26.8394,21.3971,13.6784,0.90232,1.75209,0.30466,0.31607,2.31879,1.22888,3.11563,3.38156,0.88576,2.13709,3.08884,8.23557
"433","1937","Egypt",11.6942,15.868,19.7411,23.4671,26.7476,28.4463,29.5465,29.3756,29.2067,25.7514,20.4363,16.401,4.31267,1.30946,0.23762,4.51847,0.40038,1.26012,2.4618,2.1216,0.81114,5.73237,4.11446,2.93943
"445","1938","Egypt",13.8661,14.4926,15.6744,23.1199,26.2277,27.7499,29.7234,30.3334,27.6044,24.7007,18.721,15.884,5.07066,7.78876,2.34077,1.37529,0.66191,1.21555,2.52125,1.62667,1.83765,0.79987,4.82963,2.30227
"457","1939","Egypt",13.9241,14.8475,17.9198,23.1863,29.1768,28.912,29.6152,29.2556,28.7488,26.8892,19.2136,16.2273,0.93806,7.8877,4.30154,0.76055,0.44034,1.27109,2.45278,1.57838,1.04836,0.84157,4.69336,1.72082
"469","1940","Egypt",13.8835,16.0196,17.5733,23.284,27.281,30.0647,29.7692,28.5432,27.5172,25.9843,19.2916,14.9059,3.19351,2.07888,2.3889,1.84509,0.71402,1.26594,2.57373,1.60233,0.79336,2.11291,1.9914,2.08236
"481","1941","Egypt",14.5028,17.5,18.1795,23.1437,28.7773,29.0291,29.8392,29.9236,26.9763,23.5047,20.2251,13.2529,0.77444,3.45959,4.50693,2.52139,0.57254,1.28118,2.44469,1.56364,0.83563,0.60665,1.51533,5.42065
"493","1942","Egypt",12.5661,15.9433,18.7562,23.7192,27.574,29.7847,28.9104,28.7195,26.3473,24.63,19.7391,15.5219,2.15182,7.56931,2.50066,0.25049,0.7036,1.28331,2.9815,1.66854,0.85082,2.79347,1.60105,2.08009
"505","1943","Egypt",12.6649,13.4252,15.7912,19.4324,25.9741,27.1963,29.2166,29.4742,27.8106,26.3077,21.8876,16.8457,3.00502,4.31153,4.63568,1.3134,2.89136,1.17644,3.039,1.6185,0.8761,3.70965,1.27167,7.68606
"517","1944","Egypt",12.4744,14.4917,18.5324,22.894,25.0383,29.7892,28.9953,29.2617,27.5933,25.4292,18.5434,14.6573,3.62514,0.4152,1.16753,0.59838,6.09133,1.17365,2.5291,1.62539,1.01757,0.37771,4.61388,5.43827
"529","1945","Egypt",12.9848,12.9658,15.4096,20.7353,27.1961,27.6444,29.5791,30.6365,27.5815,23.643,19.3782,13.8581,2.30711,4.10572,2.41912,0.62801,7.02967,1.16883,2.40935,2.12948,0.81839,1.80223,4.59684,2.49092
"541","1946","Egypt",14.0819,13.8027,17.1951,22.0802,26.0871,28.5441,29.163,29.6502,28.559,24.703,21.1055,14.9804,0.80261,2.66311,2.45974,0.62289,2.21316,1.17052,2.79112,1.91035,1.051,1.11731,1.88157,1.29497
"553","1947","Egypt",12.8374,16.0173,19.5609,22.4724,27.3555,28.8562,29.901,29.9402,27.2341,24.3901,19.0972,16.5405,4.76031,0.33926,2.55989,0.29979,0.65701,2.79432,2.73951,1.59686,2.01946,1.40945,4.28021,0.86362
"565","1948","Egypt",14.2884,14.6026,15.1232,20.9696,26.263,28.5376,28.8423,29.1097,26.7816,23.5351,18.7575,13.1899,2.58484,7.24032,5.00615,4.66288,0.73568,1.16574,2.40935,1.69567,0.84339,0.91495,3.39615,5.97302
"577","1949","Egypt",12.2856,12.5497,17.0311,19.5085,27.8801,28.4063,28.5206,28.423,25.6925,23.9201,20.6174,14.6705,5.01943,4.29263,2.87763,2.42324,1.85343,1.15956,2.4079,2.17987,0.83389,0.30751,1.76055,10.9087
"589","1950","Egypt",12.3329,13.7157,17.4669,23.6032,25.7481,27.9732,29.1025,29.5465,27.2861,23.8687,19.061,16.4125,7.2136,2.73379,1.64613,2.03299,4.22906,1.16328,3.89867,3.45123,0.85286,1.03592,1.23828,0.58375
"601","1951","Egypt",13.3657,14.6695,19.2882,21.6125,27.3832,28.1228,28.9001,29.4224,28.4448,25.8068,18.3834,12.8076,1.80327,2.88141,1.14508,0.27454,2.32245,1.15482,2.70392,1.56368,0.99385,0.63752,1.29246,6.94802
"613","1952","Egypt",13.5591,14.7883,16.9035,22.412,26.2763,27.8029,28.6289,30.2634,28.7721,25.4563,18.7364,16.1016,3.59169,9.64072,0.9335,0.17131,0.76236,1.15502,2.42417,3.46714,0.90724,2.16477,0.9277,1.7133
"625","1953","Egypt",12.6206,15.396,15.8461,22.0204,27.1378,29.0897,29.8921,29.3942,26.4067,24.3098,17.4248,13.2629,1.00716,2.13038,3.6597,0.38429,1.28074,1.15539,3.68815,1.99464,1.38688,0.72989,4.35865,5.38179
"637","1954","Egypt",11.761,14.4364,18.3614,21.4025,27.112,28.2582,29.237,29.7343,26.2039,23.9091,19.0008,13.9159,0.55447,3.75623,1.52865,2.47599,0.55032,1.15482,2.52943,1.83397,0.80537,3.9521,3.57442,12.4641
"649","1955","Egypt",14.0948,16.7236,18.6322,22.5811,26.0302,29.2841,29.5346,28.693,27.9437,25.068,19.2815,14.1493,0.56221,0.245,1.11791,0.53649,0.46916,1.15603,2.41385,1.59888,0.80358,0.34948,6.47316,7.65892
"661","1956","Egypt",13.6677,16.649,17.3787,22.1939,24.8971,28.7387,29.6923,30.4535,27.2245,22.9877,19.5239,14.2627,3.14966,2.44417,1.7754,0.22214,0.71651,1.15482,2.73356,2.21951,0.97393,1.65105,1.12407,12.3735
"673","1957","Egypt",11.9927,14.2984,17.3264,21.5172,26.281,28.4315,29.194,29.5224,28.4761,25.6145,20.2829,14.7797,8.01989,6.72906,3.83167,1.08873,4.16458,1.38104,2.40915,1.71205,1.05377,2.28119,4.711,3.04042
"685","1958","Egypt",13.2478,15.0606,18.7898,24.211,25.7158,28.5736,29.3311,29.5293,26.8278,23.4144,20.0671,16.4289,3.55498,0.51393,0.0987,0.18243,0.37987,1.7628,3.59121,1.5558,0.82931,1.75267,0.90671,2.13398
"697","1959","Egypt",12.98,11.5944,16.7666,22.3389,26.9329,28.5344,28.4868,28.9017,26.24,22.5018,18.9799,14.6901,2.30556,4.95482,0.75792,0.75732,0.87832,1.15482,2.61325,1.95835,1.05428,4.63164,0.5945,5.39275
"709","1960","Egypt",13.318,15.3907,18.2792,22.94,26.7302,27.9856,29.0235,29.1428,27.4553,26.4322,19.9017,18.0797,4.41641,1.18336,1.81137,0.3862,3.42929,1.15493,2.40833,1.55543,1.36598,0.35065,3.32601,1.7743
"721","1961","Egypt",13.8058,12.9391,15.885,22.2498,26.1504,30.5737,28.7728,28.9363,25.3401,22.8947,18.2612,14.1492,6.44863,5.37177,0.89907,0.24859,3.43562,1.16282,3.0825,3.22566,0.7713,3.39742,1.62994,11.8011
"733","1962","Egypt",13.7552,13.8877,20.3452,21.9817,25.8357,29.4708,29.2906,30.2901,27.7116,25.0743,22.1172,14.405,6.48394,2.41116,0.09002,0.2964,0.57082,1.15482,2.56893,10.7038,1.15284,1.51548,1.06907,2.01497
"745","1963","Egypt",14.8027,16.2764,17.1762,23.1936,26.1119,29.2984,29.6475,29.9387,28.0908,25.9338,19.1003,14.9087,0.86264,7.07108,1.4379,4.65993,4.41225,1.15645,3.01572,1.55518,0.82323,0.85917,1.75305,2.5418
"757","1964","Egypt",11.7099,13.6262,18.5029,22.1789,24.6228,28.3058,28.3973,28.8217,25.7174,24.004,18.4565,14.7469,5.77971,3.13166,0.76575,1.81796,0.65891,1.15945,3.07387,2.0467,1.26633,0.38956,3.31391,6.94788
"769","1965","Egypt",13.334,15.0634,18.6674,21.248,24.7467,29.2483,29.5157,29.298,27.3127,23.1368,17.987,13.9536,10.1815,0.81085,1.88945,2.87132,0.3761,1.26133,2.43728,9.52772,1.38158,6.43976,1.41491,1.11303
"781","1966","Egypt",13.3039,14.6072,17.4803,22.87,26.497,29.1074,29.1369,29.3929,27.6326,25.6237,21.812,14.4688,5.42523,7.11713,3.70995,0.75876,6.65943,1.30304,2.41992,2.75605,1.43885,1.36291,7.96003,3.38706
"793","1967","Egypt",11.8731,14.0484,15.2432,22.0813,25.2765,28.5628,28.5448,29.1723,26.7231,23.3952,18.0382,14.9799,3.75776,6.56034,1.63688,0.54778,5.96693,1.15482,2.43188,3.10295,0.78667,5.53927,4.77331,2.75679
"805","1968","Egypt",12.2948,14.2968,16.891,21.9676,27.0305,30.328,29.7437,29.3629,27.3175,22.9905,18.5506,14.5409,2.527,0.85892,1.9649,2.71347,4.66744,2.99943,3.85459,1.63114,1.02253,2.30479,4.21266,3.15299
"817","1969","Egypt",11.9782,17.0461,20.946,21.0105,25.9576,29.9615,27.9655,29.0244,29.0858,25.1595,19.5058,14.8147,11.3047,1.9002,4.6329,4.49197,2.02994,1.15482,2.4079,1.53946,1.05063,9.35458,1.02332,0.50483
"829","1970","Egypt",14.3554,15.3865,18.2942,22.8322,26.2585,27.4433,28.7215,28.8839,26.9855,22.8539,18.3993,13.0706,4.21248,0.31273,1.0504,1.62619,0.43171,1.15482,4.39058,1.47485,0.9579,1.08779,3.68582,1.85669
"841","1971","Egypt",14.8604,14.5449,18.9592,20.7339,27.1185,28.322,28.1542,29.1653,27.0198,22.961,17.747,13.6627,6.20129,1.76905,1.75619,5.07648,1.93984,1.37469,2.83757,1.67168,2.43387,0.35436,1.45607,6.60888
"853","1972","Egypt",12.6045,14.0208,17.5991,23.1365,26.0301,28.3686,28.7674,29.6141,28.2725,24.8589,18.0569,13.3802,1.87844,1.5964,5.28729,5.67776,0.4512,2.68676,2.91467,1.62512,0.9754,1.49207,4.36335,2.92925
"865","1973","Egypt",12.7728,16.3635,17.3303,21.9606,26.0373,28.4657,29.8191,28.2502,27.1216,24.5865,16.7497,14.6506,4.68345,0.86244,2.13199,3.65233,0.58308,1.17642,2.95381,1.5553,0.77123,1.10271,3.77263,0.70186
"877","1974","Egypt",11.6396,14.5238,18.7617,23.9072,25.5929,28.4092,29.0929,28.947,27.2543,25.4277,18.8035,13.1098,17.7,2.02955,23.7268,1.08163,0.55043,1.1549,2.74562,1.43662,1.40955,0.22127,1.3854,5.68858
"889","1975","Egypt",11.9795,14.6035,17.9271,23.8521,25.949,28.4854,29.0365,28.5314,26.7773,23.6723,18.82,14.0579,6.98314,11.07,0.59518,2.18906,0.38639,1.15733,2.43466,1.62685,0.89363,0.41052,0.55696,5.01157
"901","1976","Egypt",12.3555,13.2718,18.0125,22.7332,27.0442,28.3539,28.985,28.1345,27.52,25.5513,19.5307,15.1417,1.88578,6.55431,2.45842,0.9642,1.82159,1.54951,2.50925,1.41509,1.18782,2.93885,1.76234,0.77847
"913","1977","Egypt",13.013,16.4873,16.6456,21.3026,26.8459,29.247,29.7267,29.809,27.3698,22.5606,18.7452,12.9598,2.43267,0.95234,2.69703,4.57997,3.62461,1.74648,3.15164,1.78434,1.12141,1.5283,0.62287,7.43578
"925","1978","Egypt",12.5641,15.5402,17.9436,23.0536,28.0889,28.8193,29.9532,27.913,26.9719,25.2087,16.7053,14.5245,6.77719,1.44271,2.43899,0.67233,0.37432,5.47266,3.26711,1.67423,1.47994,3.35721,2.12121,3.72018
"937","1979","Egypt",13.2659,16.7995,19.5037,24.042,26.7368,29.9292,29.2983,29.666,27.2189,25.0369,20.2032,13.026,0.75994,4.69645,2.48205,0.58178,9.458,1.37528,2.46547,1.8311,2.14337,4.04,2.49773,6.82276
"949","1980","Egypt",12.8515,13.8747,18.5025,22.6607,27.3117,28.8713,29.6762,29.4464,26.6363,24.7163,19.8813,14.6348,2.13327,5.77714,2.02764,0.91455,0.83348,1.15852,3.30818,1.37864,1.02482,0.4172,0.45231,4.39978
"961","1981","Egypt",11.1627,13.9615,18.572,23.5777,25.9551,29.32,29.5831,29.4095,27.0353,25.558,16.9425,14.9,3.65347,1.86797,1.30737,0.77085,0.38687,1.15482,2.43372,4.69043,0.92783,1.31969,1.51997,0.402
"973","1982","Egypt",14.2984,13.148,16.1747,23.3035,24.9279,28.408,28.6645,29.4245,27.5961,25.1813,16.7347,13.1843,5.32773,8.95567,13.0915,3.6127,3.0778,1.27804,2.40759,1.45766,1.50451,1.471,4.42432,3.47961
"985","1983","Egypt",10.6695,12.9777,15.6447,20.8354,26.5269,28.7682,29.7022,28.9855,27.0402,22.5854,19.5075,14.6447,7.51319,3.78639,3.87187,0.32604,0.48548,2.69052,2.42918,1.38282,0.7722,1.11259,2.1013,1.83548
"997","1984","Egypt",12.817,15.3211,18.6793,22.1337,28.2593,27.7376,28.3892,28.2091,27.868,24.8422,18.3088,14.5084,2.84583,0.44657,3.37308,0.57495,0.47879,1.15482,2.88779,1.37255,0.77085,1.60549,4.1015,3.17305
"1009","1985","Egypt",15.4838,14.1997,18.8781,22.4573,27.5223,29.5325,28.6852,29.6186,27.0385,22.4322,19.8404,15.5014,1.90095,3.94318,8.04516,1.64669,0.91772,1.16773,2.4077,1.36644,0.80048,1.28768,2.10354,14.9489
"1021","1986","Egypt",13.4861,16.2081,19.1789,22.935,23.916,29.3449,29.7189,29.7599,28.8049,23.7026,17.7204,12.8411,1.2178,3.48216,1.6206,3.70353,5.90564,2.54664,2.41506,1.43987,1.77967,0.54345,6.00816,2.99538
"1033","1987","Egypt",13.5502,15.9334,17.0197,20.3493,26.6591,28.4133,29.9489,29.9844,27.6834,23.2103,18.2833,14.9901,1.27662,1.45362,5.34898,0.5287,0.47382,1.1549,2.41327,6.45111,0.77666,3.57128,0.64095,12.6272
"1045","1988","Egypt",13.3607,14.5675,18.2391,23.1774,28.0743,30.1926,30.6008,30.1839,28.1721,22.6488,16.7059,14.3519,5.818,5.3764,4.78952,0.78247,0.64396,1.16064,2.60305,4.04692,2.33856,1.8598,1.58561,13.2639
"1057","1989","Egypt",11.0128,12.8203,17.3806,24.5136,27.2645,29.1316,29.4143,29.9568,28.3728,23.6347,18.4118,14.2536,8.02212,4.46731,4.52411,0.9686,2.74257,1.24693,2.44655,1.51847,0.78363,4.48924,1.4631,2.12738
"1069","1990","Egypt",13.3805,13.6827,16.7644,23.5921,25.9411,28.3755,29.4555,28.4838,26.835,24.4244,20.9477,16.8669,6.51064,6.17369,4.56393,1.95821,1.6716,1.26569,2.44876,1.36237,0.77549,1.44007,0.84969,3.61774
