Temperature - (Celsius), Year, Month, Country, ISO3
29.65, 2001, Jul, Antarctica, ANT
30.075, 2001, Aug, Antarctica, ANT
30.1, 2001, Sep, Antarctica, ANT
29.6749, 2001, Oct, Antarctica, ANT
28.575, 2001, Nov, Antarctica, ANT
28.35, 2001, Dec, Antarctica, ANT
27.275, 2002, Jan, Antarctica, ANT
27.2999, 2002, Feb, Antarctica, ANT
27.6, 2002, Mar, Antarctica, ANT
27.925, 2002, Apr, Antarctica, ANT
28.725, 2002, May, Antarctica, ANT
28.875, 2002, Jun, Antarctica, ANT
29.25, 2002, Jul, Antarctica, ANT
29.8, 2002, Aug, Antarctica, ANT
30.2, 2002, Sep, Antarctica, ANT
29.775, 2002, Oct, Antarctica, ANT
28.875, 2002, Nov, Antarctica, ANT
28.1749, 2002, Dec, Antarctica, ANT
27.775, 2003, Jan, Antarctica, ANT
28, 2003, Feb, Antarctica, ANT
28.05, 2003, Mar, Antarctica, ANT
28.75, 2003, Apr, Antarctica, ANT
29.225, 2003, May, Antarctica, ANT
29.1, 2003, Jun, Antarctica, ANT
28.95, 2003, Jul, Antarctica, ANT
29.6, 2003, Aug, Antarctica, ANT
29.925, 2003, Sep, Antarctica, ANT
29.775, 2003, Oct, Antarctica, ANT
28.95, 2003, Nov, Antarctica, ANT
28.15, 2003, Dec, Antarctica, ANT
26.7999, 2004, Jan, Antarctica, ANT
27.125, 2004, Feb, Antarctica, ANT
27.85, 2004, Mar, Antarctica, ANT
28.35, 2004, Apr, Antarctica, ANT
28.625, 2004, May, Antarctica, ANT
28.725, 2004, Jun, Antarctica, ANT
28.85, 2004, Jul, Antarctica, ANT
29.2, 2004, Aug, Antarctica, ANT
29.5, 2004, Sep, Antarctica, ANT
29.1749, 2004, Oct, Antarctica, ANT
27.775, 2004, Nov, Antarctica, ANT
27.35, 2004, Dec, Antarctica, ANT
26.6749, 2005, Jan, Antarctica, ANT
26.4, 2005, Feb, Antarctica, ANT
28.125, 2005, Mar, Antarctica, ANT
28.6749, 2005, Apr, Antarctica, ANT
29.125, 2005, May, Antarctica, ANT
29.5, 2005, Jun, Antarctica, ANT
29.475, 2005, Jul, Antarctica, ANT
29.8, 2005, Aug, Antarctica, ANT
30.125, 2005, Sep, Antarctica, ANT
29.4, 2005, Oct, Antarctica, ANT
27.85, 2005, Nov, Antarctica, ANT
26.6749, 2005, Dec, Antarctica, ANT
26.6, 2006, Jan, Antarctica, ANT
26.7, 2006, Feb, Antarctica, ANT
27.325, 2006, Mar, Antarctica, ANT
27.45, 2006, Apr, Antarctica, ANT
28.7, 2006, May, Antarctica, ANT
29.275, 2006, Jun, Antarctica, ANT
28.9, 2006, Jul, Antarctica, ANT
29.475, 2006, Aug, Antarctica, ANT
30.125, 2006, Sep, Antarctica, ANT
29.5, 2006, Oct, Antarctica, ANT
29.075, 2006, Nov, Antarctica, ANT
28.05, 2006, Dec, Antarctica, ANT
27.1749, 2007, Jan, Antarctica, ANT
27.1, 2007, Feb, Antarctica, ANT
27.95, 2007, Mar, Antarctica, ANT
28.55, 2007, Apr, Antarctica, ANT
29.325, 2007, May, Antarctica, ANT
29.575, 2007, Jun, Antarctica, ANT
29.075, 2007, Jul, Antarctica, ANT
29.25, 2007, Aug, Antarctica, ANT
29.5, 2007, Sep, Antarctica, ANT
28.975, 2007, Oct, Antarctica, ANT
28.65, 2007, Nov, Antarctica, ANT
27.275, 2007, Dec, Antarctica, ANT
26.775, 2008, Jan, Antarctica, ANT
26.575, 2008, Feb, Antarctica, ANT
27.125, 2008, Mar, Antarctica, ANT
28.1749, 2008, Apr, Antarctica, ANT
28.6, 2008, May, Antarctica, ANT
29.275, 2008, Jun, Antarctica, ANT
28.95, 2008, Jul, Antarctica, ANT
29.575, 2008, Aug, Antarctica, ANT
30.1749, 2008, Sep, Antarctica, ANT
28.875, 2008, Oct, Antarctica, ANT
28.325, 2008, Nov, Antarctica, ANT
27.05, 2008, Dec, Antarctica, ANT
27.1749, 2009, Jan, Antarctica, ANT
26.7, 2009, Feb, Antarctica, ANT
27.05, 2009, Mar, Antarctica, ANT
28.05, 2009, Apr, Antarctica, ANT
29.25, 2009, May, Antarctica, ANT
29.7, 2009, Jun, Antarctica, ANT
29.85, 2009, Jul, Antarctica, ANT
30.1, 2009, Aug, Antarctica, ANT
30.325, 2009, Sep, Antarctica, ANT
30.075, 2009, Oct, Antarctica, ANT
29.25, 2009, Nov, Antarctica, ANT
28.775, 2009, Dec, Antarctica, ANT
27.775, 2010, Jan, Antarctica, ANT
28.1, 2010, Feb, Antarctica, ANT
28.925, 2010, Mar, Antarctica, ANT
29.025, 2010, Apr, Antarctica, ANT
29.625, 2010, May, Antarctica, ANT
29.6749, 2010, Jun, Antarctica, ANT
29.75, 2010, Jul, Antarctica, ANT
30.1749, 2010, Aug, Antarctica, ANT
29.6, 2010, Sep, Antarctica, ANT
29.6749, 2010, Oct, Antarctica, ANT
27.75, 2010, Nov, Antarctica, ANT
27.775, 2010, Dec, Antarctica, ANT
26.9, 2011, Jan, Antarctica, ANT
27.025, 2011, Feb, Antarctica, ANT
26.65, 2011, Mar, Antarctica, ANT
27.45, 2011, Apr, Antarctica, ANT
28.525, 2011, May, Antarctica, ANT
29.375, 2011, Jun, Antarctica, ANT
29.375, 2011, Jul, Antarctica, ANT
30.1749, 2011, Aug, Antarctica, ANT
29.7999, 2011, Sep, Antarctica, ANT
28.9, 2011, Oct, Antarctica, ANT
28.55, 2011, Nov, Antarctica, ANT
27.35, 2011, Dec, Antarctica, ANT
26.575, 2012, Jan, Antarctica, ANT
26.7999, 2012, Feb, Antarctica, ANT
27.225, 2012, Mar, Antarctica, ANT
27.925, 2012, Apr, Antarctica, ANT
28.85, 2012, May, Antarctica, ANT
29.1749, 2012, Jun, Antarctica, ANT
29.45, 2012, Jul, Antarctica, ANT
29.475, 2012, Aug, Antarctica, ANT
29.9, 2012, Sep, Antarctica, ANT
29.4, 2012, Oct, Antarctica, ANT
28.7, 2012, Nov, Antarctica, ANT
27.575, 2012, Dec, Antarctica, ANT
27.475, 2013, Jan, Antarctica, ANT
27.4, 2013, Feb, Antarctica, ANT
28.15, 2013, Mar, Antarctica, ANT
27.95, 2013, Apr, Antarctica, ANT
28.825, 2013, May, Antarctica, ANT
29.075, 2013, Jun, Antarctica, ANT
29.45, 2013, Jul, Antarctica, ANT
29.6749, 2013, Aug, Antarctica, ANT
29.775, 2013, Sep, Antarctica, ANT
29.575, 2013, Oct, Antarctica, ANT
28.25, 2013, Nov, Antarctica, ANT
27.55, 2013, Dec, Antarctica, ANT
27, 2014, Jan, Antarctica, ANT
27.4, 2014, Feb, Antarctica, ANT
27.65, 2014, Mar, Antarctica, ANT
28.275, 2014, Apr, Antarctica, ANT
28.35, 2014, May, Antarctica, ANT
29.6749, 2014, Jun, Antarctica, ANT
29.275, 2014, Jul, Antarctica, ANT
29.475, 2014, Aug, Antarctica, ANT
29.725, 2014, Sep, Antarctica, ANT
29.2999, 2014, Oct, Antarctica, ANT
28.425, 2014, Nov, Antarctica, ANT
28.15, 2014, Dec, Antarctica, ANT
27.2999, 2015, Jan, Antarctica, ANT
27.9, 2015, Feb, Antarctica, ANT
27.55, 2015, Mar, Antarctica, ANT
28.475, 2015, Apr, Antarctica, ANT
28.85, 2015, May, Antarctica, ANT
29.425, 2015, Jun, Antarctica, ANT
29.275, 2015, Jul, Antarctica, ANT
29.4, 2015, Aug, Antarctica, ANT
30.525, 2015, Sep, Antarctica, ANT
30.1749, 2015, Oct, Antarctica, ANT
28.95, 2015, Nov, Antarctica, ANT
28.475, 2015, Dec, Antarctica, ANT
27.625, 2016, Jan, Antarctica, ANT
27.525, 2016, Feb, Antarctica, ANT
27.925, 2016, Mar, Antarctica, ANT
28.975, 2016, Apr, Antarctica, ANT
29.425, 2016, May, Antarctica, ANT
29.6749, 2016, Jun, Antarctica, ANT
29.775, 2016, Jul, Antarctica, ANT
30.1749, 2016, Aug, Antarctica, ANT
30.425, 2016, Sep, Antarctica, ANT
29.875, 2016, Oct, Antarctica, ANT
28.775, 2016, Nov, Antarctica, ANT
27.975, 2016, Dec, Antarctica, ANT

