"","Year","Country","Month","ISO3","Temperature","Rain"
"104","1909","Eritrea","Aug","ERI","28.1047","69.683"
"105","1909","Eritrea","Sep","ERI","27.2639","33.7068"
"106","1909","Eritrea","Oct","ERI","26.8851","4.83717"
"107","1909","Eritrea","Nov","ERI","25.5292","2.24684"
"108","1909","Eritrea","Dec","ERI","23.5361","12.0344"
"109","1910","Eritrea","Jan","ERI","21.9499","1.16102"
"110","1910","Eritrea","Feb","ERI","23.6654","3.9578"
"111","1910","Eritrea","Mar","ERI","23.6029","3.45706"
"112","1910","Eritrea","Apr","ERI","27.5429","9.53451"
"113","1910","Eritrea","May","ERI","29.1797","20.5499"
"114","1910","Eritrea","Jun","ERI","29.7645","22.173"
"115","1910","Eritrea","Jul","ERI","29.2552","63.7601"
"116","1910","Eritrea","Aug","ERI","28.2328","153.455"
"117","1910","Eritrea","Sep","ERI","27.211","24.6156"
"118","1910","Eritrea","Oct","ERI","26.5235","12.6925"
"119","1910","Eritrea","Nov","ERI","24.7626","1.36361"
"120","1910","Eritrea","Dec","ERI","22.7225","9.29301"
"121","1911","Eritrea","Jan","ERI","23.4502","4.02778"
"122","1911","Eritrea","Feb","ERI","22.3948","7.14573"
"123","1911","Eritrea","Mar","ERI","24.7672","8.66439"
"124","1911","Eritrea","Apr","ERI","26.8634","7.93187"
"125","1911","Eritrea","May","ERI","28.4649","27.3659"
"126","1911","Eritrea","Jun","ERI","29.8038","14.5366"
"127","1911","Eritrea","Jul","ERI","28.8121","112.695"
"128","1911","Eritrea","Aug","ERI","28.3731","47.9578"
"129","1911","Eritrea","Sep","ERI","27.8776","51.4888"
"130","1911","Eritrea","Oct","ERI","27.2599","5.93043"
"131","1911","Eritrea","Nov","ERI","25.6322","14.9869"
"132","1911","Eritrea","Dec","ERI","22.9218","3.41873"
"133","1912","Eritrea","Jan","ERI","21.3679","8.12348"
"134","1912","Eritrea","Feb","ERI","22.6623","6.95624"
"135","1912","Eritrea","Mar","ERI","24.0488","6.28904"
"136","1912","Eritrea","Apr","ERI","25.9938","7.95683"
"137","1912","Eritrea","May","ERI","28.7411","1.26194"
"138","1912","Eritrea","Jun","ERI","29.607","25.7598"
"139","1912","Eritrea","Jul","ERI","28.8111","80.0359"
"140","1912","Eritrea","Aug","ERI","27.5562","76.9967"
"141","1912","Eritrea","Sep","ERI","27.86","8.77714"
"142","1912","Eritrea","Oct","ERI","26.1826","6.63715"
"143","1912","Eritrea","Nov","ERI","25.4041","3.28058"
"144","1912","Eritrea","Dec","ERI","22.2855","13.4298"
"145","1913","Eritrea","Jan","ERI","22.0019","4.03606"
"146","1913","Eritrea","Feb","ERI","22.4004","7.98709"
"147","1913","Eritrea","Mar","ERI","21.4392","9.66175"
"148","1913","Eritrea","Apr","ERI","27.0183","17.6426"
"149","1913","Eritrea","May","ERI","27.7986","29.6295"
"150","1913","Eritrea","Jun","ERI","28.2959","8.9859"
"151","1913","Eritrea","Jul","ERI","29.4259","84.4061"
"152","1913","Eritrea","Aug","ERI","28.1383","118.043"
"153","1913","Eritrea","Sep","ERI","28.5017","28.0887"
"154","1913","Eritrea","Oct","ERI","26.5703","1.55186"
"155","1913","Eritrea","Nov","ERI","23.3221","0.59693"
"156","1913","Eritrea","Dec","ERI","21.3932","6.51692"
"157","1914","Eritrea","Jan","ERI","24.469","5.78022"
"158","1914","Eritrea","Feb","ERI","23.1352","5.61407"
"159","1914","Eritrea","Mar","ERI","25.8182","6.64161"
"160","1914","Eritrea","Apr","ERI","25.6671","2.29439"
"161","1914","Eritrea","May","ERI","28.2421","12.6647"
"162","1914","Eritrea","Jun","ERI","30.0141","19.5046"
"163","1914","Eritrea","Jul","ERI","28.2602","55.4088"
"164","1914","Eritrea","Aug","ERI","27.1686","130.418"
"165","1914","Eritrea","Sep","ERI","27.4626","21.5472"
"166","1914","Eritrea","Oct","ERI","26.3176","24.1343"
"167","1914","Eritrea","Nov","ERI","26.1281","2.93907"
"168","1914","Eritrea","Dec","ERI","23.6915","4.85517"
"169","1915","Eritrea","Jan","ERI","24.1233","4.58309"
"170","1915","Eritrea","Feb","ERI","24.4959","3.00122"
"171","1915","Eritrea","Mar","ERI","25.2212","1.47254"
"172","1915","Eritrea","Apr","ERI","26.99","0.94958"
"173","1915","Eritrea","May","ERI","28.2998","27.5203"
"174","1915","Eritrea","Jun","ERI","29.8033","13.9412"
"175","1915","Eritrea","Jul","ERI","29.6069","54.2838"
"176","1915","Eritrea","Aug","ERI","28.3284","54.7456"
"177","1915","Eritrea","Sep","ERI","27.5486","30.6765"
"178","1915","Eritrea","Oct","ERI","27.0729","2.54445"
"179","1915","Eritrea","Nov","ERI","26.386","6.19591"
"180","1915","Eritrea","Dec","ERI","23.489","9.72027"
"181","1916","Eritrea","Jan","ERI","19.8409","8.14463"
"182","1916","Eritrea","Feb","ERI","23.4314","8.16888"
"183","1916","Eritrea","Mar","ERI","25.1328","5.52965"
"184","1916","Eritrea","Apr","ERI","27.6102","17.7238"
"185","1916","Eritrea","May","ERI","28.0069","11.1465"
"186","1916","Eritrea","Jun","ERI","28.905","70.6608"
"187","1916","Eritrea","Jul","ERI","27.839","201.815"
"188","1916","Eritrea","Aug","ERI","26.9554","127.125"
"189","1916","Eritrea","Sep","ERI","26.6434","33.7619"
"190","1916","Eritrea","Oct","ERI","25.418","3.11814"
"191","1916","Eritrea","Nov","ERI","25.716","11.1501"
"192","1916","Eritrea","Dec","ERI","22.7135","20.8215"
"193","1917","Eritrea","Jan","ERI","22.2827","6.91154"
"194","1917","Eritrea","Feb","ERI","23.2545","22.6906"
"195","1917","Eritrea","Mar","ERI","24.3816","0.00036"
"196","1917","Eritrea","Apr","ERI","26.2582","12.4977"
"197","1917","Eritrea","May","ERI","26.3332","9.31818"
"198","1917","Eritrea","Jun","ERI","28.3036","71.6127"
"199","1917","Eritrea","Jul","ERI","29.553","24.0776"
"200","1917","Eritrea","Aug","ERI","28.0277","116.289"
"201","1917","Eritrea","Sep","ERI","26.4024","41.4365"
"202","1917","Eritrea","Oct","ERI","25.531","5.87205"
"203","1917","Eritrea","Nov","ERI","25.8611","0.33044"
"204","1917","Eritrea","Dec","ERI","22.7267","10.0593"
"205","1918","Eritrea","Jan","ERI","20.8596","11.1287"
"206","1918","Eritrea","Feb","ERI","22.1838","6.26943"
"207","1918","Eritrea","Mar","ERI","23.885","0.73773"
"208","1918","Eritrea","Apr","ERI","25.0521","0.62326"
"209","1918","Eritrea","May","ERI","27.5096","8.22988"
"210","1918","Eritrea","Jun","ERI","29.1683","22.719"
"211","1918","Eritrea","Jul","ERI","29.2415","48.7174"
"212","1918","Eritrea","Aug","ERI","27.7543","78.1093"
"213","1918","Eritrea","Sep","ERI","28.1647","22.6252"
"214","1918","Eritrea","Oct","ERI","27.0051","8.93461"
"215","1918","Eritrea","Nov","ERI","25.6115","11.0375"
"216","1918","Eritrea","Dec","ERI","23.629","2.52585"
"217","1919","Eritrea","Jan","ERI","25.3274","4.94006"
"218","1919","Eritrea","Feb","ERI","24.7497","2.34276"
"219","1919","Eritrea","Mar","ERI","26.113","7.24402"
"220","1919","Eritrea","Apr","ERI","25.9858","0.21964"
"221","1919","Eritrea","May","ERI","28.3932","5.47123"
"222","1919","Eritrea","Jun","ERI","29.1602","18.294"
"223","1919","Eritrea","Jul","ERI","28.7534","78.3924"
"224","1919","Eritrea","Aug","ERI","28.878","85.0807"
"225","1919","Eritrea","Sep","ERI","28.0246","60.2787"
"226","1919","Eritrea","Oct","ERI","27.0206","0.21697"
"227","1919","Eritrea","Nov","ERI","24.8069","2.09821"
"228","1919","Eritrea","Dec","ERI","22.8077","0.4411"
"229","1920","Eritrea","Jan","ERI","21.4436","12.4486"
