Temperature - (Celsius), Year, Month, Country, ISO3
-6.1249, 1991, Jan, Sweden, SWE
-10.528, 1991, Feb, Sweden, SWE
-3.3184, 1991, Mar, Sweden, SWE
1.44971, 1991, Apr, Sweden, SWE
5.12208, 1991, May, Sweden, SWE
9.66628, 1991, Jun, Sweden, SWE
14.7212, 1991, Jul, Sweden, SWE
13.6176, 1991, Aug, Sweden, SWE
7.15111, 1991, Sep, Sweden, SWE
2.76097, 1991, Oct, Sweden, SWE
-2.0358, 1991, Nov, Sweden, SWE
-3.7267, 1991, Dec, Sweden, SWE
-4.3689, 1992, Jan, Sweden, SWE
-3.9952, 1992, Feb, Sweden, SWE
-1.4821, 1992, Mar, Sweden, SWE
-0.9634, 1992, Apr, Sweden, SWE
8.57368, 1992, May, Sweden, SWE
13.8256, 1992, Jun, Sweden, SWE
12.9491, 1992, Jul, Sweden, SWE
11.4387, 1992, Aug, Sweden, SWE
8.34144, 1992, Sep, Sweden, SWE
-1.8297, 1992, Oct, Sweden, SWE
-4.4694, 1992, Nov, Sweden, SWE
-3.8075, 1992, Dec, Sweden, SWE
-6.0421, 1993, Jan, Sweden, SWE
-5.2819, 1993, Feb, Sweden, SWE
-3.2283, 1993, Mar, Sweden, SWE
1.17548, 1993, Apr, Sweden, SWE
8.18048, 1993, May, Sweden, SWE
9.38112, 1993, Jun, Sweden, SWE
13.2293, 1993, Jul, Sweden, SWE
10.9921, 1993, Aug, Sweden, SWE
5.6331, 1993, Sep, Sweden, SWE
0.83641, 1993, Oct, Sweden, SWE
-4.1986, 1993, Nov, Sweden, SWE
-8.1055, 1993, Dec, Sweden, SWE
-10.661, 1994, Jan, Sweden, SWE
-12.821, 1994, Feb, Sweden, SWE
-4.6115, 1994, Mar, Sweden, SWE
2.21106, 1994, Apr, Sweden, SWE
5.74836, 1994, May, Sweden, SWE
10.1479, 1994, Jun, Sweden, SWE
15.9955, 1994, Jul, Sweden, SWE
13.2346, 1994, Aug, Sweden, SWE
7.47303, 1994, Sep, Sweden, SWE
1.7321, 1994, Oct, Sweden, SWE
-3.174, 1994, Nov, Sweden, SWE
-3.6257, 1994, Dec, Sweden, SWE
-7.4558, 1995, Jan, Sweden, SWE
-4.8861, 1995, Feb, Sweden, SWE
-2.6024, 1995, Mar, Sweden, SWE
-0.1262, 1995, Apr, Sweden, SWE
5.3011, 1995, May, Sweden, SWE
11.7979, 1995, Jun, Sweden, SWE
12.9997, 1995, Jul, Sweden, SWE
12.7739, 1995, Aug, Sweden, SWE
7.85703, 1995, Sep, Sweden, SWE
4.27226, 1995, Oct, Sweden, SWE
-5.2608, 1995, Nov, Sweden, SWE
-10.445, 1995, Dec, Sweden, SWE
-8.0826, 1996, Jan, Sweden, SWE
-11.491, 1996, Feb, Sweden, SWE
-4.9037, 1996, Mar, Sweden, SWE
0.86801, 1996, Apr, Sweden, SWE
4.63846, 1996, May, Sweden, SWE
10.8654, 1996, Jun, Sweden, SWE
12.5711, 1996, Jul, Sweden, SWE
14.8466, 1996, Aug, Sweden, SWE
7.09998, 1996, Sep, Sweden, SWE
3.91281, 1996, Oct, Sweden, SWE
-4.5051, 1996, Nov, Sweden, SWE
-9.0559, 1996, Dec, Sweden, SWE
-6.8836, 1997, Jan, Sweden, SWE
-6.2381, 1997, Feb, Sweden, SWE
-2.9392, 1997, Mar, Sweden, SWE
-1.0731, 1997, Apr, Sweden, SWE
5.16077, 1997, May, Sweden, SWE
12.761, 1997, Jun, Sweden, SWE
15.9962, 1997, Jul, Sweden, SWE
15.1309, 1997, Aug, Sweden, SWE
9.1902, 1997, Sep, Sweden, SWE
1.15873, 1997, Oct, Sweden, SWE
-4.0421, 1997, Nov, Sweden, SWE
-6.2591, 1997, Dec, Sweden, SWE
-6.4121, 1998, Jan, Sweden, SWE
-6.4332, 1998, Feb, Sweden, SWE
-5.1941, 1998, Mar, Sweden, SWE
-0.4931, 1998, Apr, Sweden, SWE
6.50267, 1998, May, Sweden, SWE
10.5781, 1998, Jun, Sweden, SWE
13.5392, 1998, Jul, Sweden, SWE
11.2968, 1998, Aug, Sweden, SWE
8.738, 1998, Sep, Sweden, SWE
2.48102, 1998, Oct, Sweden, SWE
-6.1213, 1998, Nov, Sweden, SWE
-6.8417, 1998, Dec, Sweden, SWE
-9.5527, 1999, Jan, Sweden, SWE
-8.4698, 1999, Feb, Sweden, SWE
-3.8368, 1999, Mar, Sweden, SWE
2.22107, 1999, Apr, Sweden, SWE
5.63715, 1999, May, Sweden, SWE
12.5032, 1999, Jun, Sweden, SWE
14.2857, 1999, Jul, Sweden, SWE
11.58, 1999, Aug, Sweden, SWE
10.5923, 1999, Sep, Sweden, SWE
3.39405, 1999, Oct, Sweden, SWE
0.22771, 1999, Nov, Sweden, SWE
-8.9592, 1999, Dec, Sweden, SWE
-5.9889, 2000, Jan, Sweden, SWE
-5.6501, 2000, Feb, Sweden, SWE
-3.5312, 2000, Mar, Sweden, SWE
1.90221, 2000, Apr, Sweden, SWE
8.08266, 2000, May, Sweden, SWE
10.7373, 2000, Jun, Sweden, SWE
13.3442, 2000, Jul, Sweden, SWE
12.1427, 2000, Aug, Sweden, SWE
8.09578, 2000, Sep, Sweden, SWE
5.92112, 2000, Oct, Sweden, SWE
0.66687, 2000, Nov, Sweden, SWE
-5.1919, 2000, Dec, Sweden, SWE
-6.2475, 2001, Jan, Sweden, SWE
-10.177, 2001, Feb, Sweden, SWE
-6.9914, 2001, Mar, Sweden, SWE
0.89693, 2001, Apr, Sweden, SWE
6.41604, 2001, May, Sweden, SWE
11.7536, 2001, Jun, Sweden, SWE
14.6715, 2001, Jul, Sweden, SWE
12.7247, 2001, Aug, Sweden, SWE
8.74906, 2001, Sep, Sweden, SWE
4.46883, 2001, Oct, Sweden, SWE
-3.2543, 2001, Nov, Sweden, SWE
-8.6911, 2001, Dec, Sweden, SWE
-8.1517, 2002, Jan, Sweden, SWE
-4.9185, 2002, Feb, Sweden, SWE
-3.2538, 2002, Mar, Sweden, SWE
2.82877, 2002, Apr, Sweden, SWE
8.84255, 2002, May, Sweden, SWE
13.9805, 2002, Jun, Sweden, SWE
15.4166, 2002, Jul, Sweden, SWE
15.5771, 2002, Aug, Sweden, SWE
8.58399, 2002, Sep, Sweden, SWE
-0.4126, 2002, Oct, Sweden, SWE
-6.5819, 2002, Nov, Sweden, SWE
-10.497, 2002, Dec, Sweden, SWE
-12.014, 2003, Jan, Sweden, SWE
-7.0596, 2003, Feb, Sweden, SWE
-1.9608, 2003, Mar, Sweden, SWE
0.81071, 2003, Apr, Sweden, SWE
7.24585, 2003, May, Sweden, SWE
12.0475, 2003, Jun, Sweden, SWE
16.7854, 2003, Jul, Sweden, SWE
13.3668, 2003, Aug, Sweden, SWE
8.60455, 2003, Sep, Sweden, SWE
1.12014, 2003, Oct, Sweden, SWE
-2.1606, 2003, Nov, Sweden, SWE
-5.8714, 2003, Dec, Sweden, SWE
-10.085, 2004, Jan, Sweden, SWE
-7.1633, 2004, Feb, Sweden, SWE
-3.1592, 2004, Mar, Sweden, SWE
2.7444, 2004, Apr, Sweden, SWE
7.2757, 2004, May, Sweden, SWE
10.8306, 2004, Jun, Sweden, SWE
13.8337, 2004, Jul, Sweden, SWE
13.8392, 2004, Aug, Sweden, SWE
8.98031, 2004, Sep, Sweden, SWE
2.99453, 2004, Oct, Sweden, SWE
-4.1149, 2004, Nov, Sweden, SWE
-4.59, 2004, Dec, Sweden, SWE
-5.4085, 2005, Jan, Sweden, SWE
