"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Suriname","Jan","SUR","25.6023","76.9247"
"2","1901","Suriname","Feb","SUR","25.6086","124.355"
"3","1901","Suriname","Mar","SUR","25.3859","403.786"
"4","1901","Suriname","Apr","SUR","26.3103","356.152"
"5","1901","Suriname","May","SUR","26.2175","372.018"
"6","1901","Suriname","Jun","SUR","26.4875","266.944"
"7","1901","Suriname","Jul","SUR","26.687","193.495"
"8","1901","Suriname","Aug","SUR","26.4852","195.64"
"9","1901","Suriname","Sep","SUR","26.0609","92.7429"
"10","1901","Suriname","Oct","SUR","26.1768","66.3941"
"11","1901","Suriname","Nov","SUR","26.3121","128.442"
"12","1901","Suriname","Dec","SUR","25.7349","203.459"
"13","1902","Suriname","Jan","SUR","25.0501","235.748"
"14","1902","Suriname","Feb","SUR","25.2593","248.936"
"15","1902","Suriname","Mar","SUR","25.2599","462.717"
"16","1902","Suriname","Apr","SUR","26.1019","679.739"
"17","1902","Suriname","May","SUR","26.6583","296.365"
"18","1902","Suriname","Jun","SUR","26.7881","384.839"
"19","1902","Suriname","Jul","SUR","26.5016","307.591"
"20","1902","Suriname","Aug","SUR","26.9527","143.8"
"21","1902","Suriname","Sep","SUR","26.2597","52.3455"
"22","1902","Suriname","Oct","SUR","25.9768","35.1017"
"23","1902","Suriname","Nov","SUR","26.9801","125.589"
"24","1902","Suriname","Dec","SUR","26.3347","139.674"
"25","1903","Suriname","Jan","SUR","25.7548","80.4624"
"26","1903","Suriname","Feb","SUR","25.5064","184.044"
"27","1903","Suriname","Mar","SUR","25.7584","305.527"
"28","1903","Suriname","Apr","SUR","25.9561","592.374"
"29","1903","Suriname","May","SUR","25.8107","445.091"
"30","1903","Suriname","Jun","SUR","26.389","431.088"
"31","1903","Suriname","Jul","SUR","26.7547","193.892"
"32","1903","Suriname","Aug","SUR","26.2794","164.734"
"33","1903","Suriname","Sep","SUR","25.9648","69.1311"
"34","1903","Suriname","Oct","SUR","27.2763","20.6283"
"35","1903","Suriname","Nov","SUR","26.3121","28.8441"
"36","1903","Suriname","Dec","SUR","26.0325","165.625"
"37","1904","Suriname","Jan","SUR","24.9563","161.913"
"38","1904","Suriname","Feb","SUR","24.6087","179.373"
"39","1904","Suriname","Mar","SUR","24.5657","689.413"
"40","1904","Suriname","Apr","SUR","25.3562","371.861"
"41","1904","Suriname","May","SUR","25.6826","412.512"
"42","1904","Suriname","Jun","SUR","25.6351","238.999"
"43","1904","Suriname","Jul","SUR","26.2552","256.401"
"44","1904","Suriname","Aug","SUR","25.9852","37.9513"
"45","1904","Suriname","Sep","SUR","27.1316","41.6484"
"46","1904","Suriname","Oct","SUR","26.8262","53.4452"
"47","1904","Suriname","Nov","SUR","26.684","76.2807"
"48","1904","Suriname","Dec","SUR","25.9342","249.188"
"49","1905","Suriname","Jan","SUR","25.8629","135.268"
"50","1905","Suriname","Feb","SUR","24.8104","195.175"
"51","1905","Suriname","Mar","SUR","25.6133","139.291"
"52","1905","Suriname","Apr","SUR","25.7033","481.331"
"53","1905","Suriname","May","SUR","25.9099","358.138"
"54","1905","Suriname","Jun","SUR","26.0813","349.973"
"55","1905","Suriname","Jul","SUR","26.086","304.823"
"56","1905","Suriname","Aug","SUR","26.708","90.0502"
"57","1905","Suriname","Sep","SUR","27.0846","35.7007"
