"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Andorra","Jan","AND","2.68284","48.367"
"2","1901","Andorra","Feb","AND","0.38882","47.9165"
"3","1901","Andorra","Mar","AND","5.17","87.4007"
"4","1901","Andorra","Apr","AND","9.65712","64.1214"
"5","1901","Andorra","May","AND","12.1432","55.2244"
"6","1901","Andorra","Jun","AND","17.6516","48.9306"
"7","1901","Andorra","Jul","AND","19.3953","135.566"
"8","1901","Andorra","Aug","AND","18.7225","41.0627"
"9","1901","Andorra","Sep","AND","16.0456","128.546"
"10","1901","Andorra","Oct","AND","10.3397","112.071"
"11","1901","Andorra","Nov","AND","4.69228","23.0393"
"12","1901","Andorra","Dec","AND","2.63883","79.0659"
"13","1902","Andorra","Jan","AND","2.94675","14.7605"
"14","1902","Andorra","Feb","AND","4.16237","58.7897"
"15","1902","Andorra","Mar","AND","7.47272","26.3192"
"16","1902","Andorra","Apr","AND","10.372","123.094"
"17","1902","Andorra","May","AND","10.0457","70.4123"
"18","1902","Andorra","Jun","AND","15.0911","82.9203"
"19","1902","Andorra","Jul","AND","19.4987","56.9664"
"20","1902","Andorra","Aug","AND","18.573","99.3844"
"21","1902","Andorra","Sep","AND","15.3476","48.8778"
"22","1902","Andorra","Oct","AND","10.4326","47.9135"
"23","1902","Andorra","Nov","AND","6.42447","67.0639"
"24","1902","Andorra","Dec","AND","3.67438","84.8937"
"25","1903","Andorra","Jan","AND","3.07809","102.572"
"26","1903","Andorra","Feb","AND","4.80015","8.19019"
"27","1903","Andorra","Mar","AND","7.15354","60.0124"
"28","1903","Andorra","Apr","AND","7.6062","46.0074"
"29","1903","Andorra","May","AND","11.9906","62.8425"
"30","1903","Andorra","Jun","AND","14.7796","122.744"
"31","1903","Andorra","Jul","AND","18.2994","32.1849"
"32","1903","Andorra","Aug","AND","18.6159","17.5561"
"33","1903","Andorra","Sep","AND","15.6706","68.2805"
"34","1903","Andorra","Oct","AND","12.3228","53.5265"
"35","1903","Andorra","Nov","AND","6.71346","27.8051"
"36","1903","Andorra","Dec","AND","2.90037","127.776"
"37","1904","Andorra","Jan","AND","2.99324","91.2389"
"38","1904","Andorra","Feb","AND","4.78851","46.8286"
