Temperature - (Celsius), Year, Month, Country, ISO3
23.4544, 2001, Feb, Eritrea, ERI
25.9018, 2001, Mar, Eritrea, ERI
29.0446, 2001, Apr, Eritrea, ERI
29.5174, 2001, May, Eritrea, ERI
29.4909, 2001, Jun, Eritrea, ERI
28.8152, 2001, Jul, Eritrea, ERI
27.9925, 2001, Aug, Eritrea, ERI
28.2779, 2001, Sep, Eritrea, ERI
27.3015, 2001, Oct, Eritrea, ERI
25.7016, 2001, Nov, Eritrea, ERI
24.7361, 2001, Dec, Eritrea, ERI
21.8392, 2002, Jan, Eritrea, ERI
24.9411, 2002, Feb, Eritrea, ERI
25.9686, 2002, Mar, Eritrea, ERI
28.5268, 2002, Apr, Eritrea, ERI
29.7655, 2002, May, Eritrea, ERI
30.4961, 2002, Jun, Eritrea, ERI
30.1731, 2002, Jul, Eritrea, ERI
29.2138, 2002, Aug, Eritrea, ERI
28.3604, 2002, Sep, Eritrea, ERI
28.1299, 2002, Oct, Eritrea, ERI
26.6421, 2002, Nov, Eritrea, ERI
23.3717, 2002, Dec, Eritrea, ERI
23.5775, 2003, Jan, Eritrea, ERI
24.635, 2003, Feb, Eritrea, ERI
26.0179, 2003, Mar, Eritrea, ERI
28.1617, 2003, Apr, Eritrea, ERI
30.2101, 2003, May, Eritrea, ERI
29.823, 2003, Jun, Eritrea, ERI
28.3389, 2003, Jul, Eritrea, ERI
28.1913, 2003, Aug, Eritrea, ERI
28.057, 2003, Sep, Eritrea, ERI
27.4334, 2003, Oct, Eritrea, ERI
26.0829, 2003, Nov, Eritrea, ERI
23.8276, 2003, Dec, Eritrea, ERI
22.9967, 2004, Jan, Eritrea, ERI
23.6226, 2004, Feb, Eritrea, ERI
26.0566, 2004, Mar, Eritrea, ERI
27.8871, 2004, Apr, Eritrea, ERI
29.9694, 2004, May, Eritrea, ERI
29.2485, 2004, Jun, Eritrea, ERI
29.412, 2004, Jul, Eritrea, ERI
28.5801, 2004, Aug, Eritrea, ERI
28.146, 2004, Sep, Eritrea, ERI
27.4479, 2004, Oct, Eritrea, ERI
26.2431, 2004, Nov, Eritrea, ERI
23.4559, 2004, Dec, Eritrea, ERI
22.0981, 2005, Jan, Eritrea, ERI
26.0285, 2005, Feb, Eritrea, ERI
25.9924, 2005, Mar, Eritrea, ERI
28.6357, 2005, Apr, Eritrea, ERI
29.0816, 2005, May, Eritrea, ERI
30.0811, 2005, Jun, Eritrea, ERI
28.7274, 2005, Jul, Eritrea, ERI
28.7485, 2005, Aug, Eritrea, ERI
28.2507, 2005, Sep, Eritrea, ERI
27.5466, 2005, Oct, Eritrea, ERI
25.6967, 2005, Nov, Eritrea, ERI
24.7655, 2005, Dec, Eritrea, ERI
24.3309, 2006, Jan, Eritrea, ERI
25.0286, 2006, Feb, Eritrea, ERI
24.7999, 2006, Mar, Eritrea, ERI
27.3649, 2006, Apr, Eritrea, ERI
29.1535, 2006, May, Eritrea, ERI
30.2267, 2006, Jun, Eritrea, ERI
29.8952, 2006, Jul, Eritrea, ERI
28.1545, 2006, Aug, Eritrea, ERI
27.6337, 2006, Sep, Eritrea, ERI
27.4426, 2006, Oct, Eritrea, ERI
25.2778, 2006, Nov, Eritrea, ERI
22.1161, 2006, Dec, Eritrea, ERI
21.4845, 2007, Jan, Eritrea, ERI
23.6664, 2007, Feb, Eritrea, ERI
25.7346, 2007, Mar, Eritrea, ERI
28.144, 2007, Apr, Eritrea, ERI
30.056, 2007, May, Eritrea, ERI
29.7311, 2007, Jun, Eritrea, ERI
27.9415, 2007, Jul, Eritrea, ERI
27.9218, 2007, Aug, Eritrea, ERI
28.0068, 2007, Sep, Eritrea, ERI
27.3721, 2007, Oct, Eritrea, ERI
26.3122, 2007, Nov, Eritrea, ERI
24.2213, 2007, Dec, Eritrea, ERI
22.9666, 2008, Jan, Eritrea, ERI
23.5109, 2008, Feb, Eritrea, ERI
26.5913, 2008, Mar, Eritrea, ERI
28.1244, 2008, Apr, Eritrea, ERI
28.9822, 2008, May, Eritrea, ERI
29.8078, 2008, Jun, Eritrea, ERI
29.2207, 2008, Jul, Eritrea, ERI
28.543, 2008, Aug, Eritrea, ERI
28.3806, 2008, Sep, Eritrea, ERI
26.9466, 2008, Oct, Eritrea, ERI
25.4963, 2008, Nov, Eritrea, ERI
24.6836, 2008, Dec, Eritrea, ERI
23.6861, 2009, Jan, Eritrea, ERI
25.4876, 2009, Feb, Eritrea, ERI
25.4461, 2009, Mar, Eritrea, ERI
29.3473, 2009, Apr, Eritrea, ERI
30.0806, 2009, May, Eritrea, ERI
31.2356, 2009, Jun, Eritrea, ERI
29.375, 2009, Jul, Eritrea, ERI
29.0328, 2009, Aug, Eritrea, ERI
29.2363, 2009, Sep, Eritrea, ERI
27.9873, 2009, Oct, Eritrea, ERI
26.2469, 2009, Nov, Eritrea, ERI
23.9703, 2009, Dec, Eritrea, ERI
24.4717, 2010, Jan, Eritrea, ERI
25.3465, 2010, Feb, Eritrea, ERI
26.5212, 2010, Mar, Eritrea, ERI
29.5737, 2010, Apr, Eritrea, ERI
30.3116, 2010, May, Eritrea, ERI
30.6842, 2010, Jun, Eritrea, ERI
28.9996, 2010, Jul, Eritrea, ERI
27.9652, 2010, Aug, Eritrea, ERI
28.2875, 2010, Sep, Eritrea, ERI
28.1656, 2010, Oct, Eritrea, ERI
27.2744, 2010, Nov, Eritrea, ERI
24.7223, 2010, Dec, Eritrea, ERI
22.569, 2011, Jan, Eritrea, ERI
25.2309, 2011, Feb, Eritrea, ERI
25.1909, 2011, Mar, Eritrea, ERI
28.1243, 2011, Apr, Eritrea, ERI
29.427, 2011, May, Eritrea, ERI
30.9788, 2011, Jun, Eritrea, ERI
30.2539, 2011, Jul, Eritrea, ERI
28.774, 2011, Aug, Eritrea, ERI
28.4659, 2011, Sep, Eritrea, ERI
27.1433, 2011, Oct, Eritrea, ERI
25.8937, 2011, Nov, Eritrea, ERI
23.8653, 2011, Dec, Eritrea, ERI
