"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"104","1999","Cyprus","Mar","CYP","13.5851","44.8415"
"105","1999","Cyprus","May","CYP","22.5585","2.96912"
"106","1999","Cyprus","Nov","CYP","16.5615","17.4584"
"107","1999","Cyprus","Oct","CYP","22.3126","12.7077"
"108","1999","Cyprus","Sep","CYP","25.8976","6.05994"
"109","2000","Cyprus","Apr","CYP","17.8947","56.8746"
"110","2000","Cyprus","Aug","CYP","28.6289","0.08367"
"111","2000","Cyprus","Dec","CYP","12.5038","111.88"
"112","2000","Cyprus","Feb","CYP","10.0886","62.2053"
"113","2000","Cyprus","Jan","CYP","8.79673","93.8452"
"114","2000","Cyprus","Jul","CYP","29.6597","0.00301"
"115","2000","Cyprus","Jun","CYP","26.206","2.42327"
"116","2000","Cyprus","Mar","CYP","11.8085","34.5609"
"117","2000","Cyprus","May","CYP","20.9001","7.71609"
"118","2000","Cyprus","Nov","CYP","16.7198","110.726"
"119","2000","Cyprus","Oct","CYP","20.9202","27.2646"
"120","2000","Cyprus","Sep","CYP","25.9058","14.2305"
"121","2001","Cyprus","Apr","CYP","18.2561","36.8877"
"122","2001","Cyprus","Aug","CYP","29.0136","0.21986"
"123","2001","Cyprus","Dec","CYP","13.0024","211.453"
"124","2001","Cyprus","Feb","CYP","12.3571","78.767"
"125","2001","Cyprus","Jan","CYP","12.1907","61.1018"
"126","2001","Cyprus","Jul","CYP","28.9232","0.04922"
"127","2001","Cyprus","Jun","CYP","26.1271","0.03817"
"128","2001","Cyprus","Mar","CYP","16.9519","7.64831"
"129","2001","Cyprus","May","CYP","21.4815","15.0305"
"130","2001","Cyprus","Nov","CYP","15.7135","61.9417"
"131","2001","Cyprus","Oct","CYP","22.1315","23.5406"
"132","2001","Cyprus","Sep","CYP","26.4497","6.22742"
"133","2002","Cyprus","Apr","CYP","16.552","61.272"
"134","2002","Cyprus","Aug","CYP","28.2466","1.45645"
"135","2002","Cyprus","Dec","CYP","10.7805","130.142"
"136","2002","Cyprus","Feb","CYP","13.2052","53.0692"
"137","2002","Cyprus","Jan","CYP","9.01923","93.0067"
"138","2002","Cyprus","Jul","CYP","28.7699","1.46425"
"139","2002","Cyprus","Jun","CYP","25.7694","1.57943"
"140","2002","Cyprus","Mar","CYP","14.9163","42.3337"
"141","2002","Cyprus","May","CYP","20.9445","13.1692"
"142","2002","Cyprus","Nov","CYP","16.6919","28.2185"
"143","2002","Cyprus","Oct","CYP","22.3032","10.2495"
"144","2002","Cyprus","Sep","CYP","25.6264","3.68493"
"145","2003","Cyprus","Apr","CYP","16.6901","32.6992"
"146","2003","Cyprus","Aug","CYP","28.9803","3.1163"
"147","2003","Cyprus","Dec","CYP","12.4746","158.094"
"148","2003","Cyprus","Feb","CYP","9.50627","148.729"
"149","2003","Cyprus","Jan","CYP","13.2035","83.0572"
"150","2003","Cyprus","Jul","CYP","28.4156","0.00316"
"151","2003","Cyprus","Jun","CYP","26.0433","16.6998"
"152","2003","Cyprus","Mar","CYP","11.5106","94.4214"
"153","2003","Cyprus","May","CYP","23.3722","12.739"
"154","2003","Cyprus","Nov","CYP","16.6625","20.0116"
"155","2003","Cyprus","Oct","CYP","22.6356","12.1165"
"156","2003","Cyprus","Sep","CYP","25.3809","8.77881"
"157","2004","Cyprus","Apr","CYP","16.9788","10.3933"
"158","2004","Cyprus","Aug","CYP","27.9448","0.77803"
"159","2004","Cyprus","Dec","CYP","11.5084","66.316"
"160","2004","Cyprus","Feb","CYP","11.1504","98.3085"
"161","2004","Cyprus","Jan","CYP","10.5617","243.137"
"162","2004","Cyprus","Jul","CYP","28.526","6.06699"
"163","2004","Cyprus","Jun","CYP","24.7199","22.3648"
"164","2004","Cyprus","Mar","CYP","14.4338","4.85339"
"165","2004","Cyprus","May","CYP","21.0081","2.52729"
"166","2004","Cyprus","Nov","CYP","16.7226","69.7134"
"167","2004","Cyprus","Oct","CYP","23.1029","4.29176"
"168","2004","Cyprus","Sep","CYP","25.7463","0.0307"
"169","2005","Cyprus","Apr","CYP","17.641","24.1206"
"170","2005","Cyprus","Aug","CYP","28.7146","1.32671"
"171","2005","Cyprus","Dec","CYP","13.4766","31.8659"
"172","2005","Cyprus","Feb","CYP","11.1034","49.8374"
"173","2005","Cyprus","Jan","CYP","11.862","132.1"
"174","2005","Cyprus","Jul","CYP","28.407","0.31945"
"175","2005","Cyprus","Jun","CYP","25.0887","14.746"
"176","2005","Cyprus","Mar","CYP","14.0061","24.3092"
"177","2005","Cyprus","May","CYP","21.2302","12.2935"
"178","2005","Cyprus","Nov","CYP","15.0416","62.614"
"179","2005","Cyprus","Oct","CYP","20.1087","18.6142"
"180","2005","Cyprus","Sep","CYP","25.2496","10.151"
"181","2006","Cyprus","Apr","CYP","17.7598","33.6902"
"182","2006","Cyprus","Aug","CYP","28.9504","4.62661"
"183","2006","Cyprus","Dec","CYP","11.5005","11.1116"
"184","2006","Cyprus","Feb","CYP","11.7655","39.8841"
"185","2006","Cyprus","Jan","CYP","9.95633","93.9302"
"186","2006","Cyprus","Jul","CYP","27.5928","0.24853"
"187","2006","Cyprus","Jun","CYP","25.7089","4.50785"
"188","2006","Cyprus","Mar","CYP","14.0107","33.2258"
"189","2006","Cyprus","May","CYP","21.2283","6.04508"
"190","2006","Cyprus","Nov","CYP","14.6708","40.9033"
"191","2006","Cyprus","Oct","CYP","21.4838","76.358"
"192","2006","Cyprus","Sep","CYP","25.5576","8.16707"
"193","2007","Cyprus","Apr","CYP","15.8904","22.3535"
"194","2007","Cyprus","Aug","CYP","28.741","0.46567"
"195","2007","Cyprus","Dec","CYP","11.9541","91.5231"
"196","2007","Cyprus","Feb","CYP","11.4905","156.575"
"197","2007","Cyprus","Jan","CYP","10.3327","47.5094"
"198","2007","Cyprus","Jul","CYP","28.957","0.07412"
"199","2007","Cyprus","Jun","CYP","26.2259","2.05964"
"200","2007","Cyprus","Mar","CYP","13.6702","31.2766"
"201","2007","Cyprus","May","CYP","22.5159","52.5556"
"202","2007","Cyprus","Nov","CYP","16.8344","45.6712"
"203","2007","Cyprus","Oct","CYP","22.832","6.53406"
"204","2007","Cyprus","Sep","CYP","25.9701","0.29214"
"205","2008","Cyprus","Apr","CYP","18.925","7.24445"
"206","2008","Cyprus","Aug","CYP","29.4967","3.93869"
"207","2008","Cyprus","Dec","CYP","12.1615","74.6749"
"208","2008","Cyprus","Feb","CYP","10.0975","28.3251"
"209","2008","Cyprus","Jan","CYP","8.3245","42.2061"
"210","2008","Cyprus","Jul","CYP","28.6326","0.08474"
"211","2008","Cyprus","Jun","CYP","26.4975","1.48453"
"212","2008","Cyprus","Mar","CYP","16.4252","16.5878"
"213","2008","Cyprus","May","CYP","20.5396","21.5085"
"214","2008","Cyprus","Nov","CYP","17.5071","32.4534"
"215","2008","Cyprus","Oct","CYP","21.702","17.9124"
"216","2008","Cyprus","Sep","CYP","26.2709","13.6937"
"217","2009","Cyprus","Apr","CYP","17.1391","16.9036"
"218","2009","Cyprus","Aug","CYP","28.4293","0.08589"
"219","2009","Cyprus","Dec","CYP","14.2958","172.283"
"220","2009","Cyprus","Feb","CYP","12.0315","106.256"
"221","2009","Cyprus","Jan","CYP","11.246","139.516"
"222","2009","Cyprus","Jul","CYP","28.4894","0.39811"
"223","2009","Cyprus","Jun","CYP","26.5487","0.51756"
"224","2009","Cyprus","Mar","CYP","12.8608","53.095"
"225","2009","Cyprus","May","CYP","21.0262","12.0458"
"226","2009","Cyprus","Nov","CYP","16.1405","64.1017"
"227","2009","Cyprus","Oct","CYP","23.4967","32.5725"
"228","2009","Cyprus","Sep","CYP","24.9987","24.8908"
"229","2010","Cyprus","Apr","CYP","17.815","10.4465"
"230","2010","Cyprus","Aug","CYP","30.5906","0.12978"
"231","2010","Cyprus","Dec","CYP","14.9708","100.607"
"232","2010","Cyprus","Feb","CYP","13.4921","105.705"
"233","2010","Cyprus","Jan","CYP","13.0755","135.981"
"234","2010","Cyprus","Jul","CYP","28.4659","0.3818"
"235","2010","Cyprus","Jun","CYP","25.5767","15.3439"
"236","2010","Cyprus","Mar","CYP","15.9819","5.58922"
"237","2010","Cyprus","May","CYP","22.0843","12.8914"
"238","2010","Cyprus","Nov","CYP","19.5651","0.77871"
"239","2010","Cyprus","Oct","CYP","22.8906","17.0517"
"240","2010","Cyprus","Sep","CYP","27.5812","1.26219"
"241","2011","Cyprus","Apr","CYP","16.7011","50.7954"
"242","2011","Cyprus","Aug","CYP","28.656","5.37126"
"243","2011","Cyprus","Dec","CYP","12.2369","118.419"
"244","2011","Cyprus","Feb","CYP","12.3066","70.6987"
"245","2011","Cyprus","Jan","CYP","12.2291","115.731"
"246","2011","Cyprus","Jul","CYP","28.8476","0.15771"
"247","2011","Cyprus","Jun","CYP","24.9479","5.41857"
"248","2011","Cyprus","Mar","CYP","13.3617","37.2383"
"249","2011","Cyprus","May","CYP","20.4454","14.8818"
"250","2011","Cyprus","Nov","CYP","13.3346","89.0024"
"251","2011","Cyprus","Oct","CYP","20.8113","19.0037"
"252","2011","Cyprus","Sep","CYP","26.5594","5.32704"
"253","2012","Cyprus","Apr","CYP","18.3795","15.8671"
"254","2012","Cyprus","Aug","CYP","29.1313","0.76228"
"255","2012","Cyprus","Dec","CYP","13.9201","189.728"
"256","2012","Cyprus","Feb","CYP","9.47553","77.3821"
"257","2012","Cyprus","Jan","CYP","9.7957","229.738"
"258","2012","Cyprus","Jul","CYP","29.786","0.10829"
"259","2012","Cyprus","Jun","CYP","26.8614","6.41018"
"260","2012","Cyprus","Mar","CYP","12.0865","45.466"
"261","2012","Cyprus","May","CYP","21.6068","45.4804"
"262","2012","Cyprus","Nov","CYP","18.4767","80.4061"
"263","2012","Cyprus","Oct","CYP","23.231","40.9449"
"264","2012","Cyprus","Sep","CYP","27.0856","0.17441"
"265","2013","Cyprus","Apr","CYP","18.1538","33.4682"
"266","2013","Cyprus","Aug","CYP","28.6989","1.31931"
"267","2013","Cyprus","Dec","CYP","11.1235","60.7015"
"268","2013","Cyprus","Feb","CYP","13.4608","50.6652"
"269","2013","Cyprus","Jan","CYP","11.7698","75.7069"
"270","2013","Cyprus","Jul","CYP","27.6609","0.07969"
"271","2013","Cyprus","Jun","CYP","25.9688","1.38602"
"272","2013","Cyprus","Mar","CYP","15.7451","18.6704"
"273","2013","Cyprus","May","CYP","23.2818","38.4226"
"274","2013","Cyprus","Nov","CYP","18.5718","16.895"
"275","2013","Cyprus","Oct","CYP","20.3532","12.5992"
"276","2013","Cyprus","Sep","CYP","25.6791","4.30483"
"277","2014","Cyprus","Apr","CYP","18.5689","9.12138"
"278","2014","Cyprus","Aug","CYP","29.2398","1.97223"
"279","2014","Cyprus","Dec","CYP","14.8621","91.4486"
"280","2014","Cyprus","Feb","CYP","13.3491","36.5396"
"281","2014","Cyprus","Jan","CYP","12.7506","66.5074"
"282","2014","Cyprus","Jul","CYP","28.2777","0.75201"
"283","2014","Cyprus","Jun","CYP","25.1935","9.62824"
"284","2014","Cyprus","Mar","CYP","15.0167","49.6066"
"285","2014","Cyprus","May","CYP","21.4562","46.0097"
"286","2014","Cyprus","Nov","CYP","16.339","53.6947"
"287","2014","Cyprus","Oct","CYP","21.5558","32.308"
"288","2014","Cyprus","Sep","CYP","25.5636","20.5137"
"289","2015","Cyprus","Apr","CYP","16.0058","19.5977"
"290","2015","Cyprus","Aug","CYP","29.7098","0.73156"
"291","2015","Cyprus","Dec","CYP","11.7676","87.5576"
"292","2015","Cyprus","Feb","CYP","11.8609","96.8343"
"293","2015","Cyprus","Jan","CYP","10.7425","172.846"
"294","2015","Cyprus","Jul","CYP","28.0072","0.66284"
"295","2015","Cyprus","Jun","CYP","23.8417","9.43803"
"296","2015","Cyprus","Mar","CYP","14.6349","78.493"
"297","2015","Cyprus","May","CYP","21.8589","8.90182"
"298","2015","Cyprus","Nov","CYP","17.6004","14.2117"
"299","2015","Cyprus","Oct","CYP","23.0078","40.0131"
"300","2015","Cyprus","Sep","CYP","27.6319","4.72386"
"301","2016","Cyprus","Apr","CYP","19.9464","7.80249"
"302","2016","Cyprus","Aug","CYP","29.3901","1.46877"
"303","2016","Cyprus","Dec","CYP","10.3806","136.034"
"304","2016","Cyprus","Feb","CYP","14.7315","36.7523"
"305","2016","Cyprus","Jan","CYP","10.5137","84.4515"
"306","2016","Cyprus","Jul","CYP","29.0681","5.55462"
"307","2016","Cyprus","Jun","CYP","26.8592","3.93863"
"308","2016","Cyprus","Mar","CYP","15.3655","34.0037"
"309","2016","Cyprus","May","CYP","21.2949","9.84042"
"310","2016","Cyprus","Nov","CYP","17.0508","22.9784"
"311","2016","Cyprus","Oct","CYP","22.8811","20.9271"
"312","2016","Cyprus","Sep","CYP","25.8531","4.14372"
