"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Poland","Jan","POL","-5.2581","23.9815"
"2","1901","Poland","Feb","POL","-4.7257","20.3868"
"3","1901","Poland","Mar","POL","1.78574","45.0815"
"4","1901","Poland","Apr","POL","7.42957","51.3196"
"5","1901","Poland","May","POL","13.8264","36.5032"
"6","1901","Poland","Jun","POL","17.0834","90.2493"
"7","1901","Poland","Jul","POL","19.4303","60.8941"
"8","1901","Poland","Aug","POL","17.8924","75.4656"
"9","1901","Poland","Sep","POL","13.2105","34.725"
"10","1901","Poland","Oct","POL","9.91271","40.4668"
"11","1901","Poland","Nov","POL","2.29813","54.2283"
"12","1901","Poland","Dec","POL","0.42571","58.3764"
"13","1902","Poland","Jan","POL","1.46589","44.8718"
"14","1902","Poland","Feb","POL","-2.9194","24.0639"
"15","1902","Poland","Mar","POL","2.14063","45.8819"
"16","1902","Poland","Apr","POL","5.36296","35.8698"
"17","1902","Poland","May","POL","9.86862","55.3447"
"18","1902","Poland","Jun","POL","15.2502","83.1407"
"19","1902","Poland","Jul","POL","15.7996","85.6257"
"20","1902","Poland","Aug","POL","15.6011","73.5638"
"21","1902","Poland","Sep","POL","12.1707","39.6675"
"22","1902","Poland","Oct","POL","6.73122","59.8383"
"23","1902","Poland","Nov","POL","-0.3671","10.2031"
"24","1902","Poland","Dec","POL","-5.045","44.6116"
"25","1903","Poland","Jan","POL","-2.2465","36.5853"
"26","1903","Poland","Feb","POL","2.08594","34.118"
"27","1903","Poland","Mar","POL","5.6146","18.1682"
"28","1903","Poland","Apr","POL","5.96213","68.6975"
"29","1903","Poland","May","POL","13.362","53.9836"
"30","1903","Poland","Jun","POL","15.8685","79.7757"
"31","1903","Poland","Jul","POL","17.3418","103.151"
"32","1903","Poland","Aug","POL","16.2184","89.2031"
"33","1903","Poland","Sep","POL","13.8422","29.5261"
"34","1903","Poland","Oct","POL","8.32509","59.5818"
"35","1903","Poland","Nov","POL","3.44705","52.9081"
"36","1903","Poland","Dec","POL","-1.456","29.7404"
"37","1904","Poland","Jan","POL","-2.9891","19.4246"
