Rainfall - (MM), Year, Month, Country, ISO3
1.54788, 1991, Jan, Benin, BEN
20.4778, 1991, Feb, Benin, BEN
46.0302, 1991, Mar, Benin, BEN
101.229, 1991, Apr, Benin, BEN
213.959, 1991, May, Benin, BEN
152.611, 1991, Jun, Benin, BEN
228.063, 1991, Jul, Benin, BEN
224.87, 1991, Aug, Benin, BEN
127.231, 1991, Sep, Benin, BEN
100.387, 1991, Oct, Benin, BEN
1.49762, 1991, Nov, Benin, BEN
2.13855, 1991, Dec, Benin, BEN
0.08419, 1992, Jan, Benin, BEN
0.44509, 1992, Feb, Benin, BEN
7.94347, 1992, Mar, Benin, BEN
80.3006, 1992, Apr, Benin, BEN
144.986, 1992, May, Benin, BEN
126.391, 1992, Jun, Benin, BEN
191.139, 1992, Jul, Benin, BEN
154.643, 1992, Aug, Benin, BEN
182.063, 1992, Sep, Benin, BEN
52.3506, 1992, Oct, Benin, BEN
16.9643, 1992, Nov, Benin, BEN
0.4703, 1992, Dec, Benin, BEN
0.05896, 1993, Jan, Benin, BEN
14.1447, 1993, Feb, Benin, BEN
36.7217, 1993, Mar, Benin, BEN
48.5046, 1993, Apr, Benin, BEN
98.1844, 1993, May, Benin, BEN
131, 1993, Jun, Benin, BEN
183.201, 1993, Jul, Benin, BEN
195.268, 1993, Aug, Benin, BEN
177.238, 1993, Sep, Benin, BEN
55.5981, 1993, Oct, Benin, BEN
10.55, 1993, Nov, Benin, BEN
8.71556, 1993, Dec, Benin, BEN
1.65015, 1994, Jan, Benin, BEN
6.13348, 1994, Feb, Benin, BEN
30.2647, 1994, Mar, Benin, BEN
69.0051, 1994, Apr, Benin, BEN
108.489, 1994, May, Benin, BEN
147.638, 1994, Jun, Benin, BEN
168.337, 1994, Jul, Benin, BEN
218.048, 1994, Aug, Benin, BEN
201.106, 1994, Sep, Benin, BEN
156.672, 1994, Oct, Benin, BEN
8.44198, 1994, Nov, Benin, BEN
0.67311, 1994, Dec, Benin, BEN
0.02875, 1995, Jan, Benin, BEN
6.55134, 1995, Feb, Benin, BEN
36.2176, 1995, Mar, Benin, BEN
86.1723, 1995, Apr, Benin, BEN
115.964, 1995, May, Benin, BEN
128.602, 1995, Jun, Benin, BEN
170.875, 1995, Jul, Benin, BEN
295.826, 1995, Aug, Benin, BEN
180.23, 1995, Sep, Benin, BEN
100.469, 1995, Oct, Benin, BEN
10.1961, 1995, Nov, Benin, BEN
5.21646, 1995, Dec, Benin, BEN
1.26526, 1996, Jan, Benin, BEN
17.0896, 1996, Feb, Benin, BEN
24.4506, 1996, Mar, Benin, BEN
66.7955, 1996, Apr, Benin, BEN
118.119, 1996, May, Benin, BEN
171.892, 1996, Jun, Benin, BEN
160.015, 1996, Jul, Benin, BEN
256.746, 1996, Aug, Benin, BEN
165.463, 1996, Sep, Benin, BEN
71.3395, 1996, Oct, Benin, BEN
1.27569, 1996, Nov, Benin, BEN
0.74558, 1996, Dec, Benin, BEN
3.42885, 1997, Jan, Benin, BEN
0.3278, 1997, Feb, Benin, BEN
59.2149, 1997, Mar, Benin, BEN
80.6369, 1997, Apr, Benin, BEN
135.775, 1997, May, Benin, BEN
172.273, 1997, Jun, Benin, BEN
141.903, 1997, Jul, Benin, BEN
124.418, 1997, Aug, Benin, BEN
180.274, 1997, Sep, Benin, BEN
115.095, 1997, Oct, Benin, BEN
9.09799, 1997, Nov, Benin, BEN
10.2403, 1997, Dec, Benin, BEN
8.82003, 1998, Jan, Benin, BEN
6.94842, 1998, Feb, Benin, BEN
14.8011, 1998, Mar, Benin, BEN
63.4595, 1998, Apr, Benin, BEN
160.601, 1998, May, Benin, BEN
169.985, 1998, Jun, Benin, BEN
162.397, 1998, Jul, Benin, BEN
234.505, 1998, Aug, Benin, BEN
196.42, 1998, Sep, Benin, BEN
92.8016, 1998, Oct, Benin, BEN
8.1966, 1998, Nov, Benin, BEN
2.19837, 1998, Dec, Benin, BEN
3.54845, 1999, Jan, Benin, BEN
18.0157, 1999, Feb, Benin, BEN
33.4333, 1999, Mar, Benin, BEN
72.066, 1999, Apr, Benin, BEN
92.3881, 1999, May, Benin, BEN
107.301, 1999, Jun, Benin, BEN
232.457, 1999, Jul, Benin, BEN
239.768, 1999, Aug, Benin, BEN
225.507, 1999, Sep, Benin, BEN
141.809, 1999, Oct, Benin, BEN
8.21596, 1999, Nov, Benin, BEN
1.45062, 1999, Dec, Benin, BEN
1.27485, 2000, Jan, Benin, BEN
0.56733, 2000, Feb, Benin, BEN
27.6665, 2000, Mar, Benin, BEN
61.3534, 2000, Apr, Benin, BEN
83.9919, 2000, May, Benin, BEN
141.24, 2000, Jun, Benin, BEN
188.33, 2000, Jul, Benin, BEN
185.354, 2000, Aug, Benin, BEN
171.384, 2000, Sep, Benin, BEN
102.943, 2000, Oct, Benin, BEN
2.6099, 2000, Nov, Benin, BEN
0.53344, 2000, Dec, Benin, BEN
3.37463, 2001, Jan, Benin, BEN
1.07789, 2001, Feb, Benin, BEN
9.46873, 2001, Mar, Benin, BEN
49.8902, 2001, Apr, Benin, BEN
85.6575, 2001, May, Benin, BEN
137.371, 2001, Jun, Benin, BEN
132.877, 2001, Jul, Benin, BEN
179.087, 2001, Aug, Benin, BEN
201.79, 2001, Sep, Benin, BEN
35.4691, 2001, Oct, Benin, BEN
2.076, 2001, Nov, Benin, BEN
0.50901, 2001, Dec, Benin, BEN
7.02108, 2002, Jan, Benin, BEN
0.43006, 2002, Feb, Benin, BEN
32.2387, 2002, Mar, Benin, BEN
52.5053, 2002, Apr, Benin, BEN
102.706, 2002, May, Benin, BEN
159.511, 2002, Jun, Benin, BEN
179.064, 2002, Jul, Benin, BEN
224.054, 2002, Aug, Benin, BEN
154.975, 2002, Sep, Benin, BEN
118.856, 2002, Oct, Benin, BEN
5.46425, 2002, Nov, Benin, BEN
0.11929, 2002, Dec, Benin, BEN
10.1514, 2003, Jan, Benin, BEN
8.68931, 2003, Feb, Benin, BEN
21.237, 2003, Mar, Benin, BEN
88.9179, 2003, Apr, Benin, BEN
111.366, 2003, May, Benin, BEN
176.495, 2003, Jun, Benin, BEN
180.513, 2003, Jul, Benin, BEN
261.195, 2003, Aug, Benin, BEN
241.46, 2003, Sep, Benin, BEN
90.526, 2003, Oct, Benin, BEN
19.6355, 2003, Nov, Benin, BEN
1.19258, 2003, Dec, Benin, BEN
10.284, 2004, Jan, Benin, BEN
5.3144, 2004, Feb, Benin, BEN
8.12853, 2004, Mar, Benin, BEN
81.427, 2004, Apr, Benin, BEN
143.214, 2004, May, Benin, BEN
138.958, 2004, Jun, Benin, BEN
206.676, 2004, Jul, Benin, BEN
178.791, 2004, Aug, Benin, BEN
197.635, 2004, Sep, Benin, BEN
71.3548, 2004, Oct, Benin, BEN
13.6119, 2004, Nov, Benin, BEN
0.58881, 2004, Dec, Benin, BEN
0.02965, 2005, Jan, Benin, BEN
12.7871, 2005, Feb, Benin, BEN
47.8616, 2005, Mar, Benin, BEN
44.5991, 2005, Apr, Benin, BEN
102.092, 2005, May, Benin, BEN
157.604, 2005, Jun, Benin, BEN
222.938, 2005, Jul, Benin, BEN
163.884, 2005, Aug, Benin, BEN
154.73, 2005, Sep, Benin, BEN
77.6804, 2005, Oct, Benin, BEN
6.04831, 2005, Nov, Benin, BEN
0.77513, 2005, Dec, Benin, BEN
6.238, 2006, Jan, Benin, BEN
7.50411, 2006, Feb, Benin, BEN
20.9497, 2006, Mar, Benin, BEN
