"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"94","1998","Jordan","Nov","JOR","17.8211","0.83333"
"95","1998","Jordan","Oct","JOR","22.2543","0.20622"
"96","1998","Jordan","Sep","JOR","26.5716","0.0116"
"97","1999","Jordan","Apr","JOR","18.4214","2.41585"
"98","1999","Jordan","Aug","JOR","28.8845","0"
"99","1999","Jordan","Dec","JOR","11.4097","3.2719"
"100","1999","Jordan","Feb","JOR","11.4462","29.1338"
"101","1999","Jordan","Jan","JOR","10.0014","11.3213"
"102","1999","Jordan","Jul","JOR","28.0162","0.54963"
"103","1999","Jordan","Jun","JOR","26.3584","0.00196"
"104","1999","Jordan","Mar","JOR","14.2817","9.07943"
"105","1999","Jordan","May","JOR","24.3184","0.14961"
"106","1999","Jordan","Nov","JOR","15.7892","1.05846"
"107","1999","Jordan","Oct","JOR","22.0401","0.5735"
"108","1999","Jordan","Sep","JOR","25.9374","0.05738"
"109","2000","Jordan","Apr","JOR","19.6618","0.67346"
"110","2000","Jordan","Aug","JOR","28.5074","0.03129"
"111","2000","Jordan","Dec","JOR","10.7708","19.3298"
"112","2000","Jordan","Feb","JOR","9.46729","7.00718"
"113","2000","Jordan","Jan","JOR","8.15429","35.6368"
"114","2000","Jordan","Jul","JOR","29.3592","0.54886"
"115","2000","Jordan","Jun","JOR","26.5274","0.00171"
"116","2000","Jordan","Mar","JOR","12.3168","15.1412"
"117","2000","Jordan","May","JOR","22.2985","0.01794"
"118","2000","Jordan","Nov","JOR","14.8833","3.80919"
"119","2000","Jordan","Oct","JOR","20.1318","9.09991"
"120","2000","Jordan","Sep","JOR","25.6215","0.14448"
"121","2001","Jordan","Apr","JOR","19.4053","17.0848"
"122","2001","Jordan","Aug","JOR","28.7771","0.07452"
"123","2001","Jordan","Dec","JOR","11.4185","19.0481"
"124","2001","Jordan","Feb","JOR","10.8195","20.4262"
"125","2001","Jordan","Jan","JOR","9.78021","17.9508"
"126","2001","Jordan","Jul","JOR","28.3575","0.54886"
"127","2001","Jordan","Jun","JOR","26.6808","0.00164"
"128","2001","Jordan","Mar","JOR","16.9954","7.92401"
"129","2001","Jordan","May","JOR","22.8109","5.15723"
"130","2001","Jordan","Nov","JOR","15.0786","9.68477"
"131","2001","Jordan","Oct","JOR","21.7986","1.71757"
"132","2001","Jordan","Sep","JOR","26.0133","0"
"133","2002","Jordan","Apr","JOR","17.8826","8.96814"
"134","2002","Jordan","Aug","JOR","28.1941","0.028"
"135","2002","Jordan","Dec","JOR","10.8317","26.2814"
"136","2002","Jordan","Feb","JOR","12.5041","14.5505"
"137","2002","Jordan","Jan","JOR","7.85331","35.5395"
"138","2002","Jordan","Jul","JOR","29.0413","0.56422"
"139","2002","Jordan","Jun","JOR","25.8923","0.00173"
"140","2002","Jordan","Mar","JOR","15.527","13.7756"
"141","2002","Jordan","May","JOR","22.0047","2.01495"
"142","2002","Jordan","Nov","JOR","16.0592","13.9723"
"143","2002","Jordan","Oct","JOR","22.9932","4.7234"
"144","2002","Jordan","Sep","JOR","26.2997","0.01176"
"145","2003","Jordan","Apr","JOR","18.3635","5.0689"
"146","2003","Jordan","Aug","JOR","29.0162","0.71717"
"147","2003","Jordan","Dec","JOR","10.8082","32.8499"
"148","2003","Jordan","Feb","JOR","9.75527","37.4669"
"149","2003","Jordan","Jan","JOR","10.9802","18.9958"
"150","2003","Jordan","Jul","JOR","27.9991","0.59354"
"151","2003","Jordan","Jun","JOR","26.2163","0.02527"
"152","2003","Jordan","Mar","JOR","11.9841","25.7986"
"153","2003","Jordan","May","JOR","24.9458","0.90629"
"154","2003","Jordan","Nov","JOR","16.0877","6.53311"
"155","2003","Jordan","Oct","JOR","22.5035","0.79915"
"156","2003","Jordan","Sep","JOR","25.5017","0.00434"
"157","2004","Jordan","Apr","JOR","18.4496","2.42852"
"158","2004","Jordan","Aug","JOR","26.8613","0.00274"
"159","2004","Jordan","Dec","JOR","9.41074","9.54868"
"160","2004","Jordan","Feb","JOR","10.8507","21.3649"
"161","2004","Jordan","Jan","JOR","9.69351","26.6153"
"162","2004","Jordan","Jul","JOR","28.6096","0.599"
"163","2004","Jordan","Jun","JOR","25.7533","0.00204"
"164","2004","Jordan","Mar","JOR","15.6601","6.98482"
"165","2004","Jordan","May","JOR","22.7628","1.66439"
"166","2004","Jordan","Nov","JOR","15.8273","12.4484"
"167","2004","Jordan","Oct","JOR","22.9977","1.05949"
"168","2004","Jordan","Sep","JOR","25.8289","0.03196"
"169","2005","Jordan","Apr","JOR","19.1649","10.4613"
