"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Jordan",7.07659,12.9244,15.637,17.5645,19.281,24.2091,26.1876,26.1646,23.765,20.4083,14.4422,10.9381,31.8431,0.7177,5.44981,2.90842,21.5621,0.44517,0.55583,0.5342,0.0014,1.33142,8.33014,22.6812
"13","1902","Jordan",7.56781,12.2493,11.6662,16.5854,21.3807,23.5424,26.1581,26.0685,26.063,21.3299,13.5897,8.82502,37.299,8.97631,11.4055,13.0514,0.97592,0.44485,0.56126,0.5342,0.00013,3.57337,26.8369,24.665
"25","1903","Jordan",6.67328,8.08518,10.7747,16.9537,21.4954,22.6788,24.2556,25.378,22.7779,19.0991,12.9389,9.99667,25.7837,19.4452,19.4099,2.07496,0.08519,0.16837,0.54886,0.5342,0,0.68843,8.08164,13.6396
"37","1904","Jordan",8.29777,10.3983,12.4425,15.8201,19.9823,23.2831,24.8333,25.997,23.7231,21.7644,13.85,7.8897,34.0052,13.5842,23.2303,11.2818,2.74,0.17084,0.55711,0.5342,0.00111,5.04778,18.9356,52.7442
"49","1905","Jordan",5.99435,6.81251,10.6574,17.0191,21.5334,23.6258,26.5148,26.812,25.2929,21.7607,16.2415,8.20173,19.2762,27.7479,34.8771,13.4946,2.81516,0.19894,0.54886,0.5342,0.00665,4.24404,2.08504,48.6139
"61","1906","Jordan",7.42577,9.52268,12.4451,16.6495,19.8838,24.7546,26.0242,26.614,23.7989,20.7714,14.8398,11.3243,25.7365,27.9052,15.5348,31.5876,21.3282,0.6579,0.54886,0.5342,0,3.88201,6.65077,7.56347
"73","1907","Jordan",7.54598,9.22633,10.5056,16.0411,20.8864,23.5332,26.2331,26.2256,23.0603,20.0608,12.7597,9.67555,52.0146,26.7792,22.9956,5.26443,0.36354,0.45904,0.54886,0.5342,0.0122,1.38606,14.7403,14.6732
"85","1908","Jordan",7.66086,8.93629,12.1421,16.5386,21.8096,24.3562,25.1656,25.8624,23.8128,20.1588,13.1031,7.6713,30.4735,28.2831,26.5712,12.0279,2.53669,0.92753,0.54886,0.5342,0.00053,0.0617,13.68,22.9331
"97","1909","Jordan",7.72588,9.42562,14.4997,15.0413,24.3228,24.6474,27.214,27.1271,24.5847,20.5144,15.5425,11.5089,22.608,10.5518,7.31835,39.3329,12.3286,0.16211,0.54886,0.5342,0.05954,10.9641,8.69041,11.4472
"109","1910","Jordan",7.71535,10.4088,9.52656,17.5141,20.9086,23.6772,26.0944,26.8036,24.3372,19.2017,14.1644,8.14026,24.3623,8.39036,39.7315,11.4872,4.48158,0.20725,0.54886,0.5342,0.01062,3.5008,8.90525,9.01264
"121","1911","Jordan",6.40406,6.8535,10.2999,16.1143,20.8791,23.7989,26.0529,26.25,23.4644,20.875,14.7952,9.70767,38.3797,43.6136,27.1552,25.9935,2.95946,0.16143,0.54886,0.5342,0.00696,5.25436,11.2526,45.9211
"133","1912","Jordan",7.2743,10.7186,12.5408,17.023,19.632,24.1259,25.5347,26.3282,23.9391,20.8602,14.5636,8.81432,36.0284,17.4153,15.7961,8.48219,9.77327,0.09233,0.6497,0.5342,0.00288,12.3973,7.96915,28.7982
"145","1913","Jordan",8.09436,8.92928,12.3771,15.9237,20.6419,23.6582,25.9133,26.4634,25.283,21.5058,14.0616,8.75791,28.154,29.8744,11.4933,10.0477,4.68003,0.20871,0.54963,0.85717,0.0129,9.45676,8.59106,27.2867
"157","1914","Jordan",8.39313,9.80037,13.7701,15.1798,21.7631,24.6585,26.1608,27.1537,25.2732,20.1593,14.4947,10.0308,15.5768,8.41929,13.3108,27.885,3.92731,0.27745,0.55118,0.69672,0.00039,1.03916,33.4871,18.0895
"169","1915","Jordan",9.69934,10.6405,13.4931,16.794,21.349,25.6053,27.1147,27.2841,25.2434,21.5044,14.859,11.3001,9.17514,14.552,18.9893,13.6398,0.50141,0.16151,0.54886,0.5342,0.01308,0.59396,9.51481,7.82814
"181","1916","Jordan",7.75401,10.4682,13.9577,17.4588,23.4826,27.0214,28.0872,26.4942,24.6315,19.7506,16.7368,11.4587,32.7706,23.7954,34.5342,16.8885,0.00077,0.16143,0.54886,0.5342,0.0193,0.33105,6.3805,23.7069
"193","1917","Jordan",9.49367,10.4892,14.2531,18.3843,20.7215,24.1075,26.1112,26.7684,24.8675,19.9606,16.6983,9.93131,45.0945,26.1573,9.38893,1.13794,0.78634,0.16143,0.54886,0.5342,1.61744,1.57187,5.46014,24.3803
"205","1918","Jordan",7.7666,9.61384,12.5034,16.7772,21.0809,24.0536,26.3294,26.5146,25.4969,22.9893,16.94,9.47556,24.9212,28.5671,34.9961,6.60572,15.896,0.18081,0.54886,0.69672,1.64127,13.0019,9.08436,29.6174
"217","1919","Jordan",10.2554,11.9617,14.4039,16.4166,20.266,23.4661,26.4073,26.3088,25.8881,22.5185,16.9388,9.48216,20.2598,31.8566,16.9298,12.1784,2.41642,0.19159,0.54886,0.5342,0,0.57995,10.5718,39.2148
"229","1920","Jordan",8.69627,7.48129,12.8896,17.7822,22.4405,25.3153,26.9671,27.5716,25.1923,21.1581,13.54,8.75944,36.0943,48.0092,20.3287,8.47859,2.6158,0.16205,0.54886,2.13299,0.0018,1.30943,14.3001,15.2083
"241","1921","Jordan",7.64975,8.59325,11.0925,16.5718,20.71,23.7289,26.7694,27.6809,23.9421,19.9583,14.6294,9.10997,30.138,33.6586,19.0997,3.81435,7.60735,0.95521,0.55971,1.92763,0.00379,0.33435,6.06357,31.1329
"253","1922","Jordan",8.39993,9.44811,13.3332,16.8457,21.788,24.031,27.5064,27.9245,25.4058,22.1883,16.9072,9.22608,30.3202,34.0439,11.5689,2.50357,1.77798,0.00065,0.55893,0.5342,0,0.13099,7.59907,21.3983
"265","1923","Jordan",9.08082,9.78744,13.4248,16.5073,22.0597,26.6784,26.376,25.9644,25.9049,20.8823,16.68,11.5778,15.0465,32.4047,7.729,10.6911,3.99559,0.01113,0.54886,0.53426,0.03868,9.32729,2.34853,20.274
"277","1924","Jordan",8.66392,10.4491,13.9301,18.2621,20.9804,25.8041,27.4014,27.0874,25.4502,20.2049,14.8171,9.76461,17.3408,48.0265,17.2608,0.29969,3.2917,0.06238,0.54963,0.5342,8e-04,6.33441,21.8193,15.6511
"289","1925","Jordan",5.82128,9.24913,16.1576,16.1575,22.0982,24.2474,26.8174,27.2371,25.8694,21.6495,16.3347,12.192,7.86197,8.43835,4.62218,28.1672,0.67092,4.11635,0.54886,0.5342,0.01227,0.8553,16.8149,12.7407
"301","1926","Jordan",8.75603,9.90839,12.2794,18.3367,23.3231,26.0774,26.0157,25.331,23.3147,21.2178,15.5213,11.0321,24.6922,27.9004,22.9888,7.98073,1.89073,8e-05,0.6497,0.5342,0,0.30356,3.8954,21.3601
"313","1927","Jordan",8.98841,7.22602,14.0331,16.4357,23.5555,24.952,27.6604,26.4832,25.1285,23.0394,16.549,11.0942,15.1607,60.5568,4.07123,20.143,1.5691,0,0.55273,0.53504,0,4.30043,7.75902,7.99234
"325","1928","Jordan",9.3587,8.89393,11.9933,20.4294,24.1986,25.4076,27.6248,28.2552,25.5459,20.6018,15.6125,10.5918,15.2511,45.1669,3.01319,0.15035,0.17091,0,0.55351,0.5342,0.00015,0.58252,10.5917,21.4002
"337","1929","Jordan",7.60755,8.66946,11.5753,17.4766,24.3973,24.8792,26.1493,27.8802,25.8979,20.3581,16.8901,9.5431,23.9091,27.2448,6.51354,20.3797,0.74489,0.07049,0.55013,0.53552,0.0033,0.45133,23.5639,17.489
"349","1930","Jordan",8.21884,10.1954,14.298,18.4522,21.7726,25.3895,27.0292,28.2288,25.3995,20.967,15.2973,12.407,28.8357,18.0276,2.54541,11.4336,0.85856,1e-05,0.55629,0.53439,1.13444,0.25986,8.08912,17.6347
"361","1931","Jordan",9.58063,10.1395,14.2628,17.6952,21.9713,24.4555,27.1212,27.7599,26.2234,21.8886,13.9275,9.12905,32.2178,22.0546,12.5673,6.11578,0.85989,0.10259,0.55013,0.66503,0.69233,0.85537,8.62992,31.8639
"373","1932","Jordan",7.50721,10.0213,13.8374,17.816,21.5225,26.3136,27.5322,27.9603,25.4043,23.6925,15.3863,8.7217,17.9642,27.7257,3.71175,5.57681,0.63261,0,0.54886,0.5342,8e-05,3.58214,4.61491,0.98903
"385","1933","Jordan",7.42785,10.7994,12.6607,14.985,21.5403,25.2604,25.7374,26.2462,23.3526,19.5634,18.3255,10.5725,20.2858,12.2313,12.4718,11.3693,0.5979,0.00091,0.54886,0.53524,0.71781,0.90785,3.54103,6.15994
