"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"277","1924","Namibia",25.4714,23.6868,22.4032,19.7793,16.5087,14.5024,13.4281,15.0005,18.7277,20.8569,22.1182,23.3663,28.3566,35.8963,67.1151,3.64912,0.85494,0.09237,0.2167,0.35125,0.85435,12.3245,19.7235,32.2402
"289","1925","Namibia",23.5521,23.3703,21.848,20.1954,15.8714,14.0342,13.5041,15.4221,17.7086,20.8279,23.1161,24.7891,67.719,98.2192,111.235,51.1105,7.32646,1.74583,2.65517,0.27049,0.43178,1.83365,15.5126,25.3225
"301","1926","Namibia",25.5652,24.3606,22.2758,20.5625,16.5943,14.2364,12.6002,14.73,18.4994,20.9364,22.5465,23.9018,30.6408,18.9498,33.8546,32.1308,8.86455,5.01712,0.40832,0.09112,3.16882,8.91228,29.5644,53.739
"313","1927","Namibia",25.1563,24.1071,22.4645,20.7715,16.3,14.1405,13.9965,15.1747,19.1564,21.2867,23.4391,24.3612,42.9943,25.8038,38.1452,33.1077,0.20614,0.04751,0.07779,1.04786,0.14743,10.2159,33.5963,27.1141
"325","1928","Namibia",24.4393,24.3931,23.0499,20.6016,16.4755,14.9937,13.4686,15.2483,19.5336,22.3673,23.6332,24.7435,58.5326,31.8676,76.3176,24.8069,0.99826,0.04876,0.05007,0.03446,3.43956,0.82018,15.4001,10.7742
"337","1929","Namibia",24.6492,24.1533,21.9441,19.7696,17.0188,15.2746,13.8579,15.4059,19.4772,22.6148,23.7437,23.7669,37.4351,45.2959,48.8081,2.45169,1.52616,2.50896,1.2793,0.42003,6.24144,13.9023,16.0753,16.9356
"349","1930","Namibia",24.0681,24.1063,22.3705,19.8928,16.1518,14.1599,13.8837,15.089,17.9077,21.9151,24.1661,24.6447,33.2043,34.1049,25.187,19.4459,0.7302,0.47208,0.01438,1.83384,0.22143,3.18587,14.9984,26.0854
"361","1931","Namibia",25.479,25.6251,23.7187,19.4602,19.2425,15.8292,13.0833,15.9311,18.6639,20.4028,23.5075,23.8138,61.8788,51.5389,64.3314,9.48722,0.19003,0.1387,1.01833,0.09049,0.13478,4.45926,28.7172,29.697
"373","1932","Namibia",24.3437,23.7917,23.1671,22.9566,17.4236,14.1859,12.5169,16.2896,17.547,22.0142,23.5856,24.3896,15.8988,27.8629,52.4265,5.97389,5.67044,0.26716,0.58585,0.07332,0.47162,16.6024,14.1249,32.2019
"385","1933","Namibia",25.1191,25.0097,24.0097,21.6975,18.018,14.3362,14.1466,16.1252,19.0564,22.7944,22.1965,24.1801,22.0671,21.7625,18.8192,3.40165,0.13627,1.18036,0.57289,1.80092,0.03732,0.79706,27.4205,70.7653
"397","1934","Namibia",23.6346,22.5314,21.7887,21.4579,18.4129,16.5696,13.8234,16.6141,19.2016,20.0802,22.17,23.6503,169.462,124.085,120.829,44.5893,1.6952,0.07866,0.10063,0.19058,0.30148,7.57482,30.8169,63.5129
"409","1935","Namibia",24.391,23.34,21.6539,19.8392,16.2329,13.2963,14.246,14.2848,17.8598,23.2276,22.1132,23.8688,57.1531,41.4693,38.0637,15.5147,6.91953,0.23217,0.24782,0.09202,3.12894,2.44842,18.9691,39.2168
"421","1936","Namibia",23.1932,22.9403,21.8453,21.3344,15.6069,15.8971,14.7007,17.2029,18.4731,20.8568,22.3221,23.6015,64.209,30.1892,85.7083,11.1379,14.9959,0.11577,0.19239,0.11352,0.8222,2.44861,9.3201,34.9524
"433","1937","Namibia",24.1189,23.3426,22.3466,20.9039,17.5505,13.7832,12.659,16.8801,17.7543,21.8022,23.6061,23.5341,74.7024,109.012,36.7721,28.0033,0.65303,0.42407,0.87105,0.01129,0.34612,8.74496,21.9716,49.1392
