"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Kenya",25.1685,24.7775,25.9808,24.9167,23.9371,22.6962,21.9752,22.5864,23.5112,24.7065,24.643,25.2039,15.4526,70.7127,61.4236,164.405,68.4718,19.5967,23.779,9.97236,22.5159,27.3135,95.5871,68.2771
"13","1902","Kenya",24.6807,25.2697,25.7819,24.6132,24.2215,23.9962,23.7272,24.2342,24.5533,24.8773,24.5028,24.0245,5.52473,50.254,33.9062,112.32,86.666,37.1181,58.0328,28.2972,21.6382,74.7038,147.965,69.7052
"25","1903","Kenya",25.4736,25.7303,25.9552,25.2345,24.2102,23.7523,23.2665,23.5218,23.632,24.3789,24.3758,24.1401,54.0228,47.7264,44.5925,127.974,84.2513,63.5336,30.755,19.9303,37.3855,39.035,33.3874,58.6671
"37","1904","Kenya",23.7092,24.556,25.1516,24.1243,23.9924,23.4173,23.106,23.3337,23.1251,23.0145,23.3845,23.4189,18.8326,16.179,55.9583,101.123,112.165,39.3593,32.6727,36.0399,20.3187,54.5315,118.012,58.2679
"49","1905","Kenya",24.8395,24.2558,24.9886,24.3429,23.4358,23.064,22.3885,22.6113,23.5631,24.7143,24.0243,23.8562,30.3433,7.61584,180.473,110.18,83.2168,27.7486,23.3756,32.4316,27.7376,65.9362,111.866,46.7703
"61","1906","Kenya",23.3737,25.5723,24.8884,24.0691,23.6203,22.5349,21.5637,22.1781,23.0917,24.3827,23.6224,23.6287,9.11599,63.8647,134.4,191.231,93.4018,63.6766,23.8117,41.3805,24.0409,61.4596,74.5103,39.6727
"73","1907","Kenya",23.806,24.2789,25.2579,24.7427,23.5402,22.405,21.9531,21.7086,23.2462,24.8063,24.213,23.6588,55.8154,18.6944,7.15836,165.518,134.432,35.5142,26.1916,19.6286,11.0977,62.1521,75.6615,30.6741
"85","1908","Kenya",24.828,25.5112,25.9393,25.804,24.4136,23.6506,23.0529,23.8571,23.9964,25.9992,24.0165,23.168,12.8618,22.3649,49.9505,137.746,101.949,39.4678,36.9712,38.6092,19.6404,65.1604,79.6777,48.7584
"97","1909","Kenya",22.6694,22.9273,24.6652,24.0394,23.442,21.6256,21.962,21.5803,22.8203,23.8655,22.6752,22.6898,17.4402,4.84566,28.1533,152.375,50.2148,26.0479,39.6653,38.5057,35.3694,46.9068,108.17,128.351
"109","1910","Kenya",23.1475,23.6183,24.5489,24.334,22.2456,23.2074,21.3315,21.8507,21.8077,22.8121,22.9728,24.837,31.4199,3.00975,37.6981,116.03,88.1062,28.857,43.6849,23.1258,12.8305,31.0841,86.9037,51.2807
