"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Indonesia",16.2337,18.1292,23.3869,27.4298,29.7121,30.1526,27.5394,26.1974,26.2971,25.2159,20.6131,17.4976,29.8409,21.277,20.6549,22.9126,51.8245,102.149,226.014,246.507,115.325,54.2339,37.146,8.54215
"13","1902","Indonesia",17.8293,19.4771,24.7868,27.8089,30.1774,29.7199,27.3214,27.0636,25.8856,24.3879,20.0777,16.9854,6.29279,2.70003,14.0353,34.2501,44.7959,120.465,247.437,198.724,203.163,61.0189,24.6103,18.7475
"25","1903","Indonesia",16.9786,18.371,22.5593,27.0279,29.3773,30.0555,27.7137,26.2918,26.154,24.1921,19.5321,16.5969,10.0131,6.28947,11.6004,12.5477,54.8008,146.599,270.755,258.055,183.061,91.599,37.0423,14.8986
"37","1904","Indonesia",16.7579,18.9178,22.97,28.0257,29.4679,28.8645,26.5548,26.2601,25.9469,24.4625,19.9134,17.301,8.77996,7.5047,24.1833,23.7697,66.6932,137.088,242.634,215.794,122.151,61.7694,9.39467,9.35195
"49","1905","Indonesia",15.8504,16.7396,21.5774,25.5911,30.1248,30.4,27.3008,26.6781,26.1677,24.6475,21.0609,17.0717,16.8285,16.5099,24.7594,32.5891,48.0216,72.739,229.172,212.898,192.568,46.8795,8.86903,4.94187
"61","1906","Indonesia",16.3253,18.0866,22.1741,27.6874,30.9088,28.9002,27.1337,26.2707,25.7492,24.4294,21.0013,17.8986,10.965,35.1545,23.4116,11.0414,33.9573,190.652,261.244,246.538,153.134,49.5092,17.3529,18.5486
"73","1907","Indonesia",17.8529,18.2875,22.0295,25.9484,28.9049,29.0575,27.8307,25.7202,26.3342,24.9955,21.0952,16.7065,9.01215,32.3976,30.9315,56.5579,30.0017,167.473,203.306,275.263,90.4281,18.0843,20.7715,8.74405
"85","1908","Indonesia",16.5263,18.9878,22.9738,28.5411,29.9408,29.9034,26.5019,25.6961,25.8092,24.3032,19.8907,16.3813,15.4954,15.7113,8.05476,21.2801,42.1646,154.414,286.65,315.623,157.135,33.4372,4.22198,3.40514
"97","1909","Indonesia",17.0371,18.6029,23.9994,26.2404,29.5544,28.1889,26.1986,26.0016,25.5019,24.3573,21.0816,17.3718,15.8227,10.0296,3.44658,61.8097,48.7979,220.977,299.844,221.173,150.455,32.3047,8.15176,19.8351
"109","1910","Indonesia",16.7583,18.8453,23.327,27.2393,29.8999,28.4861,26.6557,26.0914,25.8838,23.7871,19.2549,16.5445,10.3645,9.00832,10.1973,23.5585,37.9396,208.023,270.935,271.557,183.192,91.4434,36.952,2.57647
"121","1911","Indonesia",17.7044,18.5064,22.1256,27.2443,30.4715,28.5522,27.8789,26.4247,25.9479,24.6989,20.0528,17.2018,19.7044,2.73148,29.116,22.2724,47.8995,194.866,155.681,215.99,171.658,63.4479,38.0105,10.0425
"133","1912","Indonesia",17.3132,19.8859,23.3032,27.3028,30.1544,30.4333,27.1703,26.0869,25.8121,24.4771,19.824,16.7608,10.7882,16.2946,14.1947,30.0454,41.2072,108.31,287.994,250.259,118.87,60.1282,51.5064,4.18224
"145","1913","Indonesia",16.7975,19.1502,22.1466,28.2699,29.0887,27.9573,26.7785,26.3271,26.3219,24.7413,20.1626,17.1954,3.41846,30.3802,21.4335,21.7792,66.0514,216.84,257.226,209.718,112.703,68.3098,12.8334,20.1677
"157","1914","Indonesia",17.6708,19.108,22.8605,26.7422,29.8228,28.9715,26.7204,26.101,26.0752,24.0054,20.9893,17.2642,2.66316,16.145,12.2265,42.8202,55.7861,173.151,310.173,227.061,194.13,36.7723,21.5355,13.9657
"169","1915","Indonesia",17.0541,18.3626,23.0287,27.2837,30.6152,29.9886,27.7074,26.6291,26.499,25.448,21.458,17.2353,16.6606,28.3109,39.34,32.1972,58.124,166.959,241.229,227.08,175.62,77.3427,39.4361,6.97563
"181","1916","Indonesia",17.2013,18.7348,24.7402,28.1678,30.0338,27.9269,27.0138,26.1745,26.0128,24.3326,19.9117,16.4127,1.35393,12.624,4.42384,37.5992,47.9611,190.061,258.569,293.74,196.631,127.446,41.7875,2.73002
"193","1917","Indonesia",16.897,18.8133,22.5652,25.9221,28.2648,27.944,26.6015,26.0819,25.3569,23.7437,19.4957,16.9658,4.44677,28.7557,15.099,32.8759,73.8263,200.727,251.429,272.251,263.549,118.914,28.9785,5.95347
"205","1918","Indonesia",15.8983,18.9826,23.1195,26.2817,29.7697,27.9813,28.0516,26.5634,26.3866,24.8581,21.0393,16.9847,7.68527,3.18488,15.8502,27.5171,60.6197,170.443,139.136,226.507,101.972,16.7396,38.656,11.2912
"217","1919","Indonesia",17.4484,18.6974,23.7009,27.0721,29.5825,29.0763,26.7681,26.2231,25.8545,24.2036,20.7087,17.0081,35.6947,12.3311,10.1673,26.464,54.6472,160.768,254.883,290.903,166.502,63.8618,48.6992,13.2226
"229","1920","Indonesia",17.2716,18.6633,23.4228,27.1329,28.4332,29.1076,26.9392,26.4475,26.7927,25.4429,21.2091,17.602,14.0754,12.3467,24.0371,23.7759,48.6719,144.028,257.418,156.272,115.209,38.779,21.9262,0.99651
"241","1921","Indonesia",17.6696,18.8864,25.0546,28.6696,31.2906,29.2507,27.6034,26.099,25.6782,23.8738,19.9073,17.8982,25.2806,3.54644,8.06222,42.4754,24.6916,160.6,271.767,245.076,179.149,58.0476,17.5941,6.41269
"253","1922","Indonesia",16.8715,19.7524,24.2604,28.2404,30.2885,28.7829,26.9067,26.2932,25.7477,23.9758,20.3946,16.7109,18.9737,6.53923,6.738,16.1743,39.7488,185.568,277.591,200.285,223.637,47.4488,50.487,12.4871
