"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"289","1925","France",4.49643,5.41844,3.8966,9.08605,12.9226,16.941,17.9864,17.6927,13.3643,11.5743,4.5741,3.51963,38.2237,73.0364,46.5239,80.2155,94.393,22.7191,97.9694,88.052,65.5131,67.003,73.9035,89.5934
"301","1926","France",3.58189,7.93071,7.09341,10.397,11.4054,14.46,18.1131,18.522,17.4232,11.6774,8.1935,2.09356,76.7673,71.0274,51.4753,76.018,108.6,83.9509,49.4927,37.7694,38.8981,108.89,129.493,26.4101
"313","1927","France",3.9645,4.05972,7.54798,9.84333,13.6779,15.7979,18.0233,17.6199,15.1944,11.2361,6.44834,2.65561,66.4312,50.0546,113.578,51.3624,59.4753,80.625,91.2542,104.398,103.581,33.5616,81.3509,87.956
"325","1928","France",4.5973,5.95223,6.97679,9.27789,11.4519,16.0907,20.6173,19.2621,15.652,11.3377,7.86358,3.25907,70.6113,62.639,90.8627,98.721,70.4384,51.8406,20.3368,56.9027,47.8291,127.826,112.02,60.6539
"337","1929","France",-0.1651,-0.5791,6.30484,7.62063,13.1976,16.4023,19.1411,18.03,18.2229,11.536,7.07798,6.10002,28.3848,31.6684,6.28321,48.7058,67.2072,66.6938,59.8285,46.7475,36.6226,116.623,77.9868,106.103
"349","1930","France",5.48726,3.06499,6.92931,9.68559,12.0292,17.9059,17.2268,18.023,15.9197,11.8689,8.50297,4.08869,82.2318,54.072,78.8357,79.7576,96.6125,86.0494,103.113,61.5145,85.9368,114.123,116.824,81.4053
"361","1931","France",3.45453,2.89195,5.35012,8.62003,13.9491,17.7149,17.6101,16.9111,12.4615,10.371,7.87052,2.56607,75.606,64.6243,77.8756,62.6318,93.4258,38.5394,79.8784,122.393,62.2374,67.2279,99.8741,39.0991
"373","1932","France",4.19089,0.74367,5.22212,7.92511,12.0475,15.6307,17.2185,20.3541,17.3009,10.9972,7.15732,4.67967,51.6097,10.3398,74.087,87.3052,102.151,82.432,109.999,57.9208,96.7729,103.733,46.0666,64.7761
"385","1933","France",1.35415,3.83172,7.67534,9.93661,12.877,14.9829,19.3592,20.0371,16.7061,11.7678,5.19331,-0.7987,36.5757,50.528,58.6515,33.95,69.3535,89.6299,37.9534,30.7778,112.661,94.5021,74.7138,49.9738
"397","1934","France",2.86651,2.6844,6.04805,10.5041,13.9112,17.0645,19.8772,17.4132,17.0428,11.7448,5.34531,7.28389,50.28,17.0558,82.4284,89.7236,33.3239,59.136,34.0702,83.7025,47.1373,61.8568,113.184,120.122
"409","1935","France",2.03243,4.92113,5.97415,8.95315,11.3612,17.4207,19.547,18.0064,16.1143,10.65,7.05492,3.48592,43.3892,84.4627,53.5723,82.9123,73.371,61.2713,31.2136,87.4145,68.6264,97.995,123.988,134.634
"421","1936","France",6.35691,4.30824,7.77347,8.18632,13.2215,16.1021,17.2284,18.0471,15.9434,8.67564,6.42607,3.96238,126.163,79.3573,66.7407,90.809,59.2957,83.9786,105.418,35.9095,86.3094,44.2411,76.3859,38.5508
"433","1937","France",4.95735,6.67672,5.37187,9.68438,14.2132,16.7464,18.7256,19.0196,15.4125,11.6116,6.01571,2.74796,83.5588,107.378,119.079,80.2778,79.7445,73.719,25.7017,44.0322,82.9253,85.1782,57.3968,80.8171
"445","1938","France",3.96166,3.48815,8.62334,7.51943,11.5117,16.9964,17.5859,18.1424,15.7306,11.2186,9.18359,2.12894,79.3888,25.6413,12.7596,12.4664,83.2545,49.8359,71.6084,78.2588,85.4697,68.1052,81.9262,82.7845
"457","1939","France",5.17423,4.44042,5.06336,10.1617,11.2267,16.4432,17.2661,18.0538,15.1951,10.2509,8.65508,2.37715,102.907,46.1922,61.7204,74.4679,69.2802,81.4449,65.7882,89.3132,65.4197,140.283,93.5717,70.1138
"469","1940","France",-1.5328,4.00966,6.90854,9.61112,13.3172,16.6817,17.0303,17.2018,15.4944,10.4938,7.40262,0.49581,58.1552,63.6455,57.7055,84.0595,67.6376,75.3762,89.7088,29.5059,97.0168,92.1075,97.452,78.7793
"481","1941","France",0.34998,4.16143,7.07564,7.99755,10.1148,16.7048,19.264,16.7978,15.2557,10.6382,6.14648,3.30894,104.533,88.3988,63.4778,64.3668,85.1064,87.6757,62.4496,102.804,53.8032,49.7335,83.7934,38.3461
"493","1942","France",-0.9471,-0.5676,7.39531,10.4209,13.1126,16.7053,18.0664,18.7457,16.8882,13.2316,5.3972,4.38092,83.2349,37.8722,62.0706,60.2834,73.5353,57.2422,53.9325,55.714,92.0972,85.8223,37.2429,69.684
"505","1943","France",4.5777,5.1629,7.87022,11.4099,14.2245,16.3244,19.1443,19.353,15.9257,12.5973,5.71022,3.27165,83.9641,35.9274,30.2072,35.4601,73.4442,46.5417,60.2364,62.1783,94.4735,71.4855,86.8538,64.3767
"517","1944","France",4.4699,1.82841,4.71397,11.0893,13.1992,15.8025,18.4187,20.9215,15.0565,10.1485,6.88136,3.10275,35.0631,57.3107,14.8335,50.7373,32.2663,59.1572,70.289,71.9503,89.0981,110.524,110.769,86.0232
"529","1945","France",-1.4558,6.52761,8.09999,11.8172,14.9659,17.7959,20.1305,18.1528,16.6498,12.252,6.08008,4.4983,69.4218,39.6146,30.0222,30.0516,77.4544,32.7219,34.5976,81.863,57.2539,50.0303,34.661,101.923
"541","1946","France",1.3429,6.16659,6.63696,11.2175,13.1462,15.721,19.0879,17.8685,16.3313,10.9886,6.80378,1.57223,46.5505,64.8261,47.6934,59.0875,106.259,74.8517,32.8071,80.2335,50.1321,50.9828,61.3785,69.7103
"553","1947","France",0.61968,1.11316,7.08789,11.3049,14.8733,18.1876,20.4532,21.1644,17.8261,11.9209,8.31532,3.64199,48.2059,76.6085,102.128,33.543,57.038,52.8612,48.523,55.86,51.9006,54.3176,73.4034,88.3364
"565","1948","France",5.78311,4.25492,9.35983,10.347,13.9525,15.9181,16.982,17.9728,15.3658,11.4017,6.85023,4.3165,123.593,31.7887,28.1906,80.2106,85.2433,70.8386,55.6142,89.2642,66.4406,48.3262,38.8439,53.6427
"577","1949","France",3.96348,4.32991,5.37169,11.8822,11.9545,16.5423,20.3286,19.6337,19.0469,13.3311,6.17987,4.93218,35.8718,15.594,45.144,38.8846,93.2593,35.3776,18.2613,43.9241,69.8167,61.6876,112.328,64.3679
"589","1950","France",2.46377,6.28442,7.45004,8.40796,14.1103,18.6191,20.318,18.8897,15.1361,11.1185,7.38157,1.05209,33.8604,91.7067,32.3088,70.2726,68.1093,46.4319,46.8158,85.1961,70.5739,39.5662,122.309,90.9517
"601","1951","France",4.44043,4.61018,5.68586,8.97232,11.5678,15.9865,18.4732,17.4106,16.4471,10.2892,8.56253,4.24512,71.1407,96.166,90.5294,57.0734,116.858,98.7193,50.0362,101.373,69.0705,62.6311,125.168,55.9086
"613","1952","France",2.29518,2.37322,8.02722,11.0485,14.4505,17.9756,20.3787,19.0654,13.2098,11.0133,5.47153,3.41569,83.463,48.715,77.4075,43.9744,54.3742,35.8774,32.9987,81.1756,102.069,113.737,112.265,107.542
"625","1953","France",0.33715,2.42794,7.24156,10.0706,14.8404,15.3028,18.0062,18.8684,16.2318,12.1315,6.18344,6.69521,18.2457,35.4874,6.47304,57.8147,38.7869,113.568,69.7746,37.549,90.2548,72.1553,22.7574,35.5833
"637","1954","France",1.31611,1.74272,7.41857,8.38365,12.4052,16.1051,16.5489,16.9219,15.625,12.2154,7.9103,5.90996,45.9521,62.3491,74.6984,42.7904,65.8643,57.9451,53.1109,109.609,79.1602,53.7354,66.6116,80.5585
"649","1955","France",4.41817,3.54253,4.43205,10.2046,12.5086,16.3936,19.1051,19.1059,15.6707,10.1937,6.17154,6.14657,138.325,97.7268,32.8413,7.06524,60.7097,101.071,65.0951,43.5696,50.386,59.6676,44.6897,94.1977
"661","1956","France",4.12133,-1.1354,6.59378,7.96346,13.795,14.2942,17.6842,16.3915,16.4924,10.4308,4.89545,4.84522,80.0701,23.1475,56.6697,69.1434,63.1748,58.3176,82.4611,97.4649,93.8229,61.3855,44.2951,45.216
"673","1957","France",2.23375,6.79652,9.54157,9.45349,11.2989,16.7021,18.5359,17.4545,15.1137,11.4249,6.30985,3.20956,34.7416,114.303,35.9831,55.5133,59.6161,108.147,66.7874,61.6825,69.2044,33.8365,64.5001,69.8904
"685","1958","France",3.45422,5.92226,4.74139,7.70076,13.9414,15.552,17.9302,18.4099,17.3856,11.1948,6.29798,5.06795,87.119,77.1468,66.708,52.4569,85.7793,88.2746,73.8758,86.2681,78.3992,66.4952,68.0306,115.01
"697","1959","France",3.14509,4.0035,8.46803,10.0941,13.7875,17.0557,20.4871,18.91,17.1892,11.9216,6.46558,5.71349,75.8125,20.1695,82.3395,88.7349,49.6608,64.733,30.9002,63.4209,49.8981,92.604,74.5361,127.602
