"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,NA,NA,NA,NA
1974,21.9,25.5,19.6,1.02
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,23.7,27,21.3,195.83
1980,23.4,26.8,21.1,102.87
1981,23.2,26.5,20.9,201.16
1982,NA,NA,NA,NA
1983,23.4,27.1,20.6,154.94
1984,22.9,26.5,20.2,2.28
1985,23,26.5,20.6,58.92
1986,22.7,26,20.3,3.05
1987,23.8,27.6,21,98.79
1988,23.3,26.8,20.9,41.66
1989,23.4,27.1,21.1,35.56
1990,23.9,27.6,21.5,152.66
1991,23.2,26.7,20.9,206.74
1992,23.3,26.9,20.9,159.24
1993,23.2,26.6,20.8,242.82
1994,23.2,26.8,20.7,239.28
1995,24.2,27.9,21.7,193.03
1996,24.3,27.8,21.8,116.07
1997,24.2,27.8,21.9,128.53
1998,24.5,28,22.1,158.99
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,24.3,27.5,21.7,NA
2002,NA,NA,NA,NA
2003,23.7,26.9,21.5,78.74
2004,23.6,27,21.4,76.95
2005,NA,NA,NA,NA
2006,23.9,27.5,21.8,NA
2007,23.4,26.5,21.3,NA
2008,23.8,26.7,21.7,NA
2009,23.7,27,21.7,NA
2010,24.9,28.3,22.5,NA
2011,24.5,28,21.95,138.19
2012,24.3,28.15,21.5,551.7
2013,24.1,28.1,21.4,98.28
2014,23.7,27.4,21.1,NA
2015,23.9,27.6,21.5,73.4
2016,24.4,28.1,21.7,103.89
2017,24.7,28.6,21.6,NA
2018,NA,NA,NA,NA
2019,NA,NA,NA,NA
