"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,19.8,26.5,12.3,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,22.1333333333333,29.7666666666667,13.8333333333333,NA
1990,22.675,30.2,14.075,345.57
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,21.7,29.5,13.9,519.43
1996,21.85,29.7,12.4,NA
1997,22.7714285714286,30.0428571428571,13.84,503.601428571429
1998,NA,NA,NA,NA
1999,21.6,28.9,14.2,NA
2000,22.0625,28.775,13.9,NA
2001,23.0555555555556,30.2222222222222,14.3142857142857,NA
2002,NA,NA,NA,NA
2003,23.7,31.2857142857143,14.6,255.103333333333
2004,22.8444444444444,30.1666666666667,14.3142857142857,194.06
2005,NA,NA,NA,NA
2006,22.3416666666667,29.175,14.0333333333333,NA
2007,22.6,30.54,14.44,NA
2008,22.3666666666667,29.5,14.1333333333333,NA
2009,22.2428571428571,28.9285714285714,14.1571428571429,NA
2010,23.38,29.9,15.52,NA
2011,22.375,29.575,14.25,NA
2012,22.875,30.125,14.275,NA
2013,23.12,29.72,15.18,NA
2014,22.52,28.98,14.9,NA
2015,23.9,30.75,15.9333333333333,NA
2016,23.7,30.075,15.8333333333333,NA
2017,22.375,28.7,14.7,NA
2018,NA,NA,NA,NA
2019,NA,NA,NA,NA
