"Year","Country","Month","ISO3","Temperature","Rain"
"1901","Colombia","Jan","COL","24.9579","82.8194"
"1901","Colombia","Feb","COL","24.8549","104.135"
"1901","Colombia","Mar","COL","25.3847","154.653"
"1901","Colombia","Apr","COL","25.18","170.41"
"1901","Colombia","May","COL","24.4851","265.7"
"1901","Colombia","Jun","COL","23.2114","203.882"
"1901","Colombia","Jul","COL","23.7684","375.747"
"1901","Colombia","Aug","COL","24.0143","452.366"
"1901","Colombia","Sep","COL","23.5525","212.769"
"1901","Colombia","Oct","COL","23.4411","331.278"
"1901","Colombia","Nov","COL","23.4678","282.74"
"1901","Colombia","Dec","COL","23.5835","128.451"
"1902","Colombia","Jan","COL","23.9854","201.628"
"1902","Colombia","Feb","COL","24.268","91.3662"
"1902","Colombia","Mar","COL","24.1046","238.329"
"1902","Colombia","Apr","COL","24.2732","219.033"
"1902","Colombia","May","COL","23.8495","225.177"
"1902","Colombia","Jun","COL","23.1467","198.888"
"1902","Colombia","Jul","COL","23.1575","163.626"
"1902","Colombia","Aug","COL","24.0023","195.229"
"1902","Colombia","Sep","COL","23.3583","200.319"
"1902","Colombia","Oct","COL","23.5546","203.833"
"1902","Colombia","Nov","COL","24.1642","196.051"
"1902","Colombia","Dec","COL","23.9752","106.983"
"1903","Colombia","Jan","COL","23.9964","106.366"
"1903","Colombia","Feb","COL","24.839","94.7946"
"1903","Colombia","Mar","COL","24.4178","120.143"
"1903","Colombia","Apr","COL","24.151","215.859"
"1903","Colombia","May","COL","23.8455","264.644"
"1903","Colombia","Jun","COL","23.2713","403.128"
"1903","Colombia","Jul","COL","23.749","160.261"
"1903","Colombia","Aug","COL","23.9776","420.693"
"1903","Colombia","Sep","COL","24.1496","196.421"
"1903","Colombia","Oct","COL","23.5094","186.659"
"1903","Colombia","Nov","COL","23.5281","235.991"
"1903","Colombia","Dec","COL","23.402","177.947"
"1904","Colombia","Jan","COL","23.6666","134.061"
"1904","Colombia","Feb","COL","24.8929","129.181"
"1904","Colombia","Mar","COL","23.9568","239.303"
"1904","Colombia","Apr","COL","24.6389","310.386"
"1904","Colombia","May","COL","23.3694","326.928"
"1904","Colombia","Jun","COL","23.7735","190.838"
"1904","Colombia","Jul","COL","23.7094","255.891"
"1904","Colombia","Aug","COL","23.9415","202.047"
"1904","Colombia","Sep","COL","24.14","187.109"
"1904","Colombia","Oct","COL","23.2984","268.766"
"1904","Colombia","Nov","COL","23.8502","129.57"
"1904","Colombia","Dec","COL","23.5305","95.3721"
"1905","Colombia","Jan","COL","23.6375","136.733"
"1905","Colombia","Feb","COL","23.8105","69.614"
"1905","Colombia","Mar","COL","23.8416","132.115"
"1905","Colombia","Apr","COL","24.2849","237.843"
"1905","Colombia","May","COL","23.2616","282.466"
"1905","Colombia","Jun","COL","23.0091","246.472"
"1905","Colombia","Jul","COL","23.7341","217.367"
"1905","Colombia","Aug","COL","24.0014","159.508"
"1905","Colombia","Sep","COL","24.1682","316.617"
"1905","Colombia","Oct","COL","23.6909","260.319"
"1905","Colombia","Nov","COL","23.8565","271.986"
"1905","Colombia","Dec","COL","23.2695","214.818"
"1906","Colombia","Jan","COL","23.6667","82.5656"
"1906","Colombia","Feb","COL","23.8229","117.922"
"1906","Colombia","Mar","COL","24.163","144.342"
"1906","Colombia","Apr","COL","24.0821","311.985"
"1906","Colombia","May","COL","23.5868","310.615"
"1906","Colombia","Jun","COL","23.1881","336.498"
"1906","Colombia","Jul","COL","23.6926","312.691"
"1906","Colombia","Aug","COL","23.9757","227.1"
"1906","Colombia","Sep","COL","23.416","129.219"
"1906","Colombia","Oct","COL","24.2364","245.454"
"1906","Colombia","Nov","COL","23.8556","181.978"
"1906","Colombia","Dec","COL","23.011","134.266"
"1907","Colombia","Jan","COL","24.5021","107.059"
"1907","Colombia","Feb","COL","24.8814","155.449"
"1907","Colombia","Mar","COL","25.0019","298.38"
"1907","Colombia","Apr","COL","24.6386","317.11"
"1907","Colombia","May","COL","23.1868","280.816"
"1907","Colombia","Jun","COL","22.8729","300.057"
"1907","Colombia","Jul","COL","23.6935","386.59"
"1907","Colombia","Aug","COL","23.9495","225.888"
"1907","Colombia","Sep","COL","24.1302","255.896"
"1907","Colombia","Oct","COL","23.4352","235.226"
"1907","Colombia","Nov","COL","23.5289","180.607"
"1907","Colombia","Dec","COL","23.5928","137.774"
"1908","Colombia","Jan","COL","23.9853","163.065"
"1908","Colombia","Feb","COL","23.8781","106.351"
"1908","Colombia","Mar","COL","23.8955","210.252"
"1908","Colombia","Apr","COL","23.6266","214.461"
"1908","Colombia","May","COL","23.4217","208.842"
"1908","Colombia","Jun","COL","23.0624","209.748"
"1908","Colombia","Jul","COL","23.6989","292.538"
"1908","Colombia","Aug","COL","23.9602","290.726"
"1908","Colombia","Sep","COL","24.1491","274.41"
"1908","Colombia","Oct","COL","23.3061","395.291"
"1908","Colombia","Nov","COL","23.5238","211.45"
"1908","Colombia","Dec","COL","23.4749","197.512"
"1909","Colombia","Jan","COL","23.9353","114.222"
"1909","Colombia","Feb","COL","24.8871","183.275"
"1909","Colombia","Mar","COL","24.7345","96.2731"
"1909","Colombia","Apr","COL","24.6538","243.164"
"1909","Colombia","May","COL","23.5167","367.947"
"1909","Colombia","Jun","COL","22.8656","321.842"
"1909","Colombia","Jul","COL","23.6803","462.265"
"1909","Colombia","Aug","COL","23.9393","294.068"
"1909","Colombia","Sep","COL","23.4786","197.133"
"1909","Colombia","Oct","COL","23.3691","233.968"
"1909","Colombia","Nov","COL","23.6542","176.265"
"1909","Colombia","Dec","COL","23.1361","120.879"
"1910","Colombia","Jan","COL","23.3901","199.694"
"1910","Colombia","Feb","COL","24.8968","111.705"
"1910","Colombia","Mar","COL","23.604","296.638"
"1910","Colombia","Apr","COL","23.7834","202.196"
"1910","Colombia","May","COL","24.1996","492.261"
"1910","Colombia","Jun","COL","23.3293","347.82"
"1910","Colombia","Jul","COL","23.475","264.674"
"1910","Colombia","Aug","COL","23.5925","208.841"
"1910","Colombia","Sep","COL","24.1522","261.762"
"1910","Colombia","Oct","COL","24.2033","344.342"
"1910","Colombia","Nov","COL","23.8727","164.423"
"1910","Colombia","Dec","COL","23.5532","193.168"
"1911","Colombia","Jan","COL","24.5271","110.801"
"1911","Colombia","Feb","COL","23.985","163.665"
"1911","Colombia","Mar","COL","25.0728","170.439"
"1911","Colombia","Apr","COL","23.906","306.561"
"1911","Colombia","May","COL","23.1404","294.916"
"1911","Colombia","Jun","COL","23.8053","307.958"
"1911","Colombia","Jul","COL","23.6598","281.438"
"1911","Colombia","Aug","COL","23.9694","165.612"
"1911","Colombia","Sep","COL","24.1864","122.277"
"1911","Colombia","Oct","COL","23.6714","213.875"
"1911","Colombia","Nov","COL","23.7795","195.207"
"1911","Colombia","Dec","COL","23.5959","126.334"
"1912","Colombia","Jan","COL","23.9646","115.024"
"1912","Colombia","Feb","COL","24.2797","102.041"
"1912","Colombia","Mar","COL","24.0268","133.153"
"1912","Colombia","Apr","COL","23.6754","216.064"
"1912","Colombia","May","COL","23.9765","232.576"
"1912","Colombia","Jun","COL","23.8654","220.779"
"1912","Colombia","Jul","COL","23.713","323.613"
"1912","Colombia","Aug","COL","24.0027","464.809"
"1912","Colombia","Sep","COL","24.116","223.596"
"1912","Colombia","Oct","COL","23.3772","269.761"
"1912","Colombia","Nov","COL","23.4804","263.695"
"1912","Colombia","Dec","COL","23.4272","185.334"
"1913","Colombia","Jan","COL","23.6663","95.5162"
"1913","Colombia","Feb","COL","25.0214","94.4514"
"1913","Colombia","Mar","COL","25.0753","161.918"
"1913","Colombia","Apr","COL","24.6904","349.183"
"1913","Colombia","May","COL","24.2452","314.579"
"1913","Colombia","Jun","COL","23.8018","257.357"
"1913","Colombia","Jul","COL","23.6749","199.74"
"1913","Colombia","Aug","COL","23.8857","178.63"
"1913","Colombia","Sep","COL","24.1483","483.484"
"1913","Colombia","Oct","COL","24.2051","281.682"
"1913","Colombia","Nov","COL","23.5309","247.537"
"1913","Colombia","Dec","COL","23.2127","162.081"
"1914","Colombia","Jan","COL","23.7537","99.2724"
"1914","Colombia","Feb","COL","24.0308","90.6102"
"1914","Colombia","Mar","COL","24.3039","102.509"
"1914","Colombia","Apr","COL","23.9956","302.69"
"1914","Colombia","May","COL","23.2311","181.003"
"1914","Colombia","Jun","COL","23.7938","201.794"
"1914","Colombia","Jul","COL","23.7537","198.279"
"1914","Colombia","Aug","COL","23.9197","221.261"
"1914","Colombia","Sep","COL","24.1836","140.577"
"1914","Colombia","Oct","COL","23.3568","276.629"
"1914","Colombia","Nov","COL","23.833","280.016"
"1914","Colombia","Dec","COL","24.3003","180.867"
"1915","Colombia","Jan","COL","24.2765","129.175"
"1915","Colombia","Feb","COL","24.5335","162.711"
"1915","Colombia","Mar","COL","24.9596","102.694"
"1915","Colombia","Apr","COL","24.2222","258.021"
"1915","Colombia","May","COL","25.1977","328.323"
