"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1949,NA,NA,NA,NA
1950,NA,NA,NA,NA
1951,NA,NA,NA,NA
1952,NA,NA,NA,NA
1953,NA,NA,NA,NA
1954,NA,NA,NA,NA
1955,NA,NA,NA,NA
1956,NA,NA,NA,NA
1957,NA,NA,NA,NA
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,10.6,14.8,6.8,NA
1961,10.3,15,5.7,2715.97
1962,10,14.6,5.7,NA
1963,9.2,14.2,4.3,2093.68
1969,8.4,13.3,3.7,506.51
1970,9.9,14.4,5.5,1159.31
1971,NA,NA,NA,NA
1973,9.3,14.4,4.6,647.21
1974,9.9,14.6,5.4,418.3
1975,11,16,6.2,521.68
1976,8.5,12.9,4.1,534.63
1977,9.5,14.5,5,500.66
1978,8.9,13.5,4.4,694.98
1979,9.9,14.1,6,627.94
1980,8.3,12.1,4.9,729.24
1981,9.8,13.9,6.1,558.27
1982,9.9,14,6.1,471.68
1983,10.5,15,6.3,500.64
1984,9.2,12.9,5.7,520.95
1985,8.1,12.2,4.2,673.34
1986,9.7,14,5.5,275.39
1987,8.1,12.1,4.3,486.64
1988,9.1,13,5.5,528.55
1989,10.9,15.3,7.1,417.28
1990,11.4,15.9,7.1,335.57
1991,9.5,13.4,6.1,593.91
1992,10.1,14.5,6.1,389.13
1993,9.5,13.7,5.4,686.34
1994,11.4,15.9,7.1,598.41
1995,10,14.3,6.1,724.47
1996,8.9,12.7,5.3,659.94
1997,9.4,13.5,5.6,593.14
1998,10.4,14.7,6.4,631.7
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,10.3,14.9,6.2,NA
2002,NA,NA,NA,NA
2003,9.9,14.1,6.1,473.21
2004,10.4,14.6,6.6,654.85
2005,NA,NA,NA,NA
2006,10.3,14.5,6.5,NA
2007,12.2,16.6,8.1,NA
2008,11.4,15.7,7.4,573.3
2009,11.5,16,7.2,NA
2010,10.6,14.9,6.7,735.84
2011,10.5,15,6.3,420.62
2012,11.3,16,6.9,575.04
2013,11.1,15.4,7.2,NA
2014,11,15.5,6.9,605.77
2015,12.1,16.7,7.7,415.3
2016,11.3,15.8,7.1,NA
2017,11.3,15.9,7.1,NA
2018,11.5,16,7.3,NA
2019,NA,NA,NA,NA
