"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,23.05,29.4,17.75,1244.605
1988,25.8,31.7,20.1,793.47
1989,22.8333333333333,28.5,18.3333333333333,2111.70666666667
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,22.95,28.95,17.95,1807.645
1996,18.7,25.5,13.6,1785.87
1997,26.25,30.45,21.35,2370.615
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,24.2,29.625,19.2,1623.9
2002,NA,NA,NA,NA
2003,23.3666666666667,28.85,18.7666666666667,1919.85833333333
2004,23.1833333333333,28.5166666666667,18.7833333333333,1967.86166666667
2005,NA,NA,NA,NA
2006,24.36,29.5,21.225,2187.2375
2007,23.6,28.875,20.9,2197.68
2008,23.4,28.575,19,1802.83
2009,24.36,29.38,21.325,1993.39666666667
2010,24.9666666666667,30.1166666666667,20.35,1810.306
2011,25.0666666666667,30.1666666666667,20.3333333333333,1714.976
2012,23.6666666666667,30.54,21.42,1800.944
2013,23.8571428571429,29.8833333333333,18.9714285714286,1503.142
2014,24.8,30.0666666666667,19.9333333333333,1693.98
2015,24.9333333333333,30.0333333333333,20.15,1550.16333333333
2016,24.3,29.5,19.82,1799.41
2017,24.62,29.82,20.16,2392.06333333333
2018,24.2,29.66,19.8,1842.09666666667
2019,NA,NA,NA,NA
