"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1943,NA,NA,NA,NA
1944,28.4,34.8,22.1,NA
1945,NA,NA,NA,NA
1957,NA,NA,NA,NA
1958,26.8666666666667,34.1666666666667,20.9166666666667,NA
1959,NA,NA,NA,NA
1960,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,23.3,30.4,18.55,0
1967,22.65,29,18.15,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,22.9,29.5,18.45,252.11
1983,24.1,31.15,18.95,218.57
1984,23.2,29.95,18.4,426.985
1985,23.45,30.2,18.55,291.855
1986,21.1,27,17.1,NA
1987,24.35,31.6,19.45,97.16
1988,23.55,30,18.75,222.765
1989,23.95,30.55,18.65,70.235
1990,21.9,27.8,17.3,211.84
1991,23.1,29.55,18.2,249.555
1992,23.35,30.35,18.65,370.59
1993,NA,NA,NA,NA
1994,22.95,29.6,18.5,679.33
1995,25.5,32.8,20.1,NA
1996,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,26.1,33.8,20.9,199.16
1999,NA,NA,NA,NA
2000,25.3,32.7,20.3,NA
2001,25.9,33.6,20.6,NA
2002,NA,NA,NA,NA
2003,25.3,32.5,20.1,29.22
2004,25.3,32.9,20.3,70.85
2005,NA,NA,NA,NA
2006,23.8,30.45,19.65,61.22
2007,23.5,30.5,19.2,79.89
2008,25.9,33.5,21,107.44
2009,23.35,30.25,19.3,79.245
2010,24.35,30.9,20.45,NA
2011,23.35,30.05,19.3,201.93
2012,23.6,30.2,19.55,661.7
2013,24.05,31.1,19.9,138.685
2014,23.3,30.55,19.1,151.645
2015,23.95,30.95,19.9,11.94
2016,21.8,28,18.5,NA
2017,22.1,28.4,18.6,0.51
2018,21.2,26.9,18.1,NA
2019,NA,NA,NA,NA
