"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,26.8,29.6,24.9,NA
1974,26.3,29.8,24.1,NA
1975,26.2,30.5,23.9,NA
1976,27,30.9,24.1,NA
1977,27,31.8,23.6,NA
1978,27,33.7,24.9,NA
1979,27.1,31.2,24.9,3117.38
1980,26.9,29.4,24.8,7641.91
1981,27.3,29.8,25.2,11413.51
1982,27.4,29.7,24.9,2373.59
1983,27.6,30.9,24.8,3440.11
1984,27,30.2,24.4,2442.11
1985,27,29.9,24.4,2378.92
1986,26.9,30.1,24.1,3006.61
1987,27.5,30.6,24.6,3578.25
1988,27.4,30.5,24.6,3011.67
1989,26.9,29.9,24.1,2230.09
1990,27.3,30.5,24.4,3628.89
1991,27.6,30.5,24.8,2742.22
1992,27.3,30.4,24.7,1845.28
1993,27.1,30.2,24.7,3725.11
1994,NA,NA,NA,NA
1995,27.6,30.7,24.8,3041.97
1996,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,NA,NA
2002,NA,NA,NA,NA
2003,27.2,30,24.9,3744.92
2004,26.9,30,24.6,2519.57
2005,NA,NA,NA,NA
2006,27.8,30.9,25.4,NA
2007,27.6,30.4,25.4,4611.12
2008,27.5,30.6,25.2,NA
2009,27.8,31.6,25.3,NA
2010,27.5,30.6,25.3,NA
2011,27.3,30.2,25.3,3019.44
2012,27.8,30.8,25.4,3963.89
2013,27.8,30.7,25.6,2329.15
2014,27.7,30.4,25.5,2768.32
2015,28.3,31.7,25.7,3090.33
2016,28.3,31.2,25.9,2458.18
2017,27.9,30.9,25.7,2551.17
2018,27.9,30.7,25.8,NA
2019,NA,NA,NA,NA
