"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,15.1,20.9,9.8,1062.49
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,15.5,21.9,10.5,834.7
1987,16.1,21.55,10.55,775.59
1988,NA,NA,NA,NA
1989,14.6,19.375,9.875,594.17
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1994,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,NA,NA
2002,NA,NA,NA,NA
2003,17.6,22.2,11.2,NA
2004,16.4,20.8,10.6,NA
2005,NA,NA,NA,NA
2006,18.85,23.45,12.35,NA
2007,19.1,24,12.2,NA
2008,18.8,23.8,12.1,NA
2009,19.05,23.75,12.4,NA
2010,19.25,23.9,12.8,NA
2011,18.6,23.8,11.9,NA
2012,18.6666666666667,24.0333333333333,12.3666666666667,NA
2013,18.1,23.25,11.9333333333333,1155.6325
2014,17.5714285714286,23.2571428571429,11.5142857142857,868.393333333333
2015,16.0444444444444,21.8666666666667,10.1,885.77
2016,16.2454545454545,21.9818181818182,10.3909090909091,1062.365
2017,16.1909090909091,22.0909090909091,9.97272727272727,844.26
2018,16.2666666666667,22.2666666666667,10.4222222222222,908.67125
2019,NA,NA,NA,NA
