"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,-10,-8.2,-12.2,NA
1990,NA,NA,NA,NA
1991,-8.2,-6.4,-10.2,NA
1992,-11.4,-9.3,-13.8,NA
1993,-12.2,-10.2,-14.6,NA
1994,-10,-7,-13.7,NA
1995,-9.6,-6.5,-13.1,0
1996,-9.3,-7.1,-11.9,0
1997,-10.3,-8.2,-12.9,0
1998,-10.7,-8.4,-13.4,0
1999,-11,-7.9,-14.6,NA
2000,-9.7,-6.7,-13.5,NA
2001,-10,-6.9,-13.7,NA
2002,NA,NA,NA,NA
2003,-9.8,-6.5,-13.6,34.07
2004,-9.8,-6.4,-13.7,NA
2005,NA,NA,NA,NA
2006,-10,-7,-13.8,NA
2007,-8.1,-4.9,-12,NA
2008,-10.9,-7.7,-14.9,NA
2009,-9.6,-6.2,-13.6,NA
2010,-10.3,-7.1,-14.3,NA
2011,-9.9,-6.8,-13.7,NA
2012,-10.2,-6.9,-14.1,NA
2013,-10.1,-6.8,-14.2,NA
2014,-10,-6.7,-14,NA
2015,-11.5,-9,-15.8,NA
2016,-11.2,-8,-15.5,NA
2017,-10.8,-7.5,-14.7,NA
2018,-9.1,-5.9,-12.9,NA
2019,NA,NA,NA,NA
