"","Year","X","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
"1",1901,1,"Uzbekistan",-4.4249,-0.6202,7.43769,14.7815,20.2268,23.4128,27.1976,24.3407,18.8716,7.76429,6.3016,1.92167,22.4704,3.22394,18.7588,28.4346,25.9172,12.5643,1.38867,0.32959,6.19534,32.7406,19.3197,11.7125,NA,NA,NA,NA
"2",1902,13,"Uzbekistan",0.52778,-1.203,5.42193,12.1761,20.7415,26.5615,26.809,25.8793,18.6923,10.7955,3.99705,1.09967,34.3928,10.4519,32.6432,29.7995,10.6445,2.96929,2.22207,3.61751,2.40011,16.1965,50.9599,24.4078,NA,NA,NA,NA
"3",1903,25,"Uzbekistan",-4.168,0.67811,-0.8676,11.653,18.8141,24.695,26.9787,25.3116,19.5747,12.5085,3.35202,-3.0755,32.3682,26.7702,28.49,11.6658,37.0615,3.90132,5.1009,1.50758,1.93307,2.90944,11.0784,8.96585,NA,NA,NA,NA
"4",1904,37,"Uzbekistan",-10.252,1.34599,5.30937,11.141,20.1908,24.168,26.918,25.0842,18.3433,9.41537,6.92396,1.71861,19.6498,5.85052,26.0688,26.1833,41.9757,4.15668,0.77837,0.55972,2.52971,12.7897,9.60606,19.4817,NA,NA,NA,NA
"5",1905,49,"Uzbekistan",-5.1015,-5.4153,-0.7327,12.2963,19.4356,24.6661,26.7111,24.6156,19.9609,14.8736,5.91759,-0.0387,24.3599,11.6844,18.8552,30.6943,28.8535,9.2413,2.23032,4.15558,0.25257,1.76593,17.8936,22.5729,NA,NA,NA,NA
"6",1906,61,"Uzbekistan",-5.1235,-4.2484,5.11289,11.1512,20.3121,26.1466,26.9271,25.8565,18.5324,12.2098,4.8296,1.59865,17.9139,16.2761,32.3367,43.6143,32.7664,12.1271,6.46867,2.06523,2.54546,1.30417,16.4063,27.8891,NA,NA,NA,NA
"7",1907,73,"Uzbekistan",-2.9828,-3.5459,4.32629,13.5648,18.5102,23.0698,27.914,24.9544,18.112,8.70215,2.0646,-0.6937,36.7638,17.5758,31.7193,42.3005,30.3796,9.284,1.89942,2.37996,6.07262,13.022,18.3089,8.92706,NA,NA,NA,NA
"8",1908,85,"Uzbekistan",-3.7282,-2.9343,2.14463,12.4947,18.7748,24.4608,27.5023,25.161,19.6218,8.7227,6.00555,-0.0336,37.2581,22.5342,32.6174,19.9638,28.6065,5.3933,0.27106,0.68753,1.85971,10.6366,10.6767,19.3338,NA,NA,NA,NA
"9",1909,97,"Uzbekistan",-6.3749,-0.1684,5.0222,15.2603,20.4326,24.2218,27.0843,25.3568,19.7921,10.6222,9.25293,1.72555,22.9011,15.1928,25.6913,40.9899,11.917,4.18529,3.20213,1.85008,0.18985,4.2139,2.25081,5.133,NA,NA,NA,NA
"10",1910,109,"Uzbekistan",-0.498,-0.5223,3.82153,13.0201,21.5799,24.3354,28.2852,25.4416,18.7873,10.655,4.30606,-4.793,20.3269,17.2698,49.1076,12.4478,14.3889,7.84609,1.92106,0.64022,2.25048,5.40704,1.32822,11.9416,NA,NA,NA,NA
"11",1911,121,"Uzbekistan",-5.0464,-1.4757,2.96946,13.2137,19.8353,25.7655,26.7931,24.4338,18.5449,8.88441,3.84539,-3.228,35.2565,22.9883,33.6003,28.397,33.222,2.98161,3.7111,2.11836,2.47556,14.2976,10.8505,16.3738,NA,NA,NA,NA
"12",1912,133,"Uzbekistan",-1.785,0.15181,4.10446,13.276,18.9967,25.3612,27.0835,23.7197,18.0749,12.2012,4.36068,-1.0667,11.6691,28.4337,22.6284,22.043,21.7563,7.74799,1.41674,2.9578,0.61005,1.98231,8.77239,23.4669,NA,NA,NA,NA
"13",1913,145,"Uzbekistan",-1.4579,-3.5169,3.44165,11.0043,20.6834,23.8392,28.7007,24.5602,19.601,11.2432,5.46416,3.19271,26.8025,31.1876,17.2328,30.3802,14.9892,1.6166,0.27093,0.10652,0.95885,21.2176,18.1947,17.8049,NA,NA,NA,NA
