"","Year","X","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
"1",1901,1,"Norway",-7.2519,-11.702,-6.7195,-0.3369,4.76803,10.031,14.4494,11.3319,8.19148,4.25072,-5.2908,-9.7652,80.9998,55.0161,58.4559,36.5333,45.303,63.5989,39.1038,117.19,47.003,123.415,112.301,69.81,NA,NA,NA,NA
"2",1902,13,"Norway",-8.2342,-10.035,-7.9673,-2.3114,2.23612,7.66357,8.88122,8.51124,4.79588,-0.9343,-4.0879,-7.31,142.318,58.2956,61.6915,19.82,41.4831,30.866,83.4026,110.644,89.0633,97.1482,59.7284,79.4024,NA,NA,NA,NA
"3",1903,25,"Norway",-9.1363,-4.8721,-2.4254,-1.9067,3.93487,8.21062,10.2242,9.4248,6.56561,-1.8864,-4.043,-5.687,72.7002,124.999,96.0228,51.3553,52.3657,56.5728,79.9217,124.82,69.0738,93.5773,104.974,61.7494,NA,NA,NA,NA
"4",1904,37,"Norway",-5.3644,-12.254,-6.5119,-0.2286,2.98852,8.41012,10.7752,9.73029,6.78472,1.9086,-6.3924,-8.8973,74.4052,34.1715,47.4513,52.0197,48.7283,56.5987,63.4358,77.7298,53.2117,89.9802,83.8728,101.593,NA,NA,NA,NA
"5",1905,49,"Norway",-8.9217,-7.3252,-4.6616,-2.6946,4.20801,10.4574,11.941,9.89301,6.02024,-2.3938,-4.5927,-3.9537,127.594,101.954,41.7391,51.1598,53.5028,54.5676,97.3178,82.1698,106.51,78.8234,70.6141,111.629,NA,NA,NA,NA
"6",1906,61,"Norway",-6.8205,-7.6544,-7.4723,-0.36,4.19208,9.44639,11.6539,9.41702,6.70176,1.70225,-2.169,-7.2189,89.8422,58.5106,105.623,56.5774,75.594,47.0192,77.3934,115.676,77.2926,84.7314,97.2749,79.531,NA,NA,NA,NA
"7",1907,73,"Norway",-9.2059,-6.9609,-3.4158,-0.3449,2.67573,9.23127,10.4386,8.17088,5.45222,3.75163,-1.7822,-8.1824,116.845,85.3865,73.8834,34.4085,52.2295,77.2755,85.693,101.27,111.275,94.6783,50.4305,65.3625,NA,NA,NA,NA
"8",1908,85,"Norway",-6.9989,-7.1004,-6.6114,-1.0587,3.24538,8.27044,11.7806,10.5191,6.1271,2.85369,-5.8593,-5.1753,114.176,97.8094,35.696,37.1323,49.4391,57.8969,86.6967,81.6094,74.3572,86.7455,95.612,79.597,NA,NA,NA,NA
"9",1909,97,"Norway",-5.3976,-9.0414,-8.501,-2.919,1.6799,8.25442,10.9823,9.57134,6.37005,2.76617,-6.7267,-7.4945,114.106,51.2942,39.7616,45.353,49.3351,48.7789,87.5777,149.1,83.9436,141.864,86.7247,102.661,NA,NA,NA,NA
"10",1910,109,"Norway",-8.6153,-4.2989,-3.7634,-0.7402,5.12246,9.18573,11.1976,10.3533,6.6107,0.82586,-5.3356,-6.2911,102.887,63.0194,60.0016,78.0355,50.8849,66.6132,61.658,65.54,90.3792,90.8851,69.582,71.4196,NA,NA,NA,NA
"11",1911,121,"Norway",-6.9254,-7.5171,-5.1826,-1.3846,5.90195,8.44319,11.3153,11.6033,7.18147,-0.9338,-4.5915,-3.4502,112.551,89.8762,54.7509,72.5222,24.4913,68.8569,69.9493,68.7498,115.402,97.8981,71.8033,65.3501,NA,NA,NA,NA
"12",1912,133,"Norway",-11.937,-10.97,-3.8685,-2.1355,3.69615,9.60484,12.8137,10.5162,5.24726,-0.1165,-4.1682,-5.4965,59.1726,47.674,56.1399,44.1989,57.8593,62.11,45.9729,118.498,94.77,76.5821,107.354,108.37,NA,NA,NA,NA
"13",1913,145,"Norway",-10.589,-6.4251,-4.6508,-0.1428,4.74079,8.72179,12.3723,10.2464,6.79124,0.65096,-1.0185,-7.9101,51.1241,80.109,89.1579,48.7083,50.7951,52.9021,74.9538,74.1695,52.7861,99.3322,110.809,128.768,NA,NA,NA,NA
"14",1914,157,"Norway",-8.8713,-5.3544,-5.8049,0.35396,3.34622,9.56541,14.3175,10.9155,6.86083,0.96921,-3.7984,-5.2959,122.293,79.11,61.0409,85.4556,60.7568,56.3371,51.8917,70.3007,124.217,51.833,78.9669,97.0094,NA,NA,NA,NA
"15",1915,169,"Norway",-10.235,-8.4925,-8.2999,-1.238,2.26141,6.9772,11.8337,10.1674,5.04115,-0.543,-6.4648,-13.949,68.169,47.697,60.2391,65.4484,53.7471,47.7963,122.58,89.6442,73.5672,22.812,98.3422,50.5289,NA,NA,NA,NA
"16",1916,181,"Norway",-6.9211,-7.6331,-8.1012,-0.9789,3.41189,8.56128,13.3209,9.61572,5.25763,-1.1332,-1.4895,-6.683,131.605,50.4499,43.5629,45.4203,50.1937,65.5873,83.5759,66.4083,99.5789,114.213,120.432,65.9037,NA,NA,NA,NA
"17",1917,193,"Norway",-13.026,-10.368,-9.293,-3.8364,2.52347,10.3774,10.7094,12.9275,6.39137,1.00136,-3.7323,-8.3695,37.3348,70.2354,46.6998,51.403,52.2884,79.4351,59.2218,104.156,146.014,97.22,114.119,105.232,NA,NA,NA,NA
"18",1918,205,"Norway",-12.423,-7.3438,-4.3793,-0.1278,4.79823,8.16638,12.6248,9.89647,5.39858,2.3601,-0.5951,-6.8951,108.085,68.2244,55.8159,21.1206,42.9093,90.8343,67.5299,86.9039,130.007,87.3318,85.0313,60.8503,NA,NA,NA,NA
"19",1919,217,"Norway",-7.0924,-10.972,-6.8352,-2.3559,6.37029,9.55409,12.9181,8.82433,6.44421,-0.3361,-7.6651,-10.091,52.4906,48.1003,55.6261,72.8186,19.3356,77.1927,48.9922,105.633,163.529,76.7312,48.0153,40.9852,NA,NA,NA,NA
