"","Year","X","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
"1",1901,1,"Brazil",25.4683,25.8043,25.4693,24.6973,24.4676,23.7347,24.3439,24.7378,25.5075,25.9618,25.3973,25.2347,240.391,226.274,244.896,166.048,116.498,70.3015,74.5512,57.8929,76.5972,110.708,145.182,216.397,NA,NA,NA,NA
"2",1902,13,"Brazil",25.4001,25.8936,25.4911,25.3788,25.1326,24.7454,24.3797,23.6272,25.5495,25.3896,26.1347,26.1153,206.126,211.3,249.547,164.292,115.409,69.7362,57.318,75.8321,75.9481,128.814,163.793,215.537,NA,NA,NA,NA
"3",1903,25,"Brazil",25.3852,25.8848,25.8242,24.9878,24.0358,24.2085,23.9851,24.0806,25.2095,25.161,25.1546,25.6395,223.894,213.082,216.95,159.057,120.844,70.7127,55.2953,53.3539,73.8025,129.274,149.065,206.74,NA,NA,NA,NA
"4",1904,37,"Brazil",24.887,25.208,25.086,24.8793,23.4627,23.0324,23.6819,23.7694,25.011,25.0449,25.3574,25.1986,235.232,208.846,210.442,162.449,118.025,71.697,61.0455,56.9177,75.0692,147.344,135.887,186.605,NA,NA,NA,NA
"5",1905,49,"Brazil",25.1,25.4632,24.887,24.5941,24.7704,24.0993,23.6716,24.3039,25.1741,26.4415,25.6957,25.6896,221.942,214.546,245.192,160.88,134.635,71.1695,62.4171,62.4121,81.4831,127.434,147.1,206.148,NA,NA,NA,NA
"6",1906,61,"Brazil",25.1633,25.3581,25.2973,24.8865,24.7517,22.9659,23.7724,24.6312,24.8339,25.6682,25.7969,25.6059,226.076,205.526,219.364,174.837,121.512,71.5074,52.2007,51.0689,67.1818,107.691,130.182,193.051,NA,NA,NA,NA
"7",1907,73,"Brazil",25.1219,25.3158,25.6161,24.897,23.7292,23.5626,22.8457,23.7251,25.3533,25.4477,25.6268,25.9032,200.984,199.051,214.251,180.503,120.52,71.4952,61.1454,62.2428,74.9981,107.954,158.3,203.002,NA,NA,NA,NA
"8",1908,85,"Brazil",25.604,25.8489,25.4615,25.1069,24.4218,23.8241,24.1359,23.3813,25.4029,24.8929,25.3033,25.9486,228.916,207.258,207.706,180.941,127.514,70.5804,59.9791,47.3733,66.9849,133.044,171.793,180.784,NA,NA,NA,NA
"9",1909,97,"Brazil",25.8689,25.8887,25.4461,25.1319,23.4227,23.4229,23.6302,24.3216,25.2606,25.2685,25.6112,25.2662,222.714,214.449,230.466,173.491,123.976,79.4028,59.3003,53.9349,72.9145,116.739,139.099,196.935,NA,NA,NA,NA
"10",1910,109,"Brazil",25.6292,25.6696,25.2147,25.1374,23.4242,23.8156,23.5479,24.4579,25.2422,25.2018,25.3266,25.353,209.399,208.924,234.015,175.928,117.047,77.0691,63.148,47.2741,70.5156,131.284,147.91,194.09,NA,NA,NA,NA
