"","Year","X","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
"1",1901,1,"Armenia",-9.0319,-4.4966,4.00091,9.40377,12.2172,17.6246,21.0118,20.6235,14.7882,6.55509,1.5806,-1.183,21.5681,19.1169,33.1647,44.6081,121.182,85.8012,20.4549,21.2045,52.0515,96.7426,43.4114,22.6556,NA,NA,NA,NA
"2",1902,13,"Armenia",-5.3981,-3.7787,0.46863,6.65706,12.1973,17.7119,19.6993,20.457,13.7272,7.79494,-0.7985,-5.4677,16.6165,24.5227,37.2335,50.8072,83.3514,55.7603,34.1756,52.4311,51.0248,40.4121,38.497,14.0543,NA,NA,NA,NA
"3",1903,25,"Armenia",-8.7443,-6.3903,-2.7503,8.35809,13.037,16.9942,20.5899,20.1184,13.7484,9.12666,1.74221,-4.1099,31.581,35.5468,26.1681,44.5778,70.3373,80.5012,67.8219,36.1012,20.7059,19.15,19.9895,24.7363,NA,NA,NA,NA
"4",1904,37,"Armenia",-11.718,-3.1414,0.53162,4.37945,10.6749,15.2436,19.9704,20.379,15.5204,9.28387,3.05222,-5.4984,18.7863,9.73614,51.154,56.2501,123.43,68.9661,46.0371,35.4266,58.349,54.2673,53.4982,44.798,NA,NA,NA,NA
"5",1905,49,"Armenia",-9.7614,-8.3046,-2.062,6.40768,11.0228,16.8009,20.2829,19.5338,16.1984,12.1719,4.55527,-4.8068,26.9249,11.5574,31.2319,52.9315,75.1988,79.3984,50.0617,63.6492,21.5283,39.1938,18.4191,39.7739,NA,NA,NA,NA
"6",1906,61,"Armenia",-9.8778,-5.3686,1.25231,7.0307,13.4228,16.8831,19.3837,18.7837,13.8891,9.1754,2.12252,-2.2137,20.967,16.0029,24.0277,22.0517,95.7324,58.9818,95.2356,40.4296,27.8501,26.8997,37.8809,47.05,NA,NA,NA,NA
"7",1907,73,"Armenia",-7.8887,-6.9227,-0.8503,5.66649,12.852,17.1447,21.0754,19.7336,13.7421,7.81649,-0.8488,-5.2594,23.9303,22.976,37.222,38.7062,45.7831,39.4123,72.3411,31.5986,57.3666,33.595,58.2908,16.6057,NA,NA,NA,NA
"8",1908,85,"Armenia",-8.8448,-6.4807,-2.0915,5.18743,11.1238,16.9098,19.489,20.4298,16.57,7.35409,0.29626,-6.6665,32.8557,12.5901,49.056,58.8511,82.7537,70.6507,28.8403,12.0228,27.1693,30.9082,63.8217,29.6347,NA,NA,NA,NA
"9",1909,97,"Armenia",-10.87,-6.0292,0.56014,5.41837,13.2934,14.7302,20.9189,18.9532,16.9878,10.1965,4.82169,-3.1312,18.793,23.2638,35.7879,47.5002,52.2189,98.3678,25.1629,74.9711,57.4826,62.3293,23.586,12.3877,NA,NA,NA,NA
"10",1910,109,"Armenia",-5.5824,-3.6187,-0.141,6.78023,11.9471,16.3733,21.0937,19.9701,14.5841,8.72888,3.13318,-7.3569,20.0587,24.4894,31.0037,59.917,102.54,51.8802,42.9578,30.0785,60.4799,14.1679,28.1631,6.8248,NA,NA,NA,NA
"11",1911,121,"Armenia",-12.375,-10.192,-3.0225,5.23557,11.5115,14.94,20.2907,19.5558,13.5809,6.4692,2.615,-4.66,16.8847,16.5219,35.3225,68.9989,100.628,73.4098,25.301,35.8513,40.1802,21.547,26.3104,18.4695,NA,NA,NA,NA
"12",1912,133,"Armenia",-5.9898,-3.0147,1.69188,5.59024,10.0758,17.2908,18.8143,19.1123,17.6688,8.86027,3.07778,-4.8564,13.4825,33.1951,30.8406,73.4429,106.477,66.7722,59.3271,26.6648,15.4874,86.1093,23.9793,18.7395,NA,NA,NA,NA
"13",1913,145,"Armenia",-9.0843,-9.1764,0.24035,5.61938,11.2946,15.0357,20.616,21.6735,16.5035,7.94759,2.90251,-3.0492,23.3747,28.2293,28.4788,45.1073,104.537,26.2427,36.9909,4.72275,34.3346,41.2532,31.0605,13.4565,NA,NA,NA,NA
"14",1914,157,"Armenia",-4.8807,-2.8572,3.77666,6.32558,11.391,15.5564,20.625,19.4774,14.3122,8.79663,-0.4693,-4.9717,30.2148,4.22757,34.7616,76.3119,76.258,114.667,55.31,29.8327,37.9482,52.593,49.1921,23.5628,NA,NA,NA,NA
"15",1915,169,"Armenia",-3.68,-4.006,1.83322,6.20007,10.8529,15.1648,19.511,19.3131,15.0751,8.82272,3.81393,-1.6446,18.3582,16.6866,66.2516,96.3462,93.3945,147.697,66.0877,44.4058,21.3203,41.0361,12.8711,11.0815,NA,NA,NA,NA
"16",1916,181,"Armenia",-5.9262,-4.9683,1.29665,7.63462,13.1091,16.2236,20.3811,20.0513,13.9031,8.6992,2.59951,-2.2628,11.4952,27.5511,22.964,57.5969,122.68,48.9485,48.7388,19.7159,60.692,9.45123,23.2684,21.6366,NA,NA,NA,NA
"17",1917,193,"Armenia",-5.1549,-5.671,1.49769,10.8079,10.7431,15.8256,21.1236,19.8807,16.1918,8.99363,4.41009,-4.1579,13.5158,26.5596,24.9993,50.0382,87.0447,42.648,9.31752,59.1392,23.4585,24.4521,26.6649,11.927,NA,NA,NA,NA
"18",1918,205,"Armenia",-7.0272,-5.2294,0.07307,5.89351,10.7479,15.7529,20.2491,20.1406,17.8526,12.3715,2.19117,-4.1936,13.747,21.8598,9.12535,63.8331,89.9704,107.74,34.1289,62.0307,13.4799,32.559,30.3938,27.4269,NA,NA,NA,NA
"19",1919,217,"Armenia",-5.2416,-4.3392,0.06918,8.52003,9.51724,14.2084,19.1869,18.843,16.4795,12.5724,3.59645,-3.8861,12.8543,34.2056,58.1394,81.0879,100.866,107.116,52.7548,19.1304,33.157,45.5895,39.5094,16.5246,NA,NA,NA,NA
"20",1920,229,"Armenia",-5.6586,-11.018,0.10298,7.36851,11.6426,16.1705,19.5843,20.7048,15.1527,6.52571,-1.5427,-8.4937,27.0884,26.7236,43.2112,61.9444,132.886,123.841,71.4332,59.5715,104.013,76.8703,53.8228,8.57328,NA,NA,NA,NA
"21",1921,241,"Armenia",-7.9626,-8.8747,-2.0511,6.47466,13.2787,16.7363,20.1965,19.6616,14.0589,7.06031,1.27708,-4.6743,15.3853,21.6406,40.4981,107.599,29.7959,81.8794,55.3321,37.3293,24.8308,18.4461,54.5789,29.0929,NA,NA,NA,NA
"22",1922,253,"Armenia",-6.3812,-4.6399,1.18031,7.86051,13.5149,16.3792,20.5333,19.9673,14.5496,10.1081,3.23379,-4.0778,40.7844,23.0202,16.5905,76.2619,46.5919,108.036,101.152,84.5222,53.8055,37.685,37.7955,13.6253,NA,NA,NA,NA
"23",1923,265,"Armenia",-6.143,-5.0681,0.08703,4.53345,13.4691,17.8871,21.0866,18.1034,15.6346,9.72152,3.6405,-2.0382,19.3991,19.3553,37.4507,77.7061,61.8169,83.4618,58.4289,78.3581,22.8225,30.2061,5.41376,18.2271,NA,NA,NA,NA
"24",1924,277,"Armenia",-4.0775,-5.1098,0.57885,5.87186,12.8165,18.4045,20.0392,20.7803,17.6697,8.74469,2.27507,-6.9771,11.5818,34.0938,46.8929,55.5042,44.6523,69.8269,25.2497,27.197,30.2382,45.3147,27.7925,12.2738,NA,NA,NA,NA
"25",1925,289,"Armenia",-11.208,-6.2455,3.57574,6.13679,13.4513,16.1507,19.9802,21.54,16.7433,8.44009,3.17104,-1.6002,16.2739,0.6821,28.6512,56.6696,56.4987,64.7426,30.3842,19.6472,28.7263,40.7924,13.8724,40.2162,NA,NA,NA,NA
"26",1926,301,"Armenia",-6.455,-4.974,0.11985,6.41549,12.8214,16.04,19.1087,20.4429,13.7434,8.81079,2.72576,-2.6529,14.323,21.752,39.1927,63.8491,104.123,81.4873,88.1706,17.4769,32.1775,13.1867,10.2141,16.0086,NA,NA,NA,NA
"27",1927,313,"Armenia",-8.5843,-9.1241,-0.3047,6.76354,12.3906,18.0506,20.4861,20.9621,16.677,12.4536,2.65665,-7.1324,16.1972,32.2711,20.7936,74.5138,90.7426,63.4893,52.2785,28.6995,45.2068,18.8876,51.2,33.2541,NA,NA,NA,NA
"28",1928,325,"Armenia",-10.631,-9.3787,-5.2831,8.1214,12.1588,15.7439,19.5486,17.6573,15.8926,7.43368,3.8275,-3.7173,7.07691,59.0348,37.0113,42.8962,77.4472,85.7378,43.8782,34.7151,42.5811,34.125,38.7298,30.0554,NA,NA,NA,NA
"29",1929,337,"Armenia",-9.6436,-9.8655,-5.1632,6.08056,14.1356,15.5488,19.401,21.7141,15.223,9.9057,3.64645,-4.2967,25.7263,36.689,39.8788,58.7061,103.227,61.9972,31.4193,27.0928,54.2957,26.0318,9.56221,18.6442,NA,NA,NA,NA
"30",1930,349,"Armenia",-5.8754,-5.5698,1.49029,7.30048,12.5174,14.9396,20.9647,21.8518,15.4853,8.78646,4.14082,-3.3998,7.28024,42.397,23.2822,70.6534,56.5459,93.2522,36.1449,26.9455,17.4121,65.1013,33.5028,29.6673,NA,NA,NA,NA
"31",1931,361,"Armenia",-8.72,-7.397,0.93049,5.59064,11.1435,16.2949,20.8963,19.9665,17.103,8.94635,0.36969,-8.4429,30.9067,15.1785,37.4695,70.1185,123.021,64.3567,100.548,65.9334,21.89,19.5821,50.4467,42.3041,NA,NA,NA,NA
"32",1932,373,"Armenia",-10.144,-7.6367,-0.4095,7.87605,12.0318,17.7919,18.6251,20.3363,14.7532,11.6055,0.52376,-7.6571,25.4753,44.8017,38.6894,52.1546,74.8301,37.1923,31.7302,22.4266,91.0753,5.12571,57.9461,10.3803,NA,NA,NA,NA
"33",1933,385,"Armenia",-12.001,-7.6247,-3.3096,4.74888,12.5161,14.4816,19.8518,21.1228,16.261,9.25535,3.64608,-6.7044,32.9894,18.61,43.1043,39.0031,64.2411,85.4095,44.6001,4.60806,42.6643,41.0029,40.6249,35.0444,NA,NA,NA,NA
"34",1934,397,"Armenia",-10.672,-6.9819,-0.0976,5.78117,11.7564,15.8505,20.3192,19.2432,14.6358,9.69264,3.05322,-4.8341,22.9737,15.7417,21.9274,66.0738,66.9152,45.5899,67.1259,42.2511,30.3909,36.6684,25.5431,11.3788,NA,NA,NA,NA
"35",1935,409,"Armenia",-10.219,-4.9621,-1.7265,8.03976,12.824,15.8044,20.5148,21.9491,18.0145,10.882,1.00146,-1.7682,36.8177,27.5871,47.5683,38.4179,51.2935,86.1333,32.7859,35.5989,18.4202,38.3509,54.8247,13.723,NA,NA,NA,NA
"36",1936,421,"Armenia",-6.7026,-4.1326,0.17467,7.4196,10.7596,15.6764,20.4621,20.401,13.7603,9.10454,4.0221,-4.5664,10.8908,26.5777,42.243,69.3701,147.188,109.049,105.471,11.0655,53.3515,78.6334,49.3458,15.8947,NA,NA,NA,NA
