"Country","ColdMonthsT","HotMonthsT","ColdMonthsR","HotMonthsR"
"Afghanistan",-0.767806791227632,-0.0137888294249367,-0.482717799956974,-0.754752351987936
"Albania",-0.731928652806185,-0.512637277664752,0.472569363930139,-0.253738024627749
"Antigua and Barbuda",1.06205645328744,1.10896989683278,-0.174688798901102,-0.382250082673057
"Argentina",0.273973757108691,-1.77045378293794,-0.191638248654277,-0.582416634993877
"Armenia",-1.28656540802965,-0.782263482775545,-0.552323526100689,-0.31384583022641
"Australia",0.91168616553879,-0.699487120778563,-0.247125368668949,-0.68442322487246
"Austria",0.91168616553879,-0.699487120778563,-0.247125368668949,-0.68442322487246
"Azerbaijan",-0.866974035288189,-0.145203731998856,-0.541848077046467,-0.501531601003128
"Belarus",-0.812373468914959,-0.962921711575658,-0.0205765600049069,-0.169938657959033
"Belgium",-0.812373468914959,-0.962921711575658,-0.0205765600049069,-0.169938657959033
"Belize",-0.812373468914959,-0.962921711575658,-0.0205765600049069,-0.169938657959033
"Benin",1.10384038692716,0.883763906281979,-0.638847176664409,0.735966916545182
"Bolivia",0.651352919871787,-0.315409636266349,0.886387091933025,-0.458301618887346
"Brazil",0.927121274063401,0.448144400002418,1.58432906861706,0.165661331128615
"Canada",-2.70457797720353,-2.51608097810171,-0.559261130034437,-0.453964176832781
"Colombia",0.831230373453003,0.437372500394402,1.27527344160215,2.01941044654611
"Comoros",0.996995092561567,0.494941885456231,1.31761100799867,0.272862638423863
"Cuba",0.791347116117054,0.856135236020913,-0.109799904694016,0.796268604291729
"Cyprus",-0.0233369818060908,0.471996378224876,-0.0198565221296478,-0.827475948439375
"Czech Republic",-1.09738906026267,-1.01512221441693,-0.392063218851104,-0.158531425235011
"Djibouti",0.911086921747312,1.44691190192476,-0.786020763926288,-0.627616637518122
"Dominica",0.693190514669702,0.54314739556003,0.318582414243948,0.643108042484842
"Dominican Republic",0.693190514669702,0.54314739556003,0.318582414243948,0.643108042484842
"Ecuador",0.588397541660266,-0.0181265765270178,1.45944950643511,0.994447342191606
"Egypt",0.274591627257567,1.01898257172142,-0.907152369438355,-0.921840751102066
"Estonia",-1.38191460854543,-1.28251706897406,-0.375654422709892,-0.273522430468673
"Ethiopia",0.616835515139748,0.277073393302583,-0.572616663462435,0.239474580846104
"Finland",-1.766399797937,-1.69150383301422,-0.498054748587246,-0.373460247865436
"France",-0.726318702018573,-0.824810734961288,-0.0264553071633193,-0.188266209866308
"Gabon",0.916119492934181,0.471332526070203,1.68959032309857,0.178291082407932
"Georgia",-1.30451566277746,-1.0199054054568,-0.120907909977776,0.0539432634703339
"Ghana",1.09660354979134,0.824693330804691,-0.321718777006075,0.709300326110408
"Gibraltar",-0.119786941931043,-0.0144366092238253,0.0496661898618155,-0.682934854751052
"Guyana",0.941030522901123,0.684514592845705,0.957690236709738,1.81500731464612
"Hungary",-0.95000876331395,-0.587474050767295,-0.402883780910267,-0.255030206162608
"India",0.516302970956133,0.989758224902889,-0.640864636008201,0.724890826916497
"Indonesia",0.516302970956133,0.989758224902889,-0.640864636008201,0.724890826916497
"Israel",0.0673333665972181,0.482708675158497,-0.40149807123577,-0.90785152903369
