"Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMinTemperature","AMaxTemperature","APrecipitation"
"Afghanistan",-0.877829702929168,-0.797325093820669,-0.660005013618345,-0.485412535607864,-0.242285349427519,0.228665140544505,0.468794527960565,0.238243897726231,-0.290738657745539,-0.63111003517721,-0.793233952719172,-0.847336949101229,-0.307846993147766,-0.202949362100364,-0.142741121056902,-0.38116820088878,-0.687108250191145,-0.842624378376312,-0.839146065341065,-0.858689034640215,-0.919778182490099,-0.842704605530031,-0.798184464481108,-0.601880253425673,-0.589281196737346,-0.960764410573701,0.148362236937402,-0.893550213008645
"Albania",-0.74631077528499,-0.744003155334332,-0.759479555556077,-0.803900615536298,-0.715233333765143,-0.53090627603548,-0.25256274669701,-0.232535463823875,-0.540685230130706,-0.701423014475637,-0.706758904788874,-0.733596511397198,0.459910296015264,0.357384600384189,0.137803784945087,0.0781501905355082,-0.151938657419637,-0.29023334561152,-0.551536938604445,-0.504210655417035,-0.102658741249368,0.327070682409306,0.740289885871057,0.812956933955931,-0.696411850548448,-0.795850312097513,-0.357341003042042,0.103018865654073
"Antigua and Barbuda",1.01762799953939,0.987426143280384,0.976190377996301,1.02294352583909,1.09899191493479,1.10160089960622,1.04538816817372,1.12906772195768,1.25582715048519,1.19258866028039,1.12428301257198,1.07422252605621,-0.480550950767236,-0.564013243182573,-0.744634196106793,-0.729405075656746,-0.476506688305264,-0.409409652334559,-0.301132000159355,-0.201573329260614,-0.175473750321807,-0.00308600107003498,0.393342598555773,0.350808999164253,1.09631073354189,1.13406860757195,0.807598204826389,-0.400658925662841
"Argentina",0.639613815883424,0.520439757348017,0.218029616004276,-0.392045990659372,-1.29108946158002,-2.27068898198284,-2.7861361910029,-2.44712380852223,-1.43563826388028,-0.450667531895051,0.185399617144701,0.531027268166779,-0.111387730175445,-0.0703726918436172,-0.102724955477485,-0.390767208852692,-0.537606118142868,-0.597339715340195,-0.661654136802922,-0.684154786551143,-0.62297784427344,-0.385113571038099,-0.30624068870854,-0.173989854682476,-0.319967877000969,-0.278559104383076,-0.252082877914684,-0.570338333112934
"Armenia",-1.42246673927587,-1.37133142131683,-1.27169204854246,-1.13152123032953,-1.06869395014635,-0.854705392730216,-0.411133416475331,-0.408364558093906,-0.819162348877941,-1.10776547210296,-1.19464167484134,-1.35149509209843,-0.613643204331008,-0.548611991864597,-0.418930040947159,-0.208432959406477,-0.0536935011966231,-0.123192877436902,-0.414580515842234,-0.54392901929823,-0.539246108177992,-0.466493493116006,-0.554588383626614,-0.711674042718751,-1.14235061049767,-1.38333999002656,-0.574736810886601,-0.591098610741249
"Australia",1.13792380172787,1.04979158488233,0.857109945185647,0.421192715302609,-0.315667053131575,-1.1418480563721,-1.59908897317695,-1.24701289690605,-0.314498460387317,0.455414555897658,0.884635337294078,1.08524176824516,0.0770734248632709,0.151980182585582,-0.184364289551794,-0.620521902867149,-0.659956069907682,-0.636995471676207,-0.689065238483257,-0.737472731934059,-0.762527934366409,-0.677353561073615,-0.567673383601871,-0.282414585235267,0.269105191469981,0.161745465316473,0.362250110455948,-0.683278554621875
"Austria",1.13792380172787,1.04979158488233,0.857109945185647,0.421192715302609,-0.315667053131575,-1.1418480563721,-1.59908897317695,-1.24701289690605,-0.314498460387317,0.455414555897658,0.884635337294078,1.08524176824516,0.0770734248632709,0.151980182585582,-0.184364289551794,-0.620521902867149,-0.659956069907682,-0.636995471676207,-0.689065238483257,-0.737472731934059,-0.762527934366409,-0.677353561073615,-0.567673383601871,-0.282414585235267,-0.378713920219126,-0.273264172418843,-0.498768691646838,-0.683278554621875
"Azerbaijan",-0.944332912060666,-0.936369291720336,-0.912379275850893,-0.727363512931853,-0.508305971675932,-0.0402713342935593,0.324049381060454,0.305839000543516,-0.225169954695762,-0.664413956743278,-0.806614079812591,-0.937734695541369,-0.59872838359624,-0.545834873840509,-0.43017820886982,-0.385692490628236,-0.373219415287003,-0.408539077613469,-0.630582995651174,-0.675471392789042,-0.535684234049845,-0.447970739839787,-0.555646315013754,-0.672729941118693,-0.72112275148681,-1.03243644478788,0.00485963131272175,-0.729889714735245
"Belarus",-0.723347229520184,-0.753538822058903,-0.801532521106695,-0.960130824959003,-0.981564203583858,-0.987691561598005,-0.920678579972665,-0.93298930755494,-0.994475791785475,-0.949568025841232,-0.878390890002439,-0.767863324960298,0.025894140673896,-0.0948755125503965,-0.154534213071726,-0.262002687888939,-0.270362049209778,-0.160703799128821,-0.083800236577278,-0.104121837577246,-0.138641337372134,-0.0691996376082538,0.0545064984040516,0.114749364122987,-1.20754087656651,-0.883354023106107,-1.52079057052635,-0.141907924984515
"Belgium",-0.723347229520184,-0.753538822058903,-0.801532521106695,-0.960130824959003,-0.981564203583858,-0.987691561598005,-0.920678579972665,-0.93298930755494,-0.994475791785475,-0.949568025841232,-0.878390890002439,-0.767863324960298,0.025894140673896,-0.0948755125503965,-0.154534213071726,-0.262002687888939,-0.270362049209778,-0.160703799128821,-0.083800236577278,-0.104121837577246,-0.138641337372134,-0.0691996376082538,0.0545064984040516,0.114749364122987,-1.00878751034676,-0.762407430103841,-1.23837054766464,-0.141907924984515
