"","Year","X","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
"1",1901,1,"Tunisia",9.32862,9.66916,14.6099,18.4901,19.3602,26.0876,28.5323,27.6751,25.9085,19.8428,14.7462,11.0991,53.0452,26.745,18.4653,17.5152,29.0925,1.57374,4.49962,7.41762,18.5107,62.0883,23.6729,10.3525,NA,NA,NA,NA
"2",1902,13,"Tunisia",9.32444,12.794,14.2326,18.4702,18.9576,24.4361,28.9815,28.6484,25.3786,20.2215,14.7518,11.102,12.4752,32.8806,35.8882,18.1273,14.7122,2.98332,0.64792,0.69231,19.8682,51.7193,23.0819,40.2591,NA,NA,NA,NA
"3",1903,25,"Tunisia",10.6378,10.9047,13.7937,16.0449,20.6457,23.3993,26.6479,27.3021,25.009,20.9709,14.2998,11.3646,43.9963,14.1994,25.1555,29.7095,7.59722,15.8939,0.06758,0.12757,27.5717,15.5206,64.5628,44.3694,NA,NA,NA,NA
"4",1904,37,"Tunisia",9.26226,12.3743,14.1983,17.6792,21.0356,25.8199,28.5299,28.0296,24.5168,19.6797,13.5089,10.8852,68.9528,33.9203,29.6628,11.5495,3.81592,10.1682,4.35682,6.5503,24.1877,40.8998,15.3616,28.0858,NA,NA,NA,NA
"5",1905,49,"Tunisia",7.89921,8.93396,14.0483,18.0001,20.2194,25.0371,28.256,28.2986,25.8344,18.6851,15.5231,10.7994,35.6013,16.0452,10.7435,23.8444,22.4971,10.3116,10.6888,5.5655,7.29619,35.554,11.0371,75.4371,NA,NA,NA,NA
"6",1906,61,"Tunisia",9.84549,9.44622,13.9076,16.6081,20.2747,25.0369,27.4325,28.1919,24.7891,19.5929,15.0199,9.68268,61.1876,43.8943,23.6228,8.72524,13.9583,14.7571,3.94501,5.57992,35.9048,36.7408,36.1928,28.9815,NA,NA,NA,NA
"7",1907,73,"Tunisia",8.12867,8.80145,11.9945,16.099,20.5395,24.3875,27.449,28.1591,24.8512,20.9082,16.2243,12.2269,37.1027,48.2313,16.4136,19.1135,6.27102,12.5715,3.26287,0.97812,33.8141,20.0387,16.5669,5.42414,NA,NA,NA,NA
"8",1908,85,"Tunisia",10.2849,10.4917,13.3186,15.6074,22.2528,24.7581,27.6667,27.7786,24.6055,20.5729,14.9439,10.7619,22.1464,15.7872,59.299,12.8581,0.4304,1.28737,0.64912,2.68168,9.68226,15.6322,21.5968,38.4429,NA,NA,NA,NA
"9",1909,97,"Tunisia",8.8017,9.62596,14.5935,17.0337,20.0989,24.1919,26.4803,27.4884,25.1093,20.8587,15.2375,12.482,49.0234,31.9888,21.5019,34.2101,20.1901,10.3331,2.71887,2.43975,10.5179,48.6337,19.1934,16.6798,NA,NA,NA,NA
"10",1910,109,"Tunisia",9.61193,10.5863,13.1235,16.7425,19.2449,24.1616,27.2733,27.3306,23.035,22.1875,15.1027,12.1219,43.393,33.6885,11.885,11.3775,25.6672,3.87935,1.00082,0.84615,15.7857,2.56989,9.48964,74.0326,NA,NA,NA,NA
"11",1911,121,"Tunisia",8.18116,10.5293,14.147,16.2637,19.6357,25.778,28.6681,29.7085,26.2424,21.9548,15.5937,13.1904,71.7562,12.1791,37.6499,36.058,17.327,4.13439,6.06417,2.35661,17.3092,40.4036,46.6033,28.4508,NA,NA,NA,NA
"12",1912,133,"Tunisia",10.9289,13.8724,15.8366,16.8539,21.518,24.4128,28.2427,27.411,23.4265,20.0609,13.4661,10.5386,46.4579,12.4508,7.97075,24.1639,5.63733,7.62142,0.01301,1.74846,60.128,35.7471,22.6075,18.9748,NA,NA,NA,NA
"13",1913,145,"Tunisia",10.8908,10.7976,14.5645,16.6342,20.7046,24.5093,27.019,27.8842,26.3064,20.996,17.0061,11.7824,45.1773,70.3825,14.9428,15.5314,29.8785,1.92129,0.3208,1.71307,0.74717,27.3671,9.81091,22.0369,NA,NA,NA,NA
"14",1914,157,"Tunisia",8.98654,11.8594,15.2261,18.6043,21.3002,24.4719,27.2894,27.1645,24.4797,19.9014,14.9566,11.6583,49.5272,35.8984,12.1686,10.4241,11.5344,3.35402,0.78044,5.30246,12.4508,24.5311,19.537,29.6791,NA,NA,NA,NA
"15",1915,169,"Tunisia",10.0848,10.6683,14.3793,16.4031,21.0431,25.1334,28.159,28.3275,24.238,19.0407,14.9993,12.8505,73.6054,40.5074,25.6026,25.9804,11.3258,33.9704,0.80627,4.42318,25.7676,24.4185,18.8924,39.8048,NA,NA,NA,NA
