"","Year","X","Country","Month","ISO3","Temperature....Celsius.","Rainfall....MM.","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
"48",1904,48,"Armenia","Dec","ARM",-5.4984,44.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1905,49,"Armenia","Jan","ARM",-9.7614,26.9249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1905,50,"Armenia","Feb","ARM",-8.3046,11.5574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1905,51,"Armenia","Mar","ARM",-2.062,31.2319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1905,52,"Armenia","Apr","ARM",6.40768,52.9315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1905,53,"Armenia","May","ARM",11.0228,75.1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1905,54,"Armenia","Jun","ARM",16.8009,79.3984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1905,55,"Armenia","Jul","ARM",20.2829,50.0617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1905,56,"Armenia","Aug","ARM",19.5338,63.6492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1905,57,"Armenia","Sep","ARM",16.1984,21.5283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1905,58,"Armenia","Oct","ARM",12.1719,39.1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1905,59,"Armenia","Nov","ARM",4.55527,18.4191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1905,60,"Armenia","Dec","ARM",-4.8068,39.7739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1906,61,"Armenia","Jan","ARM",-9.8778,20.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1906,62,"Armenia","Feb","ARM",-5.3686,16.0029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1906,63,"Armenia","Mar","ARM",1.25231,24.0277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1906,64,"Armenia","Apr","ARM",7.0307,22.0517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1906,65,"Armenia","May","ARM",13.4228,95.7324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1906,66,"Armenia","Jun","ARM",16.8831,58.9818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1906,67,"Armenia","Jul","ARM",19.3837,95.2356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1906,68,"Armenia","Aug","ARM",18.7837,40.4296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1906,69,"Armenia","Sep","ARM",13.8891,27.8501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1906,70,"Armenia","Oct","ARM",9.1754,26.8997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1906,71,"Armenia","Nov","ARM",2.12252,37.8809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1906,72,"Armenia","Dec","ARM",-2.2137,47.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1907,73,"Armenia","Jan","ARM",-7.8887,23.9303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1907,74,"Armenia","Feb","ARM",-6.9227,22.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1907,75,"Armenia","Mar","ARM",-0.8503,37.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1907,76,"Armenia","Apr","ARM",5.66649,38.7062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1907,77,"Armenia","May","ARM",12.852,45.7831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1907,78,"Armenia","Jun","ARM",17.1447,39.4123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1907,79,"Armenia","Jul","ARM",21.0754,72.3411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1907,80,"Armenia","Aug","ARM",19.7336,31.5986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1907,81,"Armenia","Sep","ARM",13.7421,57.3666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1907,82,"Armenia","Oct","ARM",7.81649,33.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1907,83,"Armenia","Nov","ARM",-0.8488,58.2908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1907,84,"Armenia","Dec","ARM",-5.2594,16.6057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1908,85,"Armenia","Jan","ARM",-8.8448,32.8557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1908,86,"Armenia","Feb","ARM",-6.4807,12.5901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1908,87,"Armenia","Mar","ARM",-2.0915,49.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1908,88,"Armenia","Apr","ARM",5.18743,58.8511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1908,89,"Armenia","May","ARM",11.1238,82.7537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1908,90,"Armenia","Jun","ARM",16.9098,70.6507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1908,91,"Armenia","Jul","ARM",19.489,28.8403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1908,92,"Armenia","Aug","ARM",20.4298,12.0228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1908,93,"Armenia","Sep","ARM",16.57,27.1693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1908,94,"Armenia","Oct","ARM",7.35409,30.9082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1908,95,"Armenia","Nov","ARM",0.29626,63.8217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1908,96,"Armenia","Dec","ARM",-6.6665,29.6347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1909,97,"Armenia","Jan","ARM",-10.87,18.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1909,98,"Armenia","Feb","ARM",-6.0292,23.2638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",1909,99,"Armenia","Mar","ARM",0.56014,35.7879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1909,100,"Armenia","Apr","ARM",5.41837,47.5002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1909,101,"Armenia","May","ARM",13.2934,52.2189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1909,102,"Armenia","Jun","ARM",14.7302,98.3678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",1909,103,"Armenia","Jul","ARM",20.9189,25.1629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",1909,104,"Armenia","Aug","ARM",18.9532,74.9711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",1909,105,"Armenia","Sep","ARM",16.9878,57.4826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1909,106,"Armenia","Oct","ARM",10.1965,62.3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1909,107,"Armenia","Nov","ARM",4.82169,23.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",1909,108,"Armenia","Dec","ARM",-3.1312,12.3877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1910,109,"Armenia","Jan","ARM",-5.5824,20.0587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1910,110,"Armenia","Feb","ARM",-3.6187,24.4894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1910,111,"Armenia","Mar","ARM",-0.141,31.0037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",1910,112,"Armenia","Apr","ARM",6.78023,59.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",1910,113,"Armenia","May","ARM",11.9471,102.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",1910,114,"Armenia","Jun","ARM",16.3733,51.8802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",1910,115,"Armenia","Jul","ARM",21.0937,42.9578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1910,116,"Armenia","Aug","ARM",19.9701,30.0785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",1910,117,"Armenia","Sep","ARM",14.5841,60.4799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",1910,118,"Armenia","Oct","ARM",8.72888,14.1679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",1910,119,"Armenia","Nov","ARM",3.13318,28.1631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1910,120,"Armenia","Dec","ARM",-7.3569,6.8248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1911,121,"Armenia","Jan","ARM",-12.375,16.8847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1911,122,"Armenia","Feb","ARM",-10.192,16.5219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1911,123,"Armenia","Mar","ARM",-3.0225,35.3225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1911,124,"Armenia","Apr","ARM",5.23557,68.9989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1911,125,"Armenia","May","ARM",11.5115,100.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1911,126,"Armenia","Jun","ARM",14.94,73.4098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1911,127,"Armenia","Jul","ARM",20.2907,25.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1911,128,"Armenia","Aug","ARM",19.5558,35.8513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",1911,129,"Armenia","Sep","ARM",13.5809,40.1802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1911,130,"Armenia","Oct","ARM",6.4692,21.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1911,131,"Armenia","Nov","ARM",2.615,26.3104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",1911,132,"Armenia","Dec","ARM",-4.66,18.4695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1912,133,"Armenia","Jan","ARM",-5.9898,13.4825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",1912,134,"Armenia","Feb","ARM",-3.0147,33.1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1912,135,"Armenia","Mar","ARM",1.69188,30.8406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",1912,136,"Armenia","Apr","ARM",5.59024,73.4429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1912,137,"Armenia","May","ARM",10.0758,106.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1912,138,"Armenia","Jun","ARM",17.2908,66.7722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1912,139,"Armenia","Jul","ARM",18.8143,59.3271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1912,140,"Armenia","Aug","ARM",19.1123,26.6648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",1912,141,"Armenia","Sep","ARM",17.6688,15.4874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1912,142,"Armenia","Oct","ARM",8.86027,86.1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",1912,143,"Armenia","Nov","ARM",3.07778,23.9793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",1912,144,"Armenia","Dec","ARM",-4.8564,18.7395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",1913,145,"Armenia","Jan","ARM",-9.0843,23.3747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",1913,146,"Armenia","Feb","ARM",-9.1764,28.2293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",1913,147,"Armenia","Mar","ARM",0.24035,28.4788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",1913,148,"Armenia","Apr","ARM",5.61938,45.1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",1913,149,"Armenia","May","ARM",11.2946,104.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
