"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,27.9,30.6,24.7,NA
1993,27.9,30.4,24.7,1951.22
1994,28,30.9,24.4,2607.6
1995,NA,NA,NA,NA
1996,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,28.6,30.7,26.8,NA
2002,NA,NA,NA,NA
2003,28.7,30.9,26.8,NA
2004,28.6,30.8,26.8,NA
2005,NA,NA,NA,NA
2006,28.7,30.9,26.8,NA
2007,28.8,31,26.8,352.52
2008,28.6,30.8,26.2,NA
2009,28.9,30.9,26.7,NA
2010,29,30.7,27.2,NA
2011,28.9,30.8,26.9,NA
2012,29,31.2,26.4,261.32
2013,28.45,30.95,25.75,476.595
2014,28.48,31.22,25.74,270.864
2015,28.66,31.4,25.72,304.59
2016,29.2,31.2,26.5,208.71
2017,29,31.1,26.6,NA
2018,28.9,31,26.4,NA
2019,NA,NA,NA,NA
