"Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","APrecipitation"
1901,"Jamaica",22.3582,22.4377,23.0743,23.0587,24.1397,25.5667,25.5027,25.7352,25.6021,25.156,22.2988,22.4939,317.605,5.59506,67.9854,15.2121,82.4892,596.251,403.614,138.037,389.177,299.286,41.528,249.746,NA,NA,NA,NA
1902,"Jamaica",21.1355,21.4771,23.6509,23.9468,25.2205,25.6667,25.811,26.2632,25.6917,25.6596,25.0045,23.8811,147.219,24.4304,79.7615,149.125,191.793,478.923,33.3736,141.692,24.2256,105.533,126.306,123.239,NA,NA,NA,NA
1903,"Jamaica",23.2175,24.6921,24.7237,23.5144,23.9451,25.4044,25.6027,26.1696,25.0716,24.1976,23.4408,21.9036,109.439,10.7129,15.1967,64.0875,724.249,62.4162,9.75236,389.17,33.7237,73.8066,138.04,183.254,NA,NA,NA,NA
1904,"Jamaica",22.6196,23.6472,24.1466,24.0694,24.3433,24.9791,25.011,25.2721,24.9762,24.7684,23.2965,23.3019,48.3193,74.2357,52.7074,31.003,93.0872,542.916,75.7312,36.8023,496.473,676.717,134.891,75.0315,NA,NA,NA,NA
1905,"Jamaica",21.0334,23.7472,24.2342,24.2957,25.8876,25.9791,25.611,26.0984,25.7145,25.6456,24.9184,23.9985,95.4812,55.73,255.629,157.103,318.748,502.997,64.5745,232.582,426.731,473.642,125.581,458.284,NA,NA,NA,NA
1906,"Jamaica",23.0864,22.9789,23.148,23.8906,24.5392,25.2036,25.3859,25.4518,25.3194,24.7567,24.2136,22.6531,130.075,115.425,108.369,171.005,359.828,657.96,51.2131,216.491,863.014,156.398,205.535,51.395,NA,NA,NA,NA
1907,"Jamaica",23.434,22.3574,23.945,23.6833,25.1036,25.2122,25.511,25.7108,25.3648,24.665,24.7886,23.9039,19.6565,49.5557,10.5396,13.5527,263.889,137.174,221.356,78.7515,92.8382,220.864,76.2739,60.1297,NA,NA,NA,NA
1908,"Jamaica",22.5968,21.8527,24.3149,25.7413,24.8698,24.9194,25.5989,25.6213,25.332,24.1404,24.1225,24.3707,163.168,69.5574,72.7764,54.1481,70.543,411.324,56.9669,50.423,49.8151,280.918,131.173,507.737,NA,NA,NA,NA
1909,"Jamaica",23.516,23.1576,24.1675,24.5063,25.0085,25.4052,25.3193,25.5108,24.9602,24.4789,23.7308,22.5048,164.567,18.1423,72.5462,63.7757,226.922,318.525,135.955,269.102,573.272,557.586,253.213,6.87633,NA,NA,NA,NA
1910,"Jamaica",21.8927,22.3684,22.5779,23.1205,24.1573,24.9874,24.9967,25.6159,24.9249,24.5111,22.5821,21.3038,256.652,24.4917,155.773,112.475,66.1592,337.773,157.848,213.277,339.051,652.098,89.7728,396.349,NA,NA,NA,NA
