"Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","APrecipitation"
1901,"Uganda",23.3128,23.1073,23.5887,22.9867,22.4772,21.2483,21.0465,21.6171,22.1899,23.0307,23.155,23.5006,39.4423,72.6007,90.9371,145.19,119.585,73.8086,83.0512,36.2741,55.7509,70.0489,91.5435,37.546,NA,NA,NA,NA
1902,"Uganda",22.9362,23.4024,23.2942,22.2056,23.2885,23.3054,22.6015,23.1206,22.8487,22.8002,22.3823,21.8735,36.0722,61.0104,43.6043,159.006,138.858,76.9807,112.332,176.175,147.862,136.043,120.242,65.8014,NA,NA,NA,NA
1903,"Uganda",23.8658,23.8033,23.4023,23.099,22.5187,22.6462,22.1153,22.6904,21.9795,22.2271,22.1951,22.2208,69.8483,28.6335,101.905,146.805,148.331,209.236,108.783,59.1576,157.198,167.683,71.2041,54.2515,NA,NA,NA,NA
1904,"Uganda",21.9203,22.3856,22.7139,22.2078,22.3844,22.391,21.9935,22.4826,21.8542,20.6504,21.3862,21.4079,28.5248,58.6563,117.46,107.43,114.153,67.8346,60.369,166.111,104.035,101.472,112.363,89.5629,NA,NA,NA,NA
1905,"Uganda",23.1134,22.6667,22.7487,21.9581,21.896,21.9849,21.0354,21.3662,21.9692,22.7049,22.1469,21.8576,44.3108,25.4385,124.059,82.1697,92.803,49.8745,98.5009,107.345,125.795,139.847,161.083,103.295,NA,NA,NA,NA
1906,"Uganda",21.5056,23.5321,22.4665,21.767,21.8677,21.1887,20.0807,20.7769,21.3008,22.1504,22.2262,22.1364,18.7348,105.692,169.455,169.138,111.46,103.153,61.655,173.922,129.021,152.635,46.4786,30.2395,NA,NA,NA,NA
1907,"Uganda",22.0927,22.4998,22.9547,22.305,21.7099,20.988,20.5837,20.3331,21.4788,22.5908,22.1672,21.7083,30.1821,59.6989,23.0897,178.243,173.159,88.7041,98.1791,88.3598,63.0818,98.5114,111.934,46.4384,NA,NA,NA,NA
1908,"Uganda",23.0889,23.6243,23.5159,23.4739,22.4192,22.2448,21.8217,22.663,22.2047,24.0434,22.0372,21.0944,19.6133,65.2703,43.0442,155.382,165.296,95.0597,92.5819,118.901,86.8719,108.798,89.8246,53.0299,NA,NA,NA,NA
1909,"Uganda",20.7233,20.547,22.1537,21.6846,21.5311,20.0458,20.5542,20.0399,20.9182,21.4939,20.4448,20.5373,43.8018,23.2241,91.3769,219.266,81.7494,51.9278,81.0039,175.779,184.732,63.9546,69.0275,133.222,NA,NA,NA,NA
1910,"Uganda",21.3171,21.3765,21.8131,21.8868,20.2496,22.0214,19.789,20.3154,19.83,20.3505,20.7341,22.8263,50.8148,13.6846,86.9372,144.689,157.91,94.4817,136.387,89.0177,61.198,103.976,103.687,55.2701,NA,NA,NA,NA
