"Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","APrecipitation"
1901,"Rwanda",19.4875,18.7822,19.427,19.3285,19.1676,18.0605,18.0809,19.3174,19.6758,19.9912,19.7698,19.9926,115.416,136.984,97.9432,144.829,77.8439,30.3101,21.4628,12.5115,34.7215,58.5877,70.4123,86.2277,NA,NA,NA,NA
1902,"Rwanda",19.2817,19.3994,19.5641,19.0914,20.7171,20.437,18.6982,20.552,19.6824,19.7512,18.8466,18.1517,58.6413,76.0995,47.5038,91.8278,95.7949,122.542,10.5363,69.6235,141.65,107.193,120.329,61.3368,NA,NA,NA,NA
1903,"Rwanda",19.2817,19.4309,19.0157,19.2285,19.2029,19.6303,18.561,20.5519,19.2023,19.0083,19.3895,18.9138,84.9952,35.1077,145.761,225.091,113.437,104.977,19.8289,12.7072,144.424,175.591,174.83,108.192,NA,NA,NA,NA
1904,"Rwanda",18.0573,18.0908,18.4321,19.029,19.4148,19.4745,19.052,20.563,19.8635,17.6732,17.9466,17.9798,91.9397,134.539,137.317,70.983,103.441,12.717,8.85825,72.9112,72.6381,95.8286,131.071,163.764,NA,NA,NA,NA
1905,"Rwanda",19.276,19.3034,18.8494,18.1971,19.0255,19.1944,18.0621,19.1601,19.5916,19.9164,19.01,18.3273,107.813,62.5847,241.67,101.579,33.4902,13.3731,6.6938,23.9654,125.98,104.777,168.262,217.73,NA,NA,NA,NA
1906,"Rwanda",17.5572,19.203,18.127,18.1216,18.6119,17.9831,17.0193,18.2659,18.6403,19.1198,19.7135,19.3072,45.3922,127.247,192.642,193.504,64.1024,31.6289,9.8173,38.2515,91.8969,106.832,66.0199,46.4838,NA,NA,NA,NA
1907,"Rwanda",18.2817,18.6532,18.9114,18.3968,18.3572,17.7344,17.5668,17.9843,18.8452,19.5512,18.8726,18.6261,45.9308,144.899,64.245,203.726,158.716,34.5308,3.33119,28.8895,90.0514,89.4837,150.373,102.889,NA,NA,NA,NA
1908,"Rwanda",19.3154,19.5113,19.1106,19.5684,18.6362,18.8919,18.9059,20.348,19.3766,19.214,18.8152,17.8485,70.3591,104.465,59.4162,183.511,139.953,16.4534,16.8387,55.4572,36.9571,94.4815,134.396,125.345,NA,NA,NA,NA
1909,"Rwanda",16.9301,16.3313,18.0284,18.0971,18.1362,16.8046,17.5263,17.3509,18.2134,18.3729,16.9931,16.8206,52.4155,56.6666,139.954,186.841,67.0602,2.98043,14.0546,75.598,156.842,48.1418,107.583,136.158,NA,NA,NA,NA
1910,"Rwanda",17.2503,16.9656,17.5432,17.8971,16.3362,18.1432,16.496,17.6376,17.0216,17.0744,17.1366,18.9824,111.868,42.8499,138.539,172.824,119.597,7.07505,30.4979,48.4805,36.4136,82.2384,156.937,123.487,NA,NA,NA,NA
1911,"Rwanda",18.1347,19.0026,18.7305,17.9956,18.95,18.115,16.4982,18.6315,18.2557,18.824,18.3767,18.9918,85.8506,29.8316,140.171,120.389,93.4574,16.2201,7.12279,42.9022,21.9039,63.1177,185.296,51.7189,NA,NA,NA,NA
1912,"Rwanda",17.7294,17.621,17.3901,17.3184,17.674,17.913,16.7832,17.6532,18.0667,18.456,17.7316,16.8723,122.241,103.039,87.2364,268.426,46.6097,16.8456,15.8413,74.0848,128.446,110.482,132.224,123.844,NA,NA,NA,NA
1913,"Rwanda",16.8131,17.4995,16.827,17.0971,17.5362,16.5605,16.2982,17.19,18.6452,18.2198,17.6466,17.451,17.7673,129.894,132.908,90.8975,118.493,50.3683,7.25368,6.20606,19.268,91.0378,103.415,60.5481,NA,NA,NA,NA
1914,"Rwanda",17.4131,17.8995,18.127,17.4971,17.5362,17.7605,17.0982,18.29,18.2452,18.4198,17.8466,18.051,91.0093,109.002,145.524,92.5111,82.3153,34.8621,14.4896,35.9129,143.373,58.3624,97.8561,78.0356,NA,NA,NA,NA
1915,"Rwanda",18.0131,18.1995,18.927,17.9971,16.4362,17.4605,17.5982,17.79,18.5452,18.3198,16.7466,16.651,66.9398,138.167,137.274,120.601,89.5826,27.6981,2.1476,9.5709,138.605,95.0826,88.4562,214.654,NA,NA,NA,NA
1916,"Rwanda",17.4131,17.3995,17.027,17.3971,17.5362,16.6605,15.9982,16.99,17.1452,19.4198,16.4466,16.651,22.9068,157.466,99.8796,211.678,139.216,36.6158,2.67197,32.1691,113.147,98.7229,74.7129,77.2569,NA,NA,NA,NA
1917,"Rwanda",16.0131,16.2995,16.227,16.3971,16.7362,16.0605,16.2982,17.79,17.1452,16.9198,16.4466,16.351,82.728,132.271,102.709,194.017,110.718,35.3333,8.25373,86.8509,93.1406,134.789,49.1117,85.0499,NA,NA,NA,NA
1918,"Rwanda",16.6131,16.7995,17.027,16.5971,16.4362,16.6605,16.7982,17.49,17.7452,18.3198,17.0466,17.251,78.0104,81.5576,129.895,128.762,73.4765,39.4382,5.95631,15.2565,87.8377,72.2603,90.5324,125.82,NA,NA,NA,NA
1919,"Rwanda",18.0131,18.4995,18.127,17.3971,17.2362,16.6605,16.2982,17.79,18.2452,16.9198,16.7466,16.651,83.9653,155.959,171.279,132.02,78.173,2.66803,43.7487,75.1445,83.027,95.2501,120.75,98.4114,NA,NA,NA,NA
1920,"Rwanda",17.2131,17.0995,17.327,16.0971,16.7362,15.7605,16.2982,17.49,19.5452,19.4198,19.5466,15.551,97.6613,49.4296,192.862,107.738,99.2682,17.242,6.09911,10.4888,59.1414,180.551,143.482,132.269,NA,NA,NA,NA
1921,"Rwanda",18.3131,18.4995,19.827,19.3971,18.9362,18.0605,19.0982,19.19,19.1452,19.2198,18.9466,19.451,80.4546,103.117,78.4218,138.499,64.2155,8.69512,11.9513,33.7684,42.7246,137.362,111.246,33.8854,NA,NA,NA,NA
1922,"Rwanda",19.6131,20.3995,19.527,18.7971,17.8362,18.8605,17.3982,18.89,19.6452,18.6198,18.6466,18.351,52.6376,101.034,127.203,99.9408,98.6844,5.77593,1.35543,119.894,113.577,102.074,90.8656,150.704,NA,NA,NA,NA
1923,"Rwanda",19.1131,19.5995,18.927,18.5971,19.1362,18.2605,17.8982,18.59,18.8452,18.9198,18.3466,19.051,61.6325,134.58,116.365,199.303,138.831,19.6204,29.9702,9.03215,117.709,78.9703,92.5253,138.677,NA,NA,NA,NA
1924,"Rwanda",19.2131,19.3995,19.427,19.2971,19.1362,18.7605,18.6982,19.39,19.5452,19.4198,19.0466,19.051,96.7588,107.495,101.957,195.628,62.6501,3.89826,10.2545,42.8326,63.5441,118.569,114.209,95.1312,NA,NA,NA,NA
1925,"Rwanda",18.0131,18.7995,18.927,19.2971,19.1362,18.7605,18.6982,19.39,19.6452,19.7198,19.0466,19.051,104.37,103.738,196.308,49.8804,99.4259,111.007,32.6868,39.6379,70.0029,95.02,189.381,104.579,NA,NA,NA,NA
1926,"Rwanda",19.2131,20.9995,19.427,20.2971,19.2362,18.8605,18.7982,19.19,20.5452,19.7198,19.2466,18.351,99.569,98.9048,163.596,164.515,109.306,13.0377,50.9935,37.197,142.15,92.8943,120.091,65.8192,NA,NA,NA,NA
1927,"Rwanda",20.5131,19.8995,19.827,18.7971,18.4362,17.7605,17.0982,19.49,20.2452,20.3198,19.2466,19.051,123.439,101.95,154.945,160.726,84.1857,11.2217,2.65702,59.3322,98.6153,80.2381,101.975,130.928,NA,NA,NA,NA
1928,"Rwanda",20.2131,20.4995,19.427,20.1971,19.1362,18.8605,17.5982,19.39,20.2452,20.0198,19.4466,19.051,63.3697,97.6125,88.5568,164.287,132.829,24.4355,18.0086,25.4074,61.716,106.752,86.5685,114.594,NA,NA,NA,NA
1929,"Rwanda",17.2131,18.0995,17.927,16.7971,16.2362,16.1605,16.4982,16.79,16.7452,16.8198,16.3466,16.451,70.8464,64.8566,157.826,175.442,94.2562,15.0718,39.8806,39.7244,69.3777,143.755,132.104,145.309,NA,NA,NA,NA
1930,"Rwanda",17.6131,17.0995,17.027,16.7971,17.0362,16.1605,16.8982,17.79,18.4452,17.3198,17.0466,17.051,113.586,105.087,192.214,215.403,162.977,60.3082,27.6334,63.2188,153.463,111.523,131.095,85.9861,NA,NA,NA,NA
1931,"Rwanda",18.3131,19.8658,18.3545,18.5738,18.6943,18.8224,17.9982,19.5038,19.3851,19.764,19.2466,17.251,103.551,104.401,187.912,168.999,80.4125,15.3164,14.5093,39.3859,88.6984,61.5606,116.926,156.971,NA,NA,NA,NA
1932,"Rwanda",17.7131,18.0983,17.627,17.3971,17.898,18.2312,17.0982,18.9818,19.6029,19.2711,19.6441,17.9827,78.7018,95.8851,174.327,104.504,136.668,23.407,14.827,15.2119,151.507,101.818,117.2,115.558,NA,NA,NA,NA
1933,"Rwanda",17.3131,17.9259,18.627,18.7972,19.1235,19.115,17.6982,18.838,18.1879,18.3013,19.316,17.737,158.505,112.34,102.696,91.7518,98.9083,26.489,32.8946,58.3194,101.556,97.9705,80.7943,119.15,NA,NA,NA,NA
1934,"Rwanda",18.253,18.1853,18.625,18.2977,18.3759,18.5536,17.8982,19.0943,19.081,18.682,18.1464,17.8412,54.2407,74.745,104.055,163.282,84.2849,29.44,7.55328,44.2237,56.2328,175.665,127.154,127.008,NA,NA,NA,NA
1935,"Rwanda",18.9242,18.0932,18.6304,18.1594,18.4607,18.55,17.4413,18.6726,19.4588,19.0473,19.5789,18.0781,37.3587,133.284,129.977,113.711,137.712,105.867,0.47404,28.5179,92.5555,94.2297,129.285,130.906,NA,NA,NA,NA
1936,"Rwanda",18.119,18.2954,18.1407,17.8988,18.6296,17.8628,17.9217,18.6048,18.9605,19.4862,19.5492,18.1499,137.136,183.423,137.951,183.509,59.8792,95.0775,27.3307,28.7015,81.4018,99.8017,99.7176,176.118,NA,NA,NA,NA
1937,"Rwanda",19.0167,18.8922,18.7672,18.0023,17.6796,17.8278,17.7435,18.1159,19.2484,18.6418,18.4818,18.0919,107.076,129.788,223.538,206.771,219.032,33.3024,11.0122,24.9636,90.9653,109.189,181.234,94.6207,NA,NA,NA,NA
1938,"Rwanda",18.6116,18.527,18.8505,18.7136,18.7374,18.3815,18.3217,19.0355,19.2134,18.9843,18.523,18.2722,56.6825,107.903,156.875,137.213,114.977,18.8601,24.9232,38.1231,91.0897,110.558,96.9593,116.424,NA,NA,NA,NA
