"Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","APrecipitation"
1901,"Ghana",24.821,28.7097,28.1344,28.453,26.561,26.5507,25.6731,25.2724,25.7929,26.9179,27.3749,24.7284,14.8949,77.5442,53.0231,110.005,146.914,143.779,94.3852,149.363,220.271,180.238,40.4545,10.6037,NA,NA,NA,NA
1902,"Ghana",25.308,28.3395,28.9559,30.0488,28.4792,24.9945,25.7871,25.6345,25.5789,25.1475,27.5152,26.4644,5.00495,44.197,82.5277,156.247,207.637,171.555,135.131,124.8,100.092,82.2761,35.5345,13.587,NA,NA,NA,NA
1903,"Ghana",27.0104,29.1182,29.5074,29.1539,28.1193,26.5876,25.4954,25.2234,25.699,27.0615,27.2256,26.4902,11.03,50.4687,31.1779,100.409,134.224,120.336,99.3901,135.662,118.477,112.171,54.4693,11.7241,NA,NA,NA,NA
1904,"Ghana",26.773,28.5729,29.4821,29.0121,28.2319,26.7928,25.5998,25.3713,25.9882,27.0408,27.4088,26.672,7.36492,16.3561,50.3122,79.7798,151.601,175.322,105.395,72.5638,118.141,94.0455,24.1636,34.2907,NA,NA,NA,NA
1905,"Ghana",25.6231,25.9637,27.9259,29.0402,27.9996,25.8432,25.7334,24.6435,25.7075,26.7608,28.3556,27.3901,7.01438,29.9371,58.6568,82.0306,141.438,151.604,138.858,140.554,140.541,101.366,64.2199,23.1055,NA,NA,NA,NA
1906,"Ghana",25.9753,28.1628,29.7057,31.3496,28.2661,27.0428,25.1586,24.5401,26.8865,27.286,27.692,27.3651,11.7813,17.3061,46.0646,127.079,213.081,205.322,116.508,88.8164,158.784,164.295,55.0406,22.3967,NA,NA,NA,NA
1907,"Ghana",26.6265,26.6601,28.1897,28.3332,28.8795,26.3794,26.3318,25.0577,26.2097,28.6978,27.4935,25.2231,7.96935,19.2503,62.4764,105.76,137.118,205.302,121.484,50.6665,190.25,107.612,31.3876,9.84057,NA,NA,NA,NA
1908,"Ghana",26.5904,27.9275,28.7702,29.6282,29.3105,27.5743,26.4032,24.7241,26.0735,26.4971,26.4588,25.6783,12.058,20.301,53.6079,129.518,145.876,192.228,135.7,86.1997,216.283,136.879,54.5834,12.9984,NA,NA,NA,NA
1909,"Ghana",26.7571,30.1217,31.899,29.0526,27.6482,24.8408,24.3323,23.3718,25.8734,25.4589,27.5927,26.4882,27.3227,59.556,91.7733,114.083,164.137,179.931,139.288,168.399,159.861,159.49,38.2433,30.4871,NA,NA,NA,NA
1910,"Ghana",25.307,29.2014,29.1077,28.6579,28.3661,28.2129,26.4568,25.5991,26.4003,26.5043,27.2018,26.5814,0.27286,16.8703,56.9301,130.074,157.161,213.788,221.506,226.107,226.038,116.925,24.1757,14.3426,NA,NA,NA,NA
