"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1943,NA,NA,NA,NA
1944,25.3,30.3,21.5,1003.54
1945,24.8,29.4,21.15,1634.77
1946,25.1,30.25,21.25,1686.21
1947,26,31.9,21.7,1189.26
1948,25.4,29.6,21.7,1779.48
1949,25.35,30.3,21.05,1172.235
1950,24.95,29.9,20.75,2160.5
1951,25.2,30.3,20.35,1289.13
1952,25.2,29.3,19.7,NA
1953,25.2,29.8,20.4,NA
1954,25,29.5,20.4,NA
1955,24.7,29.2,19.5,NA
1956,24.7,29.3,20.1,NA
1957,NA,NA,NA,NA
1973,25.4,30.2,21.4,NA
1974,NA,NA,NA,NA
1975,25.15,30.85,20.75,NA
1976,25.05,30.95,20.55,NA
1977,25.3,30.6,21.1,NA
1978,NA,NA,NA,NA
1979,25.6,31.4,20.8,772.9
1980,26.1,32.1,21.2,NA
1981,26.05,31.25,20.3,781.92
1982,26.1,31.35,19.95,1248.12
1983,26.45,31.6,20.2,1070.865
1984,25.7,30.95,18.75,1383.795
1985,25.85,31.2,18.95,1750.725
1986,25.45,30.65,21,1746.38
1987,26.1,31.1,21.5,1888.5
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,NA,NA,NA,NA
1996,25.7,31.3,21.5,837.92
1997,27.58,31.6,22.7,543.088
1998,28.1,30.5,24.2,0
1999,26.6,30.45,22.5,NA
2000,27.14,30.56,22.4,NA
2001,27.3,31,22.5,NA
2002,NA,NA,NA,NA
2003,27.2333333333333,31.15,22.5166666666667,1185.73
2004,26.98,30.42,22.24,1060.79
2005,NA,NA,NA,NA
2006,27.075,31.625,21.725,NA
2007,27.2833333333333,31.15,22.55,NA
2008,26.8,30.8333333333333,21.8333333333333,NA
2009,26.6125,30.9625,21.975,NA
2010,26.675,31.1125,22.275,932.95
2011,26.5,31,21.625,NA
2012,26.9857142857143,31.0285714285714,22.2285714285714,NA
2013,26.9833333333333,31.1666666666667,22.3,NA
2014,26.9833333333333,31.3666666666667,22.2166666666667,NA
2015,27.2,31.6333333333333,22.45,NA
2016,26.7125,31.225,22.2,NA
2017,26.5125,31.1875,22.0625,NA
2018,26.5333333333333,31.0333333333333,21.7333333333333,NA
2019,NA,NA,NA,NA
