"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1941,NA,NA,NA,NA
1942,27.4,30.3,25.2,NA
1943,26.9,29.5,24.8,NA
1944,27,29.9,24.8,NA
1945,26.9,29.8,24.7,NA
1946,NA,NA,NA,NA
1947,27.2,30.1,24.9,NA
1948,27.2,30,24.9,NA
1949,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,27.4,30.3,24.1,1112.3
1992,27.3,30.1,23.9,1634.44
1993,NA,NA,NA,NA
1994,27.3,29.9,24.1,1183.07
1995,NA,NA,NA,NA
1996,27.4,30.4,24.4,1616.73
1997,27.7,30.7,24.7,1422.63
1998,28,31.1,25,1746.23
1999,27.5,30.7,24.3,NA
2000,NA,NA,NA,NA
2001,27.6,30.7,24.6,1224
2002,NA,NA,NA,NA
2003,NA,NA,NA,NA
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,27.7,30.9,24.3,1277.84
2007,NA,NA,NA,NA
2008,27.2,30.4,23.9,1629.38
2009,NA,NA,NA,NA
2010,28.25,31.4,24.65,2051.55
2011,27.7,30.6,24.1,2115.445
2012,27.7,30.45,24.3,1680.38
2013,27.7,30.4,24.9,1580.1
2014,27.6,30.4,24.4,1391.29
2015,27.95,30.7,24.8,1128.125
2016,28,30.85,24.6,2225.23
2017,27.9,30.65,24.6,NA
2018,27.6,30.2,24.55,1363.43
2019,NA,NA,NA,NA
