"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1941,NA,NA,NA,NA
1942,26.9,28.5,25.3,NA
1943,26.4,28.3,24.6,NA
1944,26.5,28.5,24.6,NA
1945,26.4,28.4,24.7,NA
1946,NA,NA,NA,NA
1947,26.9,29.3,24.9,NA
1948,26.8,29.3,24.7,NA
1949,26.4,30.2,20.8,1306.18
1950,26.4,29.8,23,1447.89
1951,26.8,30.4,23.6,1114.83
1952,27,30.8,23.5,1261.41
1953,27.1,30.8,23.8,970.84
1954,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,26.2,29.4,23.2,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,27.1,30.3,23.3,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,26.5,29.6,23.5,1010.15
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,26.8,30.3,23.3,873.02
1993,26.9,30.1,23.9,725.35
1994,26.9,29.8,23.7,707.65
1995,NA,NA,NA,NA
1996,NA,NA,NA,NA
1997,27.5,30.7,24,686.86
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,27.2,30,24.5,NA
2002,NA,NA,NA,NA
2003,27,29.9,24.2,NA
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,NA,NA,NA,NA
2007,27.45,29.95,24.85,882.64
2008,26.4,29.5,23.5,1111.24
2009,27.25,29.5,24.7,1431.26
2010,27.75,30.3,25.05,4023.78
2011,27.3,29.65,24.75,1727.4
2012,27.45,29.8,24.85,1010.66
2013,27.45,29.65,24.95,1268.78
2014,26.7,29.6,23.8,664.16
2015,27.75,30.2,25.15,448.06
2016,27.75,30.35,24.85,783.82
2017,27.5,30.05,24.7,NA
2018,27.35,29.85,24.5,NA
2019,NA,NA,NA,NA
