"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1941,NA,NA,NA,NA
1942,27.1,31.3,22.3,NA
1943,25.4,30.9,20.9,NA
1944,25.4,31.3,20.7,NA
1945,25.4,31.1,20.8,NA
1946,26.3,31.1,21.9,NA
1947,26,31.5,21.5,NA
1948,25.9,31.6,21.4,NA
1949,NA,NA,NA,NA
1973,26.8,30.7,23.25,NA
1974,26.9,30.8,22.65,NA
1975,26.2,30.2,22,NA
1976,26.7,30.85,22.8,NA
1977,27.2,31,23.5,NA
1978,27.15,31.2,23.1,NA
1979,26.5,30.8,22.8,1774.49
1980,27.4,31.1,23.15,2896.645
1981,27.75,31.25,22.9,1547.415
1982,27.2,31.1,23.05,935.25
1983,27.45,31.4,23.35,607.86
1984,26.8,31.1,22.65,701.98
1985,26.65,31,22.45,710.065
1986,26.8,31.4,22.45,812.54
1987,27.65,31.9,23.25,1181.525
1988,27.35,31.8,23.2,781.855
1989,26.95,31.6,22.95,641.88
1990,27.2,31.7,23.25,767.59
1991,27.3,31.75,23.35,654.585
1992,28.2,32.5,24,362.2
1993,27.6,32.2,23.8,1834.44
1994,27.7,32.05,23.45,940.755
1995,27.8,32.3,23.75,648.86
1996,27.7,32,24,416.36
1997,27.8,31.95,23.85,513.09
1998,28.4,32.5,24,801.755
1999,27.7,31.9,23.4,NA
2000,27.7,31.8,23.35,NA
2001,27.9,31.85,23.75,NA
2002,NA,NA,NA,NA
2003,28.1,32.1,23.95,1122.57
2004,27.85,31.9,23.95,738.38
2005,NA,NA,NA,NA
2006,28.35,32.15,24.45,736.7
2007,27.7,32.05,24,1338.835
2008,NA,NA,NA,NA
2009,NA,NA,NA,NA
2010,26.85,31.05,23.85,1110.25
2011,26.9,30.5,24.1,NA
2012,27.45,31.8,24,NA
2013,27.65,32.1,24.15,682.245
2014,27.6,32.1,24.2,783.155
2015,27.95,32.3,24.4,559.175
2016,27.9,32.2,24.35,663.02
2017,27.85,32.15,23.85,1251.09
2018,27.8,32.25,24.05,598.705
2019,NA,NA,NA,NA
