"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1942,NA,NA,NA,NA
1943,27.7,30.4,25.8,NA
1944,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,27.4,30.3,25.1,NA
1977,28.2,31.3,26,NA
1978,27.9,30.9,25.8,NA
1979,28.2,31.1,26,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,28.1,31.4,25.3,NA
1983,28.2,31,25.9,223.98
1984,27.8,30.6,25.5,415.75
1985,27.4,31.1,24.6,544.02
1986,27.6,31.4,24.9,410.42
1987,28,31.7,25.3,393.22
1988,27.9,31.5,25,676.11
1989,27.8,30.9,25.4,523.03
1990,27.9,30.9,25.4,515.3
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,28.3,31.4,25.8,NA
1996,28.1,31.4,25.5,251.19
1997,28.5,31.7,26.1,638.81
1998,29.3,32.4,26.8,415.29
1999,28.5,31.7,25.9,NA
2000,28.3,31.5,25.7,NA
2001,28.7,32,26.2,141.75
2002,NA,NA,NA,NA
2003,28.8,32,26.4,400.81
2004,28.5,31.7,25.9,1119.05
2005,NA,NA,NA,NA
2006,28.8,32.3,26.3,606.79
2007,28.8,32.3,26.1,561.78
2008,28.4,32,25.7,770.87
2009,28.7,32.5,26.1,304.01
2010,29,32.4,26.5,930.87
2011,28.4,31.9,25.8,1009.84
2012,28.5,32,25.9,650.22
2013,28.7,32.3,26.2,306.31
2014,28.4,32,26,399.49
2015,28.7,32.2,26.4,133.07
2016,28.9,32.3,26.6,417.54
2017,28.7,32.1,26.2,362.92
2018,28.1,31.5,25.7,295.11
2019,NA,NA,NA,NA
