"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,6.9,8.7,5.1,NA
1982,5.2,8.5,2,NA
1983,6.4,9.3,3.6,NA
1984,6,9.2,2.9,NA
1985,4.6,7.2,2.3,NA
1986,NA,NA,NA,NA
1987,5.8,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,4.5,7.5,1.9,NA
1993,NA,NA,NA,NA
1994,5.3,8.2,2.6,NA
1995,5.6,8.2,3,NA
1996,5.9,8.5,3.4,NA
1997,5.2,7.6,2.9,373.47
1998,6.6,9,4.3,346.3
1999,7.5,10,5,NA
2000,6.5,9.6,3.9,NA
2001,6.4,9.7,3.8,NA
2002,NA,NA,NA,NA
2003,5.6,8.8,2.9,755.4
2004,5.8,8.8,3.4,648.98
2005,NA,NA,NA,NA
2006,7,10.1,4.6,NA
2007,5.6,8.6,3.1,NA
2008,6.1,8.9,3.5,1208.17
2009,6,8.9,3.3,1104.11
2010,6.8,9.8,4.6,1015.7
2011,6.1,9.1,3.8,1222.17
2012,7.4,10.4,5.1,1077.6
2013,6.5,9.5,4,1068.25
2014,6.1,9.3,3.7,1197.55
2015,5.5,8.9,2.8,955.71
2016,6.2,9.5,3.8,1192.69
2017,6,9.4,3.6,1125.86
2018,5.7,9,3.2,1340.05
2019,NA,NA,NA,NA
